unmatched_game_pair
alabamastatehornets::floridastateseminoles
arizonawildcats::utahtechtrailblazers
arkansasstateredwolves::stephenfaustinlumberjacks
ballstatecardinals::mansfieldmountaineers
bostonterriers::northwesternwildcats
brownbears::sienasaints
bryantbulldogs::georgiatechyellowjackets
bucknellbison::mountstmarysmountaineers
buffalobulls::greenbayphoenix
californiabaptistlancers::ucirvineanteaters
calumetcrimsonwave::evansvillepurpleaces
charlestoncougars::libertyflames
charlotte49ers::tennesseetechgoldeneagles
chattanoogamocs::stmarysgaels
cincinnatibearcats::georgiastatepanthers
clemsontigers::gardnerwebbrunninbulldogs
coastalcarolinachanticleers::virginialynchburgdragons
colgateraiders::northeasternhuskies
coloradochristiancougars::northerncoloradobears
columbialions::newhavenchargers
cornellbigred::kentstategoldenflashes
davidsonwildcats::washingtonstatecougars
delawarebluehens::wilmingtondewildcats
depaulbluedemons::stonehillskyhawks
detroitmercytitans::notredamefightingirish
duquesnedukes::sacredheartpioneers
easternillinoispanthers::nichollscolonels
floridagulfcoasteagles::illinoisfightingillini
fordhamrams::mountstmarynyknights
fortlauderdaleeagles::stetsonhatters
furmanpaladins::troytrojans
georgemasonpatriots::winthropeagles
georgetownhoyas::marylandterrapins
grandcanyonlopes::youngstownstatepenguins
harvardcrimson::mitengineers
hofstrapride::ionagaels
huntingdoncollegealhawks::westgeorgiawolves
idahostatebengals::sandiegotoreros
idahovandals::whitmanmissionaries
incarnatewordcardinals::jarvischristianbulldogs
iowahawkeyes::westernillinoisleathernecks
jessupwarriors::sacramentostatehornets
justicecollegelions::northernarizonalumberjacks
kansascityroos::southernillinoissalukis
kansasjayhawks::northcarolinatarheels
kentuckywildcats::valparaisobeacons
lanecollegedragons::northalabamalions
longwoodlancers::pittsburghpanthers
louisianaragincajuns::selouisianalions
mcneesecowboys::santaclarabroncos
miamiohredhawks::trinitychristianiltrolls
mississippivalleystatedeltadevils::murraystateracers
missouritigers::southeastmissouristateredhawks
moreheadstateeagles::wakeforestdemondeacons
navymidshipmen::yalebulldogs
ncstatewolfpack::uabblazers
northcarolinacentraleagles::virginiacavaliers
northernillinoishuskies::wisconsinbadgers
northwestindianredhawks::portlandstatevikings
oaklandgoldengrizzlies::purdueboilermakers
ohiostatebuckeyes::purduefortwaynemastodons
olemissrebels::ulmonroewarhawks
oregonducks::riceowls
oregonstatebeavers::uicflames
pennsylvaniaquakers::rowanprofs
pepperdinewaves::uclabruins
radfordhighlanders::westvirginiawesleyanbobcats
rhodeislandrams::tulsagoldenhurricane
samfordbulldogs::southcarolinastatebulldogs
samhoustonbearkats::texastechredraiders
setonhallpirates::wagnerseahawks
siuedwardsvillecougars::utsaroadrunners
southernindianascreamingeagles::vmikeydets
uconnhuskies::umasslowellriverhawks
utahstateaggies::vcurams
utepminers::westernnewmexicomustangs
