conference
American Athletic
Atlantic 10
Atlantic Coast
Colonial Athletic
Horizon League
Ivy League
Metro Atlantic Athletic
Mid-American
Mid-Eastern Athletic
Northeast
Patriot League
Southeastern
Southern
Southwestern Athletic
West Coast
Western Athletic
