conference,issue
ACC,no_teams_in_map
American,no_teams_in_map
American Athletic,no_teams_in_map
Atlantic 10,no_teams_in_map
Atlantic Coast,no_teams_in_map
Big 12,no_teams_in_map
Big East,no_teams_in_map
Big Sky,no_teams_in_map
Big Ten,no_teams_in_map
Colonial Athletic,no_teams_in_map
Horizon,no_teams_in_map
Horizon League,no_teams_in_map
Ivy League,no_teams_in_map
MAAC,no_teams_in_map
MAC,no_teams_in_map
MEAC,no_teams_in_map
Metro Atlantic Athletic,no_teams_in_map
Mid-American,no_teams_in_map
Mid-Eastern Athletic,no_teams_in_map
Missouri Valley,no_teams_in_map
Mountain West,no_teams_in_map
Northeast,no_teams_in_map
Pac-12,no_teams_in_map
Patriot League,no_teams_in_map
SEC,no_teams_in_map
SWAC,no_teams_in_map
Southeastern,no_teams_in_map
Southern,no_teams_in_map
Southwestern Athletic,no_teams_in_map
West Coast,no_teams_in_map
West Coastconference,no_teams_in_map
Western Athletic,no_teams_in_map
