issue,team
not_mapped,Adrian Bulldogs
not_mapped,Alabama
not_mapped,Alaska Anchorage Seawolves
not_mapped,Apprentice School Builders
not_mapped,Aquinas Saints
not_mapped,Arizona
not_mapped,Arkansas Baptist Buffaloes
not_mapped,Auburn-Montgomery Senators
not_mapped,Barber Scotia BARBER SCOTIA
not_mapped,Bethany (WV) Bison
not_mapped,Bethel (TN) Wildcats
not_mapped,Bethesda University Flames
not_mapped,Blackburn Beavers
not_mapped,Bloomfield Deacons
not_mapped,Bloomsburg Huskies
not_mapped,Bob Jones Bruins
not_mapped,Bowie State Bulldogs
not_mapped,Brandeis Judges
not_mapped,Brescia Bearcats
not_mapped,Brevard Tornados
not_mapped,Bryant Str-Alb Bobcats
not_mapped,Buena Vista Beavers
not_mapped,Calumet Crimson Wave
not_mapped,Cameron Aggies
not_mapped,Carolina University Bruins
not_mapped,Central State (OH) Marauders
not_mapped,Chaminade Silverswords
not_mapped,Champion Christian Tigers
not_mapped,Christendom Crusaders
not_mapped,City College NY Beavers
not_mapped,Cleary University Cougars
not_mapped,Coastal Georgia Mariner
not_mapped,Coe Kohawks
not_mapped,College Of Biblical Studies Ambassadors
not_mapped,Colorado Christian Cougars
not_mapped,Columbia International Rams
not_mapped,Concordia-Nebraska Clippers
not_mapped,Creighton
not_mapped,Crown College Polars
not_mapped,Culver-Stockton Wildcats
not_mapped,Dakota Wesleyan Tigers
not_mapped,Dallas Christian Crusaders
not_mapped,Doane Tigers
not_mapped,Dominican (CA) Penguins
not_mapped,Dominican (IL) Dominican
not_mapped,Duke
not_mapped,Eastern Oregon Mountaineers
not_mapped,Ecclesia Royals
not_mapped,Elms College Blazers
not_mapped,Emerson Lions
not_mapped,Erskine Flying Fleet
not_mapped,Eureka Red Devils
not_mapped,Evergreen State Geoducks
not_mapped,Fisher College Eagles
not_mapped,Fisk Bulldogs
not_mapped,Florida Memorial FLORIDA MEMORIAL
not_mapped,Franciscan University Barons
not_mapped,Franklin Pierce Ravens
not_mapped,Gallaudet Bison
not_mapped,George Fox Bruins
not_mapped,Georgian Court Lions
not_mapped,Gwynedd-Mercy Griffins
not_mapped,Hannibal-Lagrange Trojans
not_mapped,Haskell Jayhawks
not_mapped,Hawai'i Hilo Vulcans
not_mapped,Hawai'i Pacific Sea Warriors
not_mapped,Holy Cross College (IN) Saints
not_mapped,Howard Payne Yellow Jackets
not_mapped,Indiana University East IU EAST
not_mapped,Iowa State
not_mapped,Jamestown Jimmies
not_mapped,Jarvis Christian Bulldogs
not_mapped,Johnson & Wales (RI) Griffins
not_mapped,Justice College Lions
not_mapped,Kean Cougars
not_mapped,Kentucky State Thorobreds
not_mapped,LaGrange Panthers
not_mapped,Lancasater Bible College Chargers
not_mapped,Lawrence University Vikings
not_mapped,Lewis & Clark Pioneers
not_mapped,Louisiana Christian Wildcats
not_mapped,Manhattan Christian Thunder
not_mapped,Manor College Blue Jays
not_mapped,Marquette
not_mapped,Marywood Pacers
not_mapped,Mercy Mavericks
not_mapped,Mid-America Christian Evangels
not_mapped,Midway University Eagles
not_mapped,Midwestern State Mustangs
not_mapped,Misericordia Cougars
not_mapped,Missouri Baptist Spartans
not_mapped,Mitchell College Mariners
not_mapped,Mount Marty College Lancers
not_mapped,New Mexico Highlands Cowboys
not_mapped,Nobel Knights
not_mapped,North Greenville Crusaders
not_mapped,Northeastern State RiverHawks
not_mapped,Notre Dame (MD) Gators
not_mapped,Oakwood Ambassadors
not_mapped,Oglethorpe Stormy Petrels
not_mapped,Ohio Christian Trailblazers
not_mapped,Ohio Wesleyan Battling Bishops
not_mapped,Old Westbury Panthers
not_mapped,Our Lady Of The Lake Saints
not_mapped,Penn State-Shenango Nittany Lions
not_mapped,Pfeiffer Falcons
not_mapped,Piedmont Lions
not_mapped,Puget Sound Loggers
not_mapped,Purdue
not_mapped,Queens University Royals
not_mapped,Redlands Bulldogs
not_mapped,Regent Royals
not_mapped,Regis (CO) REGIS UNIVERSITY
not_mapped,Regis Pride
