unmatched_odds_pair
airforcefalcons::austinpeaygovernors
airforcefalcons::belmontbruins
akronzips::jamesmadisondukes
alabamacrimsontide::northdakotafightinghawks
americaneagles::wakeforestdemondeacons
appalachianstmountaineers::centralmichiganchippewas
arizonastsundevils::utahtechtrailblazers
arizonawildcats::floridagators
arkansaspinebluffgoldenlions::loyolamarymountlions
arkansaspinebluffgoldenlions::washingtonhuskies
arkansasrazorbacks::michiganstspartans
arkansasrazorbacks::southernjaguars
arkansasstredwolves::ohiobobcats
armyknights::stthomasmntommies
auburntigers::bethunecookmanwildcats
ballstatecardinals::louisianaragincajuns
baylorbears::utriograndevalleyvaqueros
baylorbears::washingtonhuskies
bellarmineknights::georgiabulldogs
bellarmineknights::kansasstwildcats
belmontbruins::tennesseesttigers
binghamtonbearcats::niagarapurpleeagles
binghamtonbearcats::syracuseorange
boisestatebroncos::utahvalleywolverines
bostoncollegeeagles::floridaatlanticowls
bostonterriers::northeasternhuskies
bowlinggreenfalcons::texasstatebobcats
bradleybraves::centralmichiganchippewas
bradleybraves::stbonaventurebonnies
bryantbulldogs::sienasaints
bucknellbison::delawarebluehens
buffalobulls::southernmissgoldeneagles
butlerbulldogs::iupuijaguars
byucougars::holycrosscrusaders
byucougars::villanovawildcats
calbaptistlancers::southcarolinaupstatespartans
californiagoldenbears::csubakersfieldroadrunners
calpolymustangs::seattleredhawks
calpolymustangs::usctrojans
calstatefullertontitans::wyomingcowboys
campbellfightingcamels::westernmichiganbroncos
campbellfightingcamels::wisconsinbadgers
canisiusgoldengriffins::daytonflyers
canisiusgoldengriffins::stbonaventurebonnies
centralarkansasbears::northcarolinatarheels
charlestoncougars::floridaatlanticowls
charlestonsouthernbuccaneers::virginiatechhokies
charlotte49ers::indianastsycamores
chattanoogamocs::unlvrebels
chicagostcougars::depaulbluedemons
cincinnatibearcats::westerncarolinacatamounts
clemsontigers::newhampshirewildcats
clevelandstvikings::loyolachiramblers
coastalcarolinachanticleers::westernmichiganbroncos
colgateraiders::michiganstspartans
coloradobuffaloes::easternwashingtoneagles
coloradobuffaloes::montanastbobcats
coloradostrams::incarnatewordcardinals
coloradostrams::omahamavericks
coppinsteagles::marylandterrapins
cornellbigred::illinoisstredbirds
csunorthridgematadors::northdakotafightinghawks
dartmouthbiggreen::maristredfoxes
daytonflyers::umbcretrievers
delawaresthornets::syracuseorange
denverpioneers::montanastbobcats
denverpioneers::seattleredhawks
