slug,count
umbc-retrievers,2
east-tennessee-state-buccaneers,2
fordham-rams,2
la-salle-explorers,2
queens-university-royals,2
iu-indianapolis-jaguars,2
new-haven-chargers,2
rhode-island-rams,2
west-georgia-wolves,2
pennsylvania-quakers,2
mercyhurst-lakers,2
massachusetts-minutemen,2
tarleton-state-texans,2
st-thomas-minnesota-tommies,2
seattle-u-redhawks,2
north-carolina-a-t-aggies,2
ul-monroe-warhawks,2
ualbany-great-danes,2
saint-francis-red-flash,2
long-island-university-sharks,2
ut-rio-grande-valley-vaqueros,2
florida-international-panthers,2
se-louisiana-lions,2
nan,2
chaminade-silverswords,1
penn-state-york-nittany-lions,1
east-west-university-phantoms,1
converse-university-valkyries,1
caldwell-cougars,1
st-joseph-s-ny-bears,1
merchant-marine-academy-mariners,1
west-coast-baptist-eagles,1
college-of-biblical-studies-ambassadors,1
arkansas-baptist-buffaloes,1
missouri-southern-state-lions,1
adams-state-grizzlies,1
san-francisco-state-gators,1
occidental-tigers,1
dominican-ca-penguins,1
humboldt-state-lumberjacks,1
park-university-gilbert-buccaneers,1
milligan-buffaloes,1
bluefield-university-ramblin-rams,1
rit-tigers,1
carolina-university-bruins,1
mississippi-university-for-women-owls,1
washington-and-lee-generals,1
dickinson-pa-red-devils,1
regent-royals,1
belmont-abbey-crusaders,1
dallas-crusaders,1
plattsburgh-st-cardinals,1
lagrange-panthers,1
lynchburg-hornets,1
southern-virginia-knights,1
texas-a-m-san-antonio-jaguars,1
ottawa-az-spirit,1
northwest-indian-redhawks,1
bethesda-university-flames,1
pacific-lutheran-lutes,1
life-pacific-warriors,1
penn-st-abington-nittany-lions,1
whittier-poets,1
curry-college-colonels,1
central-penn-knights,1
district-of-columbia-firebirds,1
randolph-college-wildcats,1
valley-forge-patriots,1
northwood-mi-timberwolves,1
illinois-tech-scarlet-hawks,1
mid-atlantic-christian-mustangs,1
capital-crusaders,1
bethany-wv-bison,1
university-of-health-sciences-pharmacy-eutectics,1
toccoa-falls-eagles,1
allegheny-gators,1
dakota-state-trojans,1
midway-university-eagles,1
tougaloo-bulldogs,1
trinity-fl-tigers,1
arkansas-pine-bluff-golden-lions,1
western-new-mexico-mustangs,1
whitman-missionaries,1
jessup-university-warriors,1
wilmington-de-wildcats,1
calumet-crimson-wave,1
jarvis-christian-bulldogs,1
mit-engineers,1
virginia-lynchburg-dragons,1
west-virginia-wesleyan-bobcats,1
huntingdon-college-al-hawks,1
fort-lauderdale-eagles,1
lane-college-dragons,1
mansfield-mountaineers,1
rowan-profs,1
trinity-christian-il-trolls,1
mount-saint-mary-ny-knights,1
colorado-christian-cougars,1
justice-college-lions,1
champion-christian-tigers,1
penn-state-new-kensington-lions,1
spring-hill-badgers,1
southern-new-orleans-knights,1
cheyney-pa-wolves,1
averett-cougars,1
webster-gorloks,1
john-brown-golden-eagles,1
northwestern-oklahoma-state-rangers,1
dominican-il-dominican,1
ozark-christian-ambassadors,1
lyon-scots,1
oakland-city-mighty-oaks,1
kentucky-christian-knights,1
molloy-lions,1
ripon-red-hawks,1
reinhardt-eagles,1
ecclesia-royals,1
columbia-international-rams,1
penn-state-shenango-nittany-lions,1
north-greenville-crusaders,1
geneva-golden-tornadoes,1
rust-bearcats,1
simpson-college-ia-storm,1
arlington-baptist-patriots,1
lincoln-university-ca-oaklanders,1
iu-columbus-crimson-pride,1
southwestern-adventist-knights,1
southwestern-christian-eagles,1
coastal-georgia-mariner,1
suny-delhi-broncos,1
saint-josephs-long-island-golden-eagles,1
pensacola-christian-college-pensacola-christian,1
catawba-chiefs,1
cleary-university-cougars,1
wilson-college-wilson,1
mayville-st-comets,1
oakwood-ambassadors,1
st-francis-il-fighting-saints,1
