odds_slug,suggested_game_team,suggested_game_slug,similarity
stpeterspeacocks,,,0.5366
stthomasmntommies,,,0.5366
syracuseorange,,,0.5
tarletonstatetexans,,,0.6486
tcuhornedfrogs,,,0.4848
tennesseesttigers,,,0.5517
tennesseevolunteers,,,0.6818
texasaandmaggies,,,0.5161
texasaandmccislanders,,,0.55
texaslonghorns,,,0.5714
texassoutherntigers,,,0.6842
texasstatebobcats,,,0.5625
toledorockets,,,0.5
towsontigers,,,0.72
tulanegreenwave,,,0.5143
ualbanygreatdanes,,,0.5
ucdavisaggies,,,0.6429
ucfknights,,,0.5333
ucsandiegotritons,,,0.75
ucsantabarbaragauchos,,,0.5789
umbcretrievers,,,0.5806
uncashevillebulldogs,,,0.6875
uncgreensborospartans,,,0.5
unlvrebels,,,0.6087
usctrojans,,,0.6667
utahutes,,,0.6087
utahvalleywolverines,,,0.5143
utarlingtonmavericks,,,0.5238
utriograndevalleyvaqueros,,,0.4762
vanderbiltcommodores,,,0.5143
villanovawildcats,,,0.6875
virginiatechhokies,,,0.6857
washingtonhuskies,,,0.6207
washingtonstcougars,Washington State Cougars,washingtonstatecougars,0.9268
weberstatewildcats,,,0.6316
westerncarolinacatamounts,,,0.5769
westernkentuckyhilltoppers,,,0.5714
westernmichiganbroncos,,,0.5652
westvirginiamountaineers,,,0.6341
wichitastshockers,,,0.5556
williamandmarytribe,,,0.5263
woffordterriers,,,0.6897
wyomingcowboys,,,0.6429
xaviermusketeers,,,0.5405
youngstownstpenguins,Youngstown State Penguins,youngstownstatepenguins,0.9302
