segment,key,rows,path
conference,A-10,87,C:\Users\mostg\OneDrive\Coding\NCAAB\outputs\models\seg_conference\a10
conference,AAC,103,C:\Users\mostg\OneDrive\Coding\NCAAB\outputs\models\seg_conference\aac
conference,ACC,627,C:\Users\mostg\OneDrive\Coding\NCAAB\outputs\models\seg_conference\acc
conference,Big 12,580,C:\Users\mostg\OneDrive\Coding\NCAAB\outputs\models\seg_conference\big12
conference,Big East,529,C:\Users\mostg\OneDrive\Coding\NCAAB\outputs\models\seg_conference\bigeast
conference,Big Ten,820,C:\Users\mostg\OneDrive\Coding\NCAAB\outputs\models\seg_conference\bigten
conference,Mountain West,201,C:\Users\mostg\OneDrive\Coding\NCAAB\outputs\models\seg_conference\mountainwest
conference,SEC,665,C:\Users\mostg\OneDrive\Coding\NCAAB\outputs\models\seg_conference\sec
conference,WCC,172,C:\Users\mostg\OneDrive\Coding\NCAAB\outputs\models\seg_conference\wcc
conference,nonconf,12535,C:\Users\mostg\OneDrive\Coding\NCAAB\outputs\models\seg_conference\nonconf
