raw,canonical
Akron Zips,Akron Zips
Alabama Crimson Tide,Alabama Crimson Tide
Alabama State Hornets,Alabama State Hornets
American University Eagles,American University Eagles
App State Mountaineers,App State Mountaineers
Arizona State Sun Devils,Arizona State Sun Devils
Arizona Wildcats,Arizona Wildcats
Arkansas Razorbacks,Arkansas Razorbacks
Auburn Tigers,Auburn Tigers
BYU Cougars,BYU Cougars
Baylor Bears,Baylor Bears
Bethune-Cookman Wildcats,Bethune-Cookman Wildcats
Boston College Eagles,Boston College Eagles
Bowling Green Falcons,Bowling Green Falcons
Brown Bears,Brown Bears
Bryant Bulldogs,Bryant Bulldogs
Butler Bulldogs,Butler Bulldogs
Cal State Northridge Matadors,Cal State Northridge Matadors
California Golden Bears,California Golden Bears
Campbell Fighting Camels,Campbell Fighting Camels
Central Arkansas Bears,Central Arkansas Bears
Cincinnati Bearcats,Cincinnati Bearcats
Clemson Tigers,Clemson Tigers
Colgate Raiders,Colgate Raiders
Colorado Buffaloes,Colorado Buffaloes
Colorado State Rams,Colorado State Rams
Columbia Lions,Columbia Lions
Coppin State Eagles,Coppin State Eagles
Cornell Big Red,Cornell Big Red
Creighton Bluejays,Creighton Bluejays
Dartmouth Big Green,Dartmouth Big Green
DePaul Blue Demons,DePaul Blue Demons
Denver Pioneers,Denver Pioneers
Dominican (IL) Stars,Dominican (IL) Stars
Drake Bulldogs,Drake Bulldogs
Duke Blue Devils,Duke Blue Devils
East Texas A&M Lions,East Texas A&M Lions
Eastern Washington Eagles,Eastern Washington Eagles
Evansville Purple Aces,Evansville Purple Aces
Fairfield Stags,Fairfield Stags
Fairleigh Dickinson Knights,Fairleigh Dickinson Knights
Florida Atlantic Owls,Florida Atlantic Owls
Florida Gators,Florida Gators
Florida Gulf Coast Eagles,Florida Gulf Coast Eagles
Florida State Seminoles,Florida State Seminoles
Georgetown Hoyas,Georgetown Hoyas
Georgia Bulldogs,Georgia Bulldogs
