game_id,season,date,start_time,start_time_local,start_tz_abbr,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,pred_total,pred_margin,actual_total,actual_margin,market_total,spread_home,market_total_1h,market_total_2h,spread_home_1h,actual_total_1h,actual_total_2h,pred_total_1h,pred_total_2h,pred_margin_1h,pred_margin_2h,err_model_total_1h,err_model_total_2h,ats_result,actual_margin_1h,ats_result_1h,ml_model_p_home,home_win,brier_ml,logloss_ml,book,bet,line,price,pred_total_pick,edge,pick_result,no_pred
401808582,2025,2025-12-20,2025-12-20 22:00:00+00:00,2025-12-20 17:00,EST,Georgia Southern Eagles,James Madison Dukes,96,92,37,39,43,41,False,Jack and Ruth Ann Hill Convocation Center,,,188,4,155.0,-2.5,75.175,79.825,-1.25,76,84,,,,,,,home_cover,-2,away_cover,,1.0,,,,,,,,,,1
401817180,2025,2025-12-20,2025-12-20 23:00:00+00:00,2025-12-20 18:00,EST,Richmond Spiders,The Citadel Bulldogs,80,56,42,32,38,24,False,Robins Center,,,136,24,147.0,-20.0,71.295,75.705,-10.0,74,62,,,,,,,home_cover,10,home_cover,,1.0,,,,,,,,,,1
401809083,2025,2025-12-20,2025-12-20 23:00:00+00:00,2025-12-20 18:00,EST,Iowa Hawkeyes,Bucknell Bison,94,39,43,21,51,18,False,Casey's Center,,,133,55,134.0,-25.5,64.99,69.01,-12.75,64,69,,,,,,,home_cover,22,home_cover,,1.0,,,,,,,,,,1
401828924,2025,2025-12-20,2025-12-21 00:00:00+00:00,2025-12-20 19:00,EST,UNLV Rebels,Fresno State Bulldogs,84,72,39,41,45,31,False,Thomas & Mack Center,,,156,12,159.5,-8.0,77.3575,82.1425,-4.0,80,76,,,,,,,home_cover,-2,home_cover,,1.0,,,,,,,,,,1
401828515,2025,2025-12-20,2025-12-21 00:00:00+00:00,2025-12-20 19:00,EST,Lamar Cardinals,Omaha Mavericks,82,85,32,43,44,33,False,Montagne Center,,,167,-3,141.0,-6.5,68.385,72.615,-3.25,75,77,,,,,,,home_cover,-11,away_cover,,0.0,,,,,,,,,,1
401819913,2025,2025-12-20,2025-12-21 00:00:00+00:00,2025-12-20 19:00,EST,Utah Utes,Eastern Washington Eagles,101,77,50,34,51,43,False,Jon M. Huntsman Center,,,178,24,158.5,-11.0,76.8725,81.6275,-5.5,84,94,,,,,,,home_cover,16,home_cover,,1.0,,,,,,,,,,1
401826849,2025,2025-12-20,2025-12-21 00:30:00+00:00,2025-12-20 19:30,EST,Tulane Green Wave,Portland State Vikings,63,61,24,23,39,38,False,Devlin Fieldhouse,,,124,2,145.5,-3.5,70.5675,74.9325,-1.75,47,77,,,,,,,home_cover,1,home_cover,,1.0,,,,,,,,,,1
401826047,2025,2025-12-20,2025-12-21 01:00:00+00:00,2025-12-20 20:00,EST,St. Thomas-Minnesota Tommies,UC Riverside Highlanders,92,78,41,38,51,40,False,Lee & Penny Anderson Arena,,,170,14,152.5,-14.5,73.96249999999999,78.53750000000001,-7.25,79,91,,,,,,,home_cover,3,home_cover,,1.0,,,,,,,,,,1
401823538,2025,2025-12-20,2025-12-21 01:00:00+00:00,2025-12-20 20:00,EST,California Baptist Lancers,Sacramento State Hornets,74,67,38,34,36,33,False,Dale E. and Sarah Ann Fowler Events Center,,,141,7,155.0,-14.5,75.175,79.825,-7.25,72,69,,,,,,,home_cover,4,home_cover,,1.0,,,,,,,,,,1
401817474,2025,2025-12-20,2025-12-21 01:00:00+00:00,2025-12-20 20:00,EST,Colorado Buffaloes,Stanford Cardinal,68,77,35,33,33,44,True,Mortgage Matchup Center,,,145,-9,152.5,-4.5,73.96249999999999,78.53750000000001,-2.25,68,77,,,,,,,away_cover,2,home_cover,,0.0,,,,,,,,,,1
401812582,2025,2025-12-20,2025-12-21 01:00:00+00:00,2025-12-20 20:00,EST,Rutgers Scarlet Knights,Pennsylvania Quakers,70,69,29,33,41,36,False,Jersey Mike’s Arena,,,139,1,147.0,-11.5,71.295,75.705,-5.75,62,77,,,,,,,home_cover,-4,home_cover,,1.0,,,,,,,,,,1
401822874,2025,2025-12-20,2025-12-21 01:30:00+00:00,2025-12-20 20:30,EST,Georgetown Hoyas,Xavier Musketeers,77,80,40,35,37,45,False,Capital One Arena,,,157,-3,152.0,-4.5,73.72,78.28,-2.25,75,82,,,,,,,home_cover,5,home_cover,,0.0,,,,,,,,,,1
401822873,2025,2025-12-20,2025-12-21 01:30:00+00:00,2025-12-20 20:30,EST,Creighton Bluejays,Marquette Golden Eagles,84,63,46,32,38,31,False,CHI Health Center Omaha,,,147,21,151.5,-6.5,73.47749999999999,78.02250000000001,-3.25,78,69,,,,,,,home_cover,14,home_cover,,1.0,,,,,,,,,,1
401820490,2025,2025-12-20,2025-12-21 01:30:00+00:00,2025-12-20 20:30,EST,Texas A&M-Corpus Christi Islanders,Southwestern Adventist Knights,93,36,48,15,45,21,False,American Bank Center,,,129,57,,,,,,63,66,,,,,,,away_cover,33,away_cover,,1.0,,,,,,,,,,1
401829327,2025,2025-12-20,2025-12-21 02:00:00+00:00,2025-12-20 21:00,EST,New Mexico Lobos,San José State Spartans,88,65,41,28,47,37,False,The Pit,,,153,23,149.5,-15.0,72.5075,76.9925,-7.5,69,84,,,,,,,home_cover,13,home_cover,,1.0,,,,,,,,,,1
401824074,2025,2025-12-20,2025-12-21 02:00:00+00:00,2025-12-20 21:00,EST,Pepperdine Waves,Rice Owls,84,62,36,29,48,33,False,Firestone Fieldhouse,,,146,22,140.5,1.5,68.1425,72.3575,0.75,65,81,,,,,,,home_cover,7,home_cover,,1.0,,,,,,,,,,1
401824030,2025,2025-12-20,2025-12-21 02:00:00+00:00,2025-12-20 21:00,EST,Weber State Wildcats,Utah Tech Trailblazers,80,82,41,43,39,39,False,Dee Events Center,,,162,-2,151.0,-5.5,73.235,77.765,-2.75,84,78,,,,,,,home_cover,-2,home_cover,,0.0,,,,,,,,,,1
401823820,2025,2025-12-20,2025-12-21 03:00:00+00:00,2025-12-20 22:00,EST,Nevada Wolf Pack,Boise State Broncos,81,66,36,26,45,40,False,Lawlor Events Center,,,147,15,141.5,3.5,68.6275,72.8725,1.75,62,85,,,,,,,home_cover,10,home_cover,,1.0,,,,,,,,,,1
