game_id,home_team,away_team,period,market,book,pick,edge,line_value,predicted_value,fair_price,actual_total,actual_total_1h,actual_total_2h,actual_margin,actual_margin_1h,home_score,away_score,result,pnl_units
401823862,Manhattan Jaspers,Furman Paladins,2h,moneyline,Caesars,Manhattan Jaspers ML,67.12214000264497,360.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401823862,Manhattan Jaspers,Furman Paladins,2h,moneyline,Bovada,Manhattan Jaspers ML,66.76084483783886,355.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401808580,Southern Miss Golden Eagles,Louisiana Ragin' Cajuns,2h,moneyline,DraftKings,Louisiana Ragin' Cajuns ML,65.27446413550143,750.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401808580,Southern Miss Golden Eagles,Louisiana Ragin' Cajuns,2h,moneyline,BetMGM,Louisiana Ragin' Cajuns ML,64.22217516991057,725.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401806346,Lindenwood Lions,Western Illinois Leathernecks,2h,moneyline,FanDuel,Western Illinois Leathernecks ML,63.55962285824225,710.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401808580,Southern Miss Golden Eagles,Louisiana Ragin' Cajuns,2h,moneyline,BetOnline.ag,Louisiana Ragin' Cajuns ML,63.51457912877159,709.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401808580,Southern Miss Golden Eagles,Louisiana Ragin' Cajuns,2h,moneyline,LowVig.ag,Louisiana Ragin' Cajuns ML,63.51457912877159,709.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401808580,Southern Miss Golden Eagles,Louisiana Ragin' Cajuns,2h,moneyline,BetUS,Louisiana Ragin' Cajuns ML,63.10411814397027,700.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401808580,Southern Miss Golden Eagles,Louisiana Ragin' Cajuns,2h,moneyline,Caesars,Louisiana Ragin' Cajuns ML,63.10411814397027,700.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401806346,Lindenwood Lions,Western Illinois Leathernecks,2h,moneyline,DraftKings,Western Illinois Leathernecks ML,60.644392686901625,650.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401806346,Lindenwood Lions,Western Illinois Leathernecks,2h,moneyline,Fanatics,Western Illinois Leathernecks ML,60.644392686901625,650.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401808580,Southern Miss Golden Eagles,Louisiana Ragin' Cajuns,2h,moneyline,BetRivers,Louisiana Ragin' Cajuns ML,60.644392686901625,650.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401808580,Southern Miss Golden Eagles,Louisiana Ragin' Cajuns,2h,moneyline,Bovada,Louisiana Ragin' Cajuns ML,60.644392686901625,650.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401806346,Lindenwood Lions,Western Illinois Leathernecks,2h,moneyline,BetOnline.ag,Western Illinois Leathernecks ML,59.95019608572078,637.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401806346,Lindenwood Lions,Western Illinois Leathernecks,2h,moneyline,LowVig.ag,Western Illinois Leathernecks ML,59.95019608572078,637.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401806346,Lindenwood Lions,Western Illinois Leathernecks,2h,moneyline,BetUS,Western Illinois Leathernecks ML,59.5661568701044,630.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401806346,Lindenwood Lions,Western Illinois Leathernecks,2h,moneyline,BetMGM,Western Illinois Leathernecks ML,59.2873027795534,625.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401806346,Lindenwood Lions,Western Illinois Leathernecks,2h,moneyline,Bovada,Western Illinois Leathernecks ML,57.83327787882316,600.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401806346,Lindenwood Lions,Western Illinois Leathernecks,2h,moneyline,BetRivers,Western Illinois Leathernecks ML,53.88014767996284,540.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401806345,Eastern Illinois Panthers,SIU-Edwardsville Cougars,2h,moneyline,Bovada,Eastern Illinois Panthers ML,52.73807625380213,220.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401806345,Eastern Illinois Panthers,SIU-Edwardsville Cougars,2h,moneyline,DraftKings,Eastern Illinois Panthers ML,52.73807625380213,220.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401806345,Eastern Illinois Panthers,SIU-Edwardsville Cougars,2h,moneyline,FanDuel,Eastern Illinois Panthers ML,52.73807625380213,220.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401806345,Eastern Illinois Panthers,SIU-Edwardsville Cougars,2h,moneyline,BetUS,Eastern Illinois Panthers ML,52.44083145036693,218.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401820804,Charlotte 49ers,Lafayette Leopards,2h,moneyline,FanDuel,Lafayette Leopards ML,52.39241050834874,520.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401806345,Eastern Illinois Panthers,SIU-Edwardsville Cougars,2h,moneyline,BetOnline.ag,Eastern Illinois Panthers ML,51.98788698798948,215.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
