game_id,date,start_time,home_team,away_team,home_score,away_score,home_score_1h_x,away_score_1h_x,home_score_2h_x,away_score_2h_x,neutral_site,venue,status,completed,home_score_m,away_score_m,status_m,home_score_1h_m,away_score_1h_m,home_score_2h_m,away_score_2h_m,pred_total,pred_margin,market_total,spread_home,actual_total,actual_margin,ats_result,ou_result_full,home_score_1h_y,away_score_1h_y,home_score_2h_y,away_score_2h_y,home_score_bs,away_score_bs,home_score_1h,away_score_1h,home_score_2h,away_score_2h,actual_total_1h,actual_total_2h
401851762,2026-03-10,2026-03-11 01:07:00+00:00,Gonzaga Bulldogs,Santa Clara Broncos,79,68,29,33,50,35,True,Orleans Arena,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,157.1451416015625,40.44375228881836,162.5,-6.5,147,11,Home Cover,Under,,,,,79.0,68.0,29.0,33.0,50.0,35.0,62.0,85.0
401851282,2026-03-10,2026-03-10 16:30:00+00:00,Arizona State Sun Devils,Baylor Bears,83,79,44,35,39,44,True,T-Mobile Center,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,152.20152282714844,-29.535329818725582,153.5,3.5,162,4,Home Cover,Over,,,,,83.0,79.0,44.0,35.0,39.0,44.0,79.0,83.0
401851716,2026-03-10,2026-03-10 18:00:00+00:00,Prairie View A&M Panthers,Alcorn State Braves,65,56,22,26,43,30,True,Gateway Center,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,138.896728515625,9.783564567565918,145.5,-6.5,121,9,Home Cover,Under,,,,,65.0,56.0,22.0,26.0,43.0,30.0,48.0,73.0
401851170,2026-03-10,2026-03-10 18:00:00+00:00,Stanford Cardinal,Pittsburgh Panthers,63,64,23,31,40,33,True,Spectrum Center,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,120.55908203125,-0.5899879773457846,136.5,-5.5,127,-1,Away Cover,Under,,,,,63.0,64.0,23.0,31.0,40.0,33.0,54.0,73.0
401851283,2026-03-10,2026-03-10 19:00:00+00:00,Cincinnati Bearcats,Utah Utes,73,66,29,20,44,46,True,T-Mobile Center,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,137.29354125976562,17.87628204345703,136.5,-11.5,139,7,Away Cover,Over,,,,,73.0,66.0,29.0,20.0,44.0,46.0,49.0,90.0
401851171,2026-03-10,2026-03-10 20:30:00+00:00,SMU Mustangs,Syracuse Orange,86,69,39,38,47,31,True,Spectrum Center,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,151.0377197265625,-2.5463662147521973,155.0,-5.0,155,17,Home Cover,Push,,,,,86.0,69.0,39.0,38.0,47.0,31.0,77.0,78.0
401851362,2026-03-10,2026-03-10 21:00:00+00:00,Oregon Ducks,Maryland Terrapins,60,70,12,33,48,37,True,United Center,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,121.01571044921874,0.3222218513488768,138.5,-3.5,130,-10,Away Cover,Under,,,,,60.0,70.0,12.0,33.0,48.0,37.0,45.0,85.0
401851202,2026-03-10,2026-03-10 22:00:00+00:00,UMBC Retrievers,UMass Lowell River Hawks,91,69,43,29,48,40,False,Chesapeake Employers Insurance Arena,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,141.84912109375,11.60585880279541,145.5,-8.0,160,22,Home Cover,Over,,,,,91.0,69.0,43.0,29.0,48.0,40.0,72.0,88.0
401851405,2026-03-10,2026-03-10 22:30:00+00:00,Florida International Panthers,Missouri State Bears,72,75,36,31,36,44,True,Propst Arena,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,144.64894104003906,-9.020912170410156,152.5,-1.5,147,-3,Away Cover,Under,,,,,72.0,75.0,36.0,31.0,36.0,44.0,67.0,80.0
401856433,2026-03-10,2026-03-10 23:00:00+00:00,Hofstra Pride,Monmouth Hawks,75,69,35,32,40,37,True,CareFirst Arena,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,143.77096557617188,11.068920135498049,134.5,-4.5,144,6,Home Cover,Over,,,,,75.0,69.0,35.0,32.0,40.0,37.0,67.0,77.0
