game_id,date,start_time,home_team,away_team,home_score,away_score,home_score_1h_x,away_score_1h_x,home_score_2h_x,away_score_2h_x,neutral_site,venue,status,home_score_m,away_score_m,home_score_1h_m,away_score_1h_m,home_score_2h_m,away_score_2h_m,pred_total,pred_margin,market_total,spread_home,actual_total,actual_margin,ats_result,ou_result_full,home_score_1h_y,away_score_1h_y,home_score_2h_y,away_score_2h_y,home_score_bs,away_score_bs,home_score_1h,away_score_1h,home_score_2h,away_score_2h,actual_total_1h,actual_total_2h
401812794,2025-12-12,2025-12-13 01:00:00+00:00,UConn Huskies,Texas Longhorns,71.0,63.0,43,34,28,29,False,PeoplesBank Arena,,0.0,0.0,,,,,,,145.5,-14.5,134.0,8.0,Away Cover,Under,,,,,,,43.0,34.0,28.0,29.0,77.0,57.0
401826056,2025-12-12,2025-12-12 23:00:00+00:00,UMBC Retrievers,Army Black Knights,60.0,63.0,30,36,30,27,False,Chesapeake Employers Insurance Arena,,0.0,0.0,,,,,,,146.5,-7.0,123.0,-3.0,Away Cover,Under,,,,,,,30.0,36.0,30.0,27.0,66.0,57.0
401830119,2025-12-12,2025-12-13 00:00:00+00:00,UNC Greensboro Spartans,William Peace Pacers,90.0,62.0,39,37,51,25,False,Bodford Arena,,0.0,0.0,,,,,,,,,152.0,28.0,Away Cover,Under,,,,,,,39.0,37.0,51.0,25.0,76.0,76.0
401826971,2025-12-12,2025-12-13 00:00:00+00:00,Gardner-Webb Runnin' Bulldogs,Brevard Tornados,77.0,63.0,32,24,45,39,False,Paul Porter Arena,,0.0,0.0,,,,,,,,,140.0,14.0,Away Cover,Under,,,,,,,32.0,24.0,45.0,39.0,56.0,84.0
401823496,2025-12-12,2025-12-13 00:00:00+00:00,Queens University Royals,South Carolina State Bulldogs,102.0,78.0,49,26,53,52,False,Curry Arena,,0.0,0.0,,,,,,,158.5,-16.5,180.0,24.0,Home Cover,Over,,,,,,,49.0,26.0,53.0,52.0,75.0,105.0
401823328,2025-12-12,2025-12-13 00:00:00+00:00,Xavier Musketeers,Missouri State Bears,75.0,57.0,31,28,44,29,False,Cintas Center,,0.0,0.0,,,,,,,149.0,-18.5,132.0,18.0,Away Cover,Under,,,,,,,31.0,28.0,44.0,29.0,59.0,73.0
401823042,2025-12-12,2025-12-13 00:00:00+00:00,North Carolina A&T Aggies,Maryland Eastern Shore Hawks,82.0,79.0,33,37,49,42,False,Corbett Sports Center,,0.0,0.0,,,,,,,128.5,-7.0,161.0,3.0,Away Cover,Over,,,,,,,33.0,37.0,49.0,42.0,70.0,91.0
401822353,2025-12-12,2025-12-13 00:00:00+00:00,Stonehill Skyhawks,Vermont State - Johnson Badgers,101.0,60.0,48,22,53,38,False,Merkert Gymnasium,,0.0,0.0,,,,,,,,,161.0,41.0,Away Cover,Under,,,,,,,48.0,22.0,53.0,38.0,70.0,91.0
401829476,2025-12-12,2025-12-13 01:00:00+00:00,South Dakota State Jackrabbits,Dakota Wesleyan Tigers,94.0,62.0,42,30,52,32,False,First Bank & Trust Arena,,0.0,0.0,,,,,,,,,156.0,32.0,Away Cover,Under,,,,,,,42.0,30.0,52.0,32.0,72.0,84.0
401824893,2025-12-12,2025-12-13 01:00:00+00:00,Austin Peay Governors,East Tennessee State Buccaneers,76.0,75.0,43,34,33,41,False,F&M Bank Arena,,0.0,0.0,,,,,,,143.5,4.25,151.0,1.0,Home Cover,Over,,,,,,,43.0,34.0,33.0,41.0,77.0,74.0
401820489,2025-12-12,2025-12-13 01:00:00+00:00,Texas A&M-Corpus Christi Islanders,Dallas Christian Crusaders,108.0,55.0,55,25,53,30,False,American Bank Center,,0.0,0.0,,,,,,,,,163.0,53.0,Away Cover,Under,,,,,,,55.0,25.0,53.0,30.0,80.0,83.0
401808702,2025-12-12,2025-12-13 01:30:00+00:00,McNeese Cowboys,East Texas A&M Lions,102.0,66.0,59,29,43,37,False,Townsley Law Arena,,0.0,0.0,,,,,,,142.25,-20.0,168.0,36.0,Home Cover,Over,,,,,,,59.0,29.0,43.0,37.0,88.0,80.0
401823506,2025-12-12,2025-12-13 02:00:00+00:00,Eastern Washington Eagles,California Baptist Lancers,83.0,88.0,41,47,42,41,False,Reese Court,,0.0,0.0,,,,,,,152.5,3.5,171.0,-5.0,Away Cover,Over,,,,,,,41.0,47.0,42.0,41.0,88.0,83.0
