game_id,date,start_time,home_team,away_team,home_score,away_score,home_score_1h_x,away_score_1h_x,home_score_2h_x,away_score_2h_x,neutral_site,venue,status,completed,home_score_m,away_score_m,status_m,home_score_1h_m,away_score_1h_m,home_score_2h_m,away_score_2h_m,pred_total,pred_margin,market_total,spread_home,actual_total,actual_margin,ats_result,ou_result_full,home_score_1h_y,away_score_1h_y,home_score_2h_y,away_score_2h_y,home_score_bs,away_score_bs,home_score_1h,away_score_1h,home_score_2h,away_score_2h,actual_total_1h,actual_total_2h
401825552,2026-03-01,2026-03-01 18:30:00+00:00,Ohio State Buckeyes,Purdue Boilermakers,82,74,36,31,46,43,False,Value City Arena,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,97.4525032043457,-8.830834007263183,150.5,6.5,156,8,Home Cover,Over,,,,,82.0,74.0,36.0,31.0,46.0,43.0,67.0,89.0
401825550,2026-03-01,2026-03-01 20:45:00+00:00,Indiana Hoosiers,Michigan State Spartans,64,77,37,45,27,32,False,Simon Skjodt Assembly Hall,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,153.62159729003906,-17.46749496459961,144.5,2.5,141,-13,Away Cover,Under,,,,,64.0,77.0,37.0,45.0,27.0,32.0,82.0,59.0
401828454,2026-03-01,2026-03-01 17:00:00+00:00,Davidson Wildcats,La Salle Explorers,71,64,33,27,38,37,False,John M. Belk Arena,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,145.3646697998047,16.736766815185547,133.5,-11.5,135,7,Away Cover,Over,,,,,71.0,64.0,33.0,27.0,38.0,37.0,60.0,75.0
401828254,2026-03-01,2026-03-01 17:00:00+00:00,South Florida Bulls,Tulane Green Wave,90,62,49,38,41,24,False,Yuengling Center,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,143.66488911946612,4.975523700714112,155.5,-15.5,152,28,Home Cover,Under,,,,,90.0,62.0,49.0,38.0,41.0,24.0,87.0,65.0
401828250,2026-03-01,2026-03-01 17:00:00+00:00,UAB Blazers,North Texas Mean Green,58,62,28,21,30,41,False,Bartow Arena,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,96.2439224243164,2.4666158676147463,142.5,-4.5,120,-4,Away Cover,Under,,,,,58.0,62.0,28.0,21.0,30.0,41.0,49.0,71.0
401825551,2026-03-01,2026-03-01 17:00:00+00:00,Maryland Terrapins,Rutgers Scarlet Knights,65,69,20,39,45,30,False,XFINITY Center,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,98.80304565429688,5.095534706115722,142.5,-4.5,134,-4,Away Cover,Under,,,,,65.0,69.0,20.0,39.0,45.0,30.0,59.0,75.0
401830316,2026-03-01,2026-03-01 18:00:00+00:00,Indiana State Sycamores,UIC Flames,79,63,35,31,44,32,False,Hulman Center,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,140.7255096435547,1.159393310546875,143.5,3.5,142,16,Home Cover,Under,,,,,79.0,63.0,35.0,31.0,44.0,32.0,66.0,76.0
401813372,2026-03-01,2026-03-01 18:00:00+00:00,Canisius Golden Griffins,Quinnipiac Bobcats,63,67,30,29,33,38,False,Koessler Athletic Center,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,139.42160034179688,2.6570723056793213,137.5,8.0,130,-4,Home Cover,Under,,,,,63.0,67.0,30.0,29.0,33.0,38.0,59.0,71.0
401830221,2026-03-01,2026-03-01 19:00:00+00:00,Bradley Braves,Murray State Racers,87,78,36,35,51,43,False,Carver Arena,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,144.57801818847656,-11.03471565246582,158.5,-4.5,165,9,Home Cover,Over,,,,,87.0,78.0,36.0,35.0,51.0,43.0,71.0,94.0
401828253,2026-03-01,2026-03-01 19:00:00+00:00,Temple Owls,Rice Owls,74,80,36,35,38,45,False,Liacouras Center,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,144.41287231445312,6.972817420959473,141.5,-6.5,154,-6,Away Cover,Over,,,,,74.0,80.0,36.0,35.0,38.0,45.0,71.0,83.0
