game_id,date,start_time,home_team,away_team,home_score,away_score,home_score_1h_x,away_score_1h_x,home_score_2h_x,away_score_2h_x,neutral_site,venue,status,home_score_m,away_score_m,home_score_1h_m,away_score_1h_m,home_score_2h_m,away_score_2h_m,pred_total,pred_margin,market_total,spread_home,actual_total,actual_margin,ats_result,ou_result_full,home_score_1h_y,away_score_1h_y,home_score_2h_y,away_score_2h_y,home_score_1h,away_score_1h,home_score_2h,away_score_2h,actual_total_1h,actual_total_2h
401823514,2025-11-07,2025-11-08 01:30:00+00:00,Southern Indiana Screaming Eagles,VMI Keydets,72,74,37,30,35.0,44.0,False,Liberty Arena (IN),,72,74,37.0,30.0,35.0,44.0,149.79483032226562,2.259175062179565,,,146,-2,Away Cover,Under,37.0,30.0,35.0,44.0,37,30,35.0,44.0,67.0,79.0
401808949,2025-11-07,2025-11-08 01:30:00+00:00,Louisiana Ragin' Cajuns,SE Louisiana Lions,55,43,34,20,21.0,23.0,False,Cajundome,,55,43,34.0,20.0,21.0,23.0,150.1744384765625,6.849527359008789,,,98,12,Away Cover,Under,34.0,20.0,21.0,23.0,34,20,21.0,23.0,54.0,44.0
401824023,2025-11-07,2025-11-08 02:00:00+00:00,Arizona Wildcats,Utah Tech Trailblazers,75,55,44,37,31.0,18.0,False,McKale Memorial Center,,75,55,44.0,37.0,31.0,18.0,150.39134216308594,9.472585678100586,,,130,20,Away Cover,Under,44.0,37.0,31.0,18.0,44,37,31.0,18.0,81.0,49.0
401828473,2025-11-07,2025-11-08 02:00:00+00:00,UTEP Miners,Western New Mexico Mustangs,88,56,52,27,36.0,29.0,False,Don Haskins Center,,88,56,52.0,27.0,36.0,29.0,150.7167205810547,13.40717315673828,,,144,32,Away Cover,Under,52.0,27.0,36.0,29.0,52,27,36.0,29.0,79.0,65.0
401823554,2025-11-07,2025-11-08 02:00:00+00:00,San Diego Toreros,Idaho State Bengals,49,62,25,34,24.0,28.0,False,Jenny Craig Pavilion,,49,62,25.0,34.0,24.0,28.0,149.49658203125,-1.3475298881530762,,,111,-13,Away Cover,Under,25.0,34.0,24.0,28.0,25,34,24.0,28.0,59.0,52.0
401823509,2025-11-07,2025-11-08 02:00:00+00:00,Idaho Vandals,Whitman Missionaries,91,46,37,29,54.0,17.0,False,ICCU Arena,,91,46,37.0,29.0,54.0,17.0,151.06919860839844,17.66964340209961,,,137,45,Away Cover,Under,37.0,29.0,54.0,17.0,37,29,54.0,17.0,66.0,71.0
401823002,2025-11-07,2025-11-08 02:00:00+00:00,Grand Canyon Lopes,Youngstown State Penguins,59,63,37,38,22.0,25.0,False,Global Credit Union Arena,,59,63,37.0,38.0,22.0,25.0,149.7406005859375,1.6034104824066162,,,122,-4,Away Cover,Under,37.0,38.0,22.0,25.0,37,38,22.0,25.0,75.0,47.0
401818298,2025-11-07,2025-11-08 02:00:00+00:00,Navy Midshipmen,Yale Bulldogs,52,74,31,46,21.0,28.0,False,Alumni Hall (Navy),,52,74,31.0,46.0,21.0,28.0,149.25254821777344,-4.298470973968506,,,126,-22,Away Cover,Under,31.0,46.0,21.0,28.0,31,46,21.0,28.0,77.0,49.0
401817253,2025-11-07,2025-11-08 02:00:00+00:00,NC State Wolfpack,UAB Blazers,75,54,41,33,34.0,21.0,False,Lenovo Center,,75,54,41.0,33.0,34.0,21.0,150.41845703125,9.80046844482422,,,129,21,Away Cover,Under,41.0,33.0,34.0,21.0,41,33,34.0,21.0,74.0,55.0
401826927,2025-11-07,2025-11-08 03:00:00+00:00,Sacramento State Hornets,Jessup University Warriors,37,33,37,33,,,False,Hornet Pavilion,,37,33,37.0,33.0,,,149.95751953125,4.226469039916992,,,70,4,Away Cover,Under,37.0,33.0,,,37,33,0.0,0.0,70.0,0.0
401826922,2025-11-07,2025-11-08 03:00:00+00:00,Portland State Vikings,Northwest Indian RedHawks,55,28,55,28,,,False,Viking Pavilion,,55,28,55.0,28.0,,,150.58114624023438,11.767762184143066,,,83,27,Away Cover,Under,55.0,28.0,,,55,28,0.0,0.0,83.0,0.0
401826804,2025-11-07,2025-11-08 03:00:00+00:00,Oregon Ducks,Rice Owls,24,24,24,24,,,False,Matthew Knight Arena,,24,24,24.0,24.0,,,149.84906005859375,2.9149398803710938,,,48,0,Push,Under,24.0,24.0,,,24,24,0.0,0.0,48.0,0.0
401824119,2025-11-07,2025-11-08 03:00:00+00:00,Santa Clara Broncos,McNeese Cowboys,30,29,30,29,,,False,Leavey Center,,30,29,30.0,29.0,,,149.8761749267578,3.2428221702575684,,,59,1,Away Cover,Under,30.0,29.0,,,30,29,0.0,0.0,59.0,0.0
401824055,2025-11-07,2025-11-08 03:00:00+00:00,Oregon State Beavers,UIC Flames,32,32,32,32,,,False,Gill Coliseum,,32,32,32.0,32.0,,,149.84906005859375,2.9149398803710938,,,64,0,Push,Under,32.0,32.0,,,32,32,0.0,0.0,64.0,0.0
401813757,2025-11-07,2025-11-08 03:30:00+00:00,UCLA Bruins,Pepperdine Waves,8,7,8,7,,,False,Pauley Pavilion,,8,7,8.0,7.0,,,149.8761749267578,3.2428221702575684,,,15,1,Away Cover,Under,8.0,7.0,,,8,7,0.0,0.0,15.0,0.0
401829430,2025-11-07,2025-11-08 03:30:00+00:00,Saint Mary's Gaels,Chattanooga Mocs,16,12,16,12,,,False,University Credit Union Pavilion,,16,12,16.0,12.0,,,149.95751953125,4.226469039916992,,,28,4,Away Cover,Under,16.0,12.0,,,16,12,0.0,0.0,28.0,0.0
401823531,2025-11-07,2025-11-08 03:30:00+00:00,UC Irvine Anteaters,California Baptist Lancers,11,3,11,3,,,False,Bren Events Center,,11,3,11.0,3.0,,,150.06597900390625,5.537998199462891,,,14,8,Away Cover,Under,11.0,3.0,,,11,3,0.0,0.0,14.0,0.0
401826869,2025-11-07,2025-11-08 00:00:00+00:00,Purdue Boilermakers,Oakland Golden Grizzlies,87,77,35,35,52.0,42.0,False,Mackey Arena,,87,77,35.0,35.0,52.0,42.0,150.12020874023438,6.19376277923584,,,164,10,Away Cover,Under,35.0,35.0,52.0,42.0,35,35,52.0,42.0,70.0,94.0
401812786,2025-11-07,2025-11-08 00:30:00+00:00,UConn Huskies,UMass Lowell River Hawks,110,47,64,17,46.0,30.0,False,PeoplesBank Arena,,110,47,64.0,17.0,46.0,30.0,151.55726623535156,23.57152366638184,,,157,63,Away Cover,Under,64.0,17.0,46.0,30.0,64,17,46.0,30.0,81.0,76.0
401822330,2025-11-07,2025-11-08 00:00:00+00:00,Kentucky Wildcats,Valparaiso Beacons,107,59,58,26,49.0,33.0,False,Rupp Arena,,107,59,58.0,26.0,49.0,33.0,151.15054321289062,18.653289794921875,,,166,48,Away Cover,Under,58.0,26.0,49.0,33.0,58,26,49.0,33.0,84.0,82.0
401819899,2025-11-07,2025-11-08 01:00:00+00:00,Texas Tech Red Raiders,Sam Houston Bearkats,98,77,47,37,51.0,40.0,False,United Supermarkets Arena,,98,77,47.0,37.0,51.0,40.0,150.41845703125,9.80046844482422,,,175,21,Away Cover,Under,47.0,37.0,51.0,40.0,47,37,51.0,40.0,84.0,91.0
401823225,2025-11-07,2025-11-08 01:30:00+00:00,Illinois Fighting Illini,Florida Gulf Coast Eagles,113,70,59,27,54.0,43.0,False,State Farm Center,,113,70,59.0,27.0,54.0,43.0,151.0149688720703,17.013879776000977,,,183,43,Away Cover,Under,59.0,27.0,54.0,43.0,59,27,54.0,43.0,86.0,97.0
