game_id,season,date,start_time,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,pred_total,pred_margin,actual_total,actual_margin,market_total,spread_home,market_total_1h,market_total_2h,spread_home_1h,err_model_total,actual_total_1h,actual_total_2h,pred_total_1h,pred_total_2h,pred_margin_1h,pred_margin_2h,err_model_total_1h,err_model_total_2h,ats_result,actual_margin_1h,ats_result_1h,ml_model_p_home,home_win,brier_ml,logloss_ml,book,bet,line,price,pred_total_pick,edge,pick_result,no_pred
401812356,2025,2025-11-22,2025-11-22 19:00:00+00:00,illinois fighting illini,long island university sharks,98,58,54,19,44,39,False,State Farm Center,102.87886962890624,31.09398765563965,156,40,,,,,,-53.12113037109376,73,83,49.896251770019525,52.98261785888672,15.546993827819826,15.546993827819826,-23.103748229980475,-30.01738214111328,away_cover,35,away_cover,0.9883645856675002,1.0,0.0001353828666889,0.0117036354696266,,,,,,,,0
401822725,2025,2025-11-22,2025-11-22 17:00:00+00:00,georgetown hoyas,wagner seahawks,92,75,44,27,48,48,False,Capital One Arena,149.38730468749998,12.022806358337402,167,17,,,,,,-17.612695312500023,71,96,72.45284277343748,76.9344619140625,6.011403179168701,6.011403179168701,1.4528427734374816,-19.065538085937504,away_cover,17,away_cover,0.8478121872267382,1.0,0.0231611303567093,0.1650961450469187,,,,,,,,0
401820152,2025,2025-11-22,2025-11-22 17:00:00+00:00,navy midshipmen,njit highlanders,86,70,51,36,35,34,False,Alumni Hall (Navy),142.33929443359375,8.816822052001953,156,16,,,,,,-13.66070556640625,87,69,69.03455780029297,73.30473663330078,4.408411026000977,4.408411026000977,-17.965442199707027,4.304736633300777,away_cover,15,away_cover,0.7789479455869787,1.0,0.0488640107602173,0.2498110574403892,,,,,,,,0
401828682,2025,2025-11-22,2025-11-22 18:00:00+00:00,new haven chargers,vermont state lyndon hornets,122,51,58,21,64,30,False,Jeffery P. Hazell Athletics Center,141.8512420654297,2.9149398803710938,173,71,,,,,,-31.148757934570312,79,94,68.7978524017334,73.0533896636963,1.4574699401855469,1.4574699401855469,-10.202147598266606,-20.946610336303703,away_cover,37,away_cover,0.6026262666456028,1.0,0.1579058839600115,0.5064580643782812,,,,,,,,0
401823190,2025,2025-11-22,2025-11-22 18:00:00+00:00,le moyne dolphins,fairfield stags,83,97,38,56,45,41,False,Ted Grant Court,138.93463134765625,6.333856582641602,180,-14,,,,,,-41.06536865234375,94,86,67.38329620361328,71.55133514404297,3.166928291320801,3.166928291320801,-26.61670379638672,-14.448664855957034,away_cover,-18,away_cover,0.7119424216439034,0.0,0.5068620117361856,1.2445948939809426,,,,,,,,0
401812605,2025,2025-11-22,2025-11-22 18:30:00+00:00,boston university terriers,harvard crimson,75,74,32,35,43,39,True,Mohegan Sun Arena,140.25422556559244,-1.7846470959981282,149,1,,,,,,-8.745774434407565,67,82,68.02329939931234,72.2309261662801,-0.8923235479990641,-0.8923235479990641,1.0232993993123358,-9.7690738337199,away_cover,-3,away_cover,0.4366056148028696,1.0,0.3174132332716525,0.8287249746584009,,,,,,,,0
401826763,2025,2025-11-22,2025-11-22 19:00:00+00:00,saint peter s peacocks,umass lowell river hawks,68,66,36,31,32,35,False,Yanitelli Center,141.8486785888672,11.604623794555664,134,2,,,,,,7.8486785888671875,67,67,68.79660911560059,73.0520694732666,5.802311897277832,5.802311897277832,1.7966091156005888,6.052069473266599,away_cover,5,away_cover,0.8399429151183082,1.0,0.025618270420825,0.1744213476465305,,,,,,,,0
401823025,2025,2025-11-22,2025-11-22 19:00:00+00:00,marquette golden eagles,central michigan chippewas,85,71,41,36,44,35,False,Fiserv Forum,149.91087341308594,27.956335067749023,156,14,146.0,-4.5,70.81,75.19,-2.25,-6.089126586914063,77,79,72.70677360534668,77.20409980773925,13.978167533874512,13.978167533874512,-4.293226394653317,-1.7959001922607456,home_cover,5,home_cover,0.9819032808579732,1.0,0.0003274912437054,0.0182624674763172,,,,,,,,0
401823014,2025,2025-11-22,2025-11-22 19:00:00+00:00,kent state golden flashes,cleveland state vikings,91,71,42,25,49,46,False,M.A.C. Center,144.88472493489584,4.93779198328654,162,20,,,,,,-17.115275065104157,67,95,70.26909159342448,74.61563334147137,2.46889599164327,2.46889599164327,3.269091593424477,-20.384366658528634,away_cover,17,away_cover,0.6693836789547195,1.0,0.1093071517415159,0.4013978721054939,,,,,,,,0
401820486,2025,2025-11-22,2025-11-22 19:00:00+00:00,texas aandm corpus christi islanders,howard payne yellow jackets,122,75,63,43,59,32,False,American Bank Center,141.71182250976562,2.697506904602051,197,47,,,,,,-55.288177490234375,106,91,68.73023391723633,72.98158859252929,1.3487534523010254,1.3487534523010254,-37.26976608276367,-18.01841140747071,away_cover,20,away_cover,0.5951647657759404,1.0,0.1638915668692492,0.5189169945005299,,,,,,,,0
401813439,2025,2025-11-22,2025-11-22 19:00:00+00:00,dayton flyers,north carolina central eagles,74,55,44,20,30,35,False,UD Arena,148.9426727294922,15.699975967407228,129,19,,,,,,19.942672729492188,64,65,72.2371962738037,76.70547645568848,7.849987983703614,7.849987983703614,8.237196273803704,11.705476455688483,away_cover,24,away_cover,0.9040323257069646,1.0,0.0092097945092141,0.1008901607038781,,,,,,,,0
401813291,2025,2025-11-22,2025-11-22 19:00:00+00:00,oklahoma state cowboys,nicholls colonels,95,81,47,32,48,49,False,Gallagher-Iba Arena,146.94647216796875,21.970571517944336,176,14,,,,,,-29.05352783203125,79,97,71.26903900146485,75.6774331665039,10.985285758972168,10.985285758972168,-7.730960998535153,-21.322566833496097,away_cover,15,away_cover,0.958459285830694,1.0,0.0017256309336959,0.0424281943618917,,,,,,,,0
