game_id,season,date,start_time,start_time_local,start_tz_abbr,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,pred_total,pred_margin,actual_total,actual_margin,market_total,spread_home,ml_home,market_total_1h,market_total_2h,spread_home_1h,actual_total_1h,actual_total_2h,pred_total_1h,pred_total_2h,pred_margin_1h,pred_margin_2h,err_model_total_1h,err_model_total_2h,ats_result,actual_margin_1h,ats_result_1h,ml_model_p_home,ml_implied_home,home_win,brier_ml,logloss_ml,book,bet,line,price,pred_total_pick,edge,pick_result,no_pred
401825496,2026,2026-02-05,2026-02-05 23:30:00+00:00,2026-02-05 18:30,EST,Michigan Wolverines,Penn State Nittany Lions,110,69,56,24,54,45,False,Crisler Center,,,179,41,161.75,-26.5,-9500.0,78.44875,83.30125,-13.25,80,99,,,,,,,home_cover,32,home_cover,,0.9895833333333334,1.0,,,,,,,,,,1
401812145,2026,2026-02-05,2026-02-05 23:00:00+00:00,2026-02-05 18:00,EST,Maine Black Bears,Vermont Catamounts,76,70,38,24,38,46,False,Skip Chappelle Court in Memorial Gymnasium,,,146,6,130.5,8.5,316.0,63.2925,67.20750000000001,4.25,62,84,,,,,,,away_cover,14,home_cover,,0.2403846153846154,1.0,,,,,,,,,,1
401812143,2026,2026-02-05,2026-02-05 23:00:00+00:00,2026-02-05 18:00,EST,UMBC Retrievers,Binghamton Bearcats,79,62,39,26,40,36,False,Chesapeake Employers Insurance Arena,,,141,17,138.25,-11.0,-850.0,67.05125,71.19875,-5.5,65,76,,,,,,,home_cover,13,home_cover,,0.8947368421052632,1.0,,,,,,,,,,1
401812142,2026,2026-02-05,2026-02-05 23:00:00+00:00,2026-02-05 18:00,EST,Bryant Bulldogs,UAlbany Great Danes,63,65,35,30,28,35,False,Chace Athletic Center,,,128,-2,133.5,-1.5,-125.0,64.7475,68.7525,-0.75,65,63,,,,,,,away_cover,5,home_cover,,0.5555555555555556,0.0,,,,,,,,,,1
401827664,2026,2026-02-05,2026-02-06 00:00:00+00:00,2026-02-05 19:00,EST,Cincinnati Bearcats,West Virginia Mountaineers,54,59,30,20,24,39,False,Fifth Third Arena,,,113,-5,127.5,-5.5,-245.0,61.8375,65.6625,-2.75,50,63,,,,,,,home_cover,10,home_cover,,0.7101449275362319,0.0,,,,,,,,,,1
401823318,2026,2026-02-05,2026-02-06 00:00:00+00:00,2026-02-05 19:00,EST,Sacred Heart Pioneers,Fairfield Stags,87,92,38,47,49,45,False,William H. Pitt Center,,,179,-5,155.0,-1.25,-115.0,75.175,79.825,-0.625,85,94,,,,,,,away_cover,-9,away_cover,,0.5348837209302325,0.0,,,,,,,,,,1
401813427,2026,2026-02-05,2026-02-06 00:00:00+00:00,2026-02-05 19:00,EST,Siena Saints,Iona Gaels,79,72,40,47,39,25,False,MVP Arena,,,151,7,140.0,-8.5,-400.0,67.89999999999999,72.10000000000001,-4.25,87,64,,,,,,,home_cover,-7,away_cover,,0.8,1.0,,,,,,,,,,1
401813415,2026,2026-02-05,2026-02-06 00:00:00+00:00,2026-02-05 19:00,EST,Mount St. Mary's Mountaineers,Merrimack Warriors,70,87,40,39,30,48,False,Knott Arena,,,157,-17,132.5,1.5,110.0,64.2625,68.2375,0.75,79,78,,,,,,,away_cover,1,home_cover,,0.4761904761904761,0.0,,,,,,,,,,1
401813367,2026,2026-02-05,2026-02-06 00:00:00+00:00,2026-02-05 19:00,EST,Quinnipiac Bobcats,Canisius Golden Griffins,75,60,41,31,34,29,False,M&T Bank Arena,,,135,15,141.75,-14.5,-1600.0,68.74875,73.00125,-7.25,72,63,,,,,,,home_cover,10,home_cover,,0.9411764705882352,1.0,,,,,,,,,,1
401813339,2026,2026-02-05,2026-02-06 00:00:00+00:00,2026-02-05 19:00,EST,Marist Red Foxes,Rider Broncs,81,52,48,23,33,29,False,McCann Arena,,,133,29,135.5,-14.5,-1400.0,65.7175,69.7825,-7.25,71,62,,,,,,,home_cover,25,home_cover,,0.9333333333333332,1.0,,,,,,,,,,1
