game_id,date,start_time,home_team,away_team,home_score,away_score,home_score_1h_x,away_score_1h_x,home_score_2h_x,away_score_2h_x,neutral_site,venue,status,home_score_m,away_score_m,home_score_1h_m,away_score_1h_m,home_score_2h_m,away_score_2h_m,pred_total,pred_margin,market_total,spread_home,actual_total,actual_margin,ats_result,ou_result_full,home_score_1h_y,away_score_1h_y,home_score_2h_y,away_score_2h_y,home_score_bs,away_score_bs,home_score_1h,away_score_1h,home_score_2h,away_score_2h,actual_total_1h,actual_total_2h
401819878,2025-12-11,2025-12-12 01:00:00+00:00,Iowa State Cyclones,Iowa Hawkeyes,66.0,62.0,25,33,41,29,False,Hilton Coliseum,,0.0,0.0,,,,,,,141.0,-10.5,128.0,4.0,Away Cover,Under,,,,,,,25.0,33.0,41.0,29.0,58.0,70.0
401817511,2025-12-11,2025-12-11 23:30:00+00:00,IU Indianapolis Jaguars,Green Bay Phoenix,75.0,85.0,36,33,39,52,False,The Jungle,,0.0,0.0,,,,,,,166.75,-1.0,160.0,-10.0,Away Cover,Under,,,,,,,36.0,33.0,39.0,52.0,69.0,91.0
401831530,2025-12-11,2025-12-12 00:00:00+00:00,Wagner Seahawks,Bloomfield Deacons,95.0,93.0,42,48,43,37,False,Spiro Sports Center,,0.0,0.0,,,,,,,,,188.0,2.0,Away Cover,Under,,,,,,,42.0,48.0,53.0,45.0,90.0,98.0
401829492,2025-12-11,2025-12-12 00:00:00+00:00,Georgia Southern Eagles,Coastal Georgia Mariner,100.0,58.0,49,27,51,31,False,Jack and Ruth Ann Hill Convocation Center,,0.0,0.0,,,,,,,,,158.0,42.0,Away Cover,Under,,,,,,,49.0,27.0,51.0,31.0,76.0,82.0
401823347,2025-12-11,2025-12-12 00:00:00+00:00,Jacksonville Dolphins,Trinity College of Jacksonville Eagles,122.0,49.0,64,19,58,30,False,Swisher Gymnasium,,0.0,0.0,,,,,,,,,171.0,73.0,Away Cover,Under,,,,,,,64.0,19.0,58.0,30.0,83.0,88.0
401820813,2025-12-11,2025-12-12 00:00:00+00:00,East Carolina Pirates,App State Mountaineers,54.0,67.0,17,33,37,34,False,Minges Coliseum,,0.0,0.0,,,,,,,133.5,-4.0,121.0,-13.0,Away Cover,Under,,,,,,,17.0,33.0,37.0,34.0,50.0,71.0
401817524,2025-12-11,2025-12-12 00:00:00+00:00,Virginia Tech Hokies,Western Carolina Catamounts,96.0,74.0,53,34,43,40,False,Cassell Coliseum,,0.0,0.0,,,,,,,152.5,-20.0,170.0,22.0,Home Cover,Over,,,,,,,53.0,34.0,43.0,40.0,87.0,83.0
401823872,2025-12-11,2025-12-12 00:30:00+00:00,UT Rio Grande Valley Vaqueros,UT Arlington Mavericks,50.0,58.0,27,24,23,34,False,UTRGV Fieldhouse,,0.0,0.0,,,,,,,143.5,-2.5,108.0,-8.0,Away Cover,Under,,,,,,,27.0,24.0,23.0,34.0,51.0,57.0
401829479,2025-12-11,2025-12-12 01:00:00+00:00,St. Thomas-Minnesota Tommies,Saint John's (MN) Johnnies,80.0,56.0,35,31,45,25,False,Lee & Penny Anderson Arena,,0.0,0.0,,,,,,,,,136.0,24.0,Away Cover,Under,,,,,,,35.0,31.0,45.0,25.0,66.0,70.0
401827157,2025-12-11,2025-12-12 01:00:00+00:00,Missouri Tigers,Alabama State Hornets,85.0,77.0,52,39,33,38,False,Mizzou Arena,,0.0,0.0,,,,,,,157.0,-27.5,162.0,8.0,Away Cover,Over,,,,,,,52.0,39.0,33.0,38.0,91.0,71.0
401826742,2025-12-11,2025-12-12 02:00:00+00:00,Denver Pioneers,Alaska Anchorage Seawolves,97.0,61.0,45,31,52,30,False,Hamilton Gymnasium,,0.0,0.0,,,,,,,,,158.0,36.0,Away Cover,Under,,,,,,,45.0,31.0,52.0,30.0,76.0,82.0
401817480,2025-12-11,2025-12-12 02:00:00+00:00,Syracuse Orange,Saint Joseph's Hawks,71.0,63.0,34,30,37,33,False,JMA Wireless Dome,,0.0,0.0,,,,,,,145.5,-13.0,134.0,8.0,Away Cover,Under,,,,,,,34.0,30.0,37.0,33.0,64.0,70.0
401823738,2025-12-11,2025-12-12 02:30:00+00:00,Cal State Bakersfield Roadrunners,North Dakota State Bison,69.0,80.0,30,40,39,40,False,Icardo Center,,0.0,0.0,,,,,,,150.0,6.25,149.0,-11.0,Away Cover,Under,,,,,,,30.0,40.0,39.0,40.0,70.0,79.0
