game_id,date,start_time,home_team,away_team,home_score,away_score,home_score_1h_x,away_score_1h_x,home_score_2h_x,away_score_2h_x,neutral_site,venue,status,home_score_m,away_score_m,home_score_1h_m,away_score_1h_m,home_score_2h_m,away_score_2h_m,pred_total,pred_margin,market_total,spread_home,actual_total,actual_margin,ats_result,ou_result_full,home_score_1h_y,away_score_1h_y,home_score_2h_y,away_score_2h_y,home_score_1h,away_score_1h,home_score_2h,away_score_2h,actual_total_1h,actual_total_2h
401812600,2025-11-09,2025-11-09 17:00:00+00:00,Harvard Crimson,New Hampshire Wildcats,86,75,32,48,54,27,False,Lavietes Pavilion,,0,0,,,,,141.80618286132812,3.363444328308105,,,161,11,Away Cover,Under,,,,,32,48,54,27,80.0,81.0
401828296,2025-11-09,2025-11-09 17:30:00+00:00,Campbell Fighting Camels,Western Michigan Broncos,91,82,39,34,52,48,False,John W. Pope Jr. Convocation Center,,0,0,,,,,140.59825134277344,11.353108406066896,,,173,9,Away Cover,Under,,,,,39,34,52,48,73.0,100.0
401826732,2025-11-09,2025-11-09 18:00:00+00:00,App State Mountaineers,North Carolina Central Eagles,76,54,38,18,38,36,False,Holmes Convocation Center,,0,0,,,,,138.77731323242188,1.8765348196029663,,,130,22,Away Cover,Under,,,,,38,18,38,36,56.0,74.0
401823022,2025-11-09,2025-11-09 18:00:00+00:00,Marquette Golden Eagles,Indiana Hoosiers,77,100,38,56,39,44,True,United Center,,0,0,,,,,105.81465911865234,0.1136031746864318,,,177,-23,Away Cover,Under,,,,,38,56,39,44,94.0,83.0
401822758,2025-11-09,2025-11-09 18:00:00+00:00,James Madison Dukes,Coppin State Eagles,84,70,43,28,41,42,False,Atlantic Union Bank Center,,0,0,,,,,146.14593505859375,30.6093864440918,,,154,14,Away Cover,Under,,,,,43,28,41,42,71.0,83.0
401812574,2025-11-09,2025-11-09 18:00:00+00:00,American University Eagles,Pennsylvania Quakers,84,78,42,37,42,41,False,Bender Arena,,0,0,,,,,133.78318786621094,-7.426349639892578,,,162,6,Away Cover,Under,,,,,42,37,42,41,79.0,83.0
401828576,2025-11-09,2025-11-09 19:00:00+00:00,Georgia Bulldogs,Morehead State Eagles,120,81,64,42,56,39,False,Stegeman Coliseum,,0,0,,,,,143.86302185058594,19.41509056091309,,,201,39,Away Cover,Under,,,,,64,42,56,39,106.0,95.0
401823485,2025-11-09,2025-11-09 19:00:00+00:00,Mercer Bears,Lipscomb Bisons,92,77,46,35,46,42,False,Hawkins Arena,,0,0,,,,,141.74180603027344,8.635043144226074,,,169,15,Away Cover,Under,,,,,46,35,46,42,81.0,88.0
401823417,2025-11-09,2025-11-09 19:00:00+00:00,Bowling Green Falcons,Le Moyne Dolphins,83,60,37,36,46,24,False,Stroh Center,,0,0,,,,,138.49594116210938,8.64706802368164,,,143,23,Away Cover,Under,,,,,37,36,46,24,73.0,70.0
401823393,2025-11-09,2025-11-09 19:00:00+00:00,Purdue Fort Wayne Mastodons,Dominican (IL) Dominican,137,56,70,26,67,30,False,Memorial Coliseum (IN),,0,0,,,,,110.0,4.465762138366699,,,193,81,Away Cover,Under,,,,,70,26,67,30,96.0,97.0
