game_id,season,date,start_time,start_time_local,start_tz_abbr,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,status,completed,neutral_site,venue,pred_total,pred_margin,actual_total,actual_margin,market_total,spread_home,ml_home,market_total_1h,market_total_2h,spread_home_1h,actual_total_1h,actual_total_2h,pred_total_1h,pred_total_2h,pred_margin_1h,pred_margin_2h,err_model_total_1h,err_model_total_2h,ats_result,actual_margin_1h,ats_result_1h,ml_model_p_home,ml_implied_home,home_win,brier_ml,logloss_ml,book,bet,line,price,pred_total_pick,edge,pick_result,no_pred
401820592,2026,2026-02-15,2026-02-15 19:00:00+00:00,2026-02-15 14:00,EST,Quinnipiac Bobcats,Merrimack Warriors,49,56,21,21,28,35,STATUS_FINAL,True,False,M&T Bank Arena,,,105,-7,142.5,-1.25,-120.0,69.1125,73.3875,-0.625,42,63,,,,,,,away_cover,0,home_cover,,0.5454545454545454,0.0,,,,,,,,,,1
401817670,2026,2026-02-15,2026-02-15 19:00:00+00:00,2026-02-15 14:00,EST,Robert Morris Colonials,Oakland Golden Grizzlies,93,69,42,38,51,31,STATUS_FINAL,True,False,UPMC Events Center,,,162,24,156.0,-1.5,-120.0,75.66,80.34,-0.75,80,82,,,,,,,home_cover,4,home_cover,,0.5454545454545454,1.0,,,,,,,,,,1
401817669,2026,2026-02-15,2026-02-15 19:00:00+00:00,2026-02-15 14:00,EST,Cleveland State Vikings,Wright State Raiders,90,102,36,51,54,51,STATUS_FINAL,True,False,Wolstein Center,,,192,-12,158.5,7.25,257.0,76.8725,81.6275,3.625,87,105,,,,,,,away_cover,-15,away_cover,,0.2801120448179272,0.0,,,,,,,,,,1
401817667,2026,2026-02-15,2026-02-15 19:00:00+00:00,2026-02-15 14:00,EST,Purdue Fort Wayne Mastodons,IU Indianapolis Jaguars,83,78,42,36,41,42,STATUS_FINAL,True,False,Memorial Coliseum (IN),,,161,5,160.0,-7.0,-325.0,77.6,82.4,-3.5,78,83,,,,,,,home_cover,6,home_cover,,0.7647058823529411,1.0,,,,,,,,,,1
401813392,2026,2026-02-15,2026-02-15 19:00:00+00:00,2026-02-15 14:00,EST,Niagara Purple Eagles,Iona Gaels,70,68,34,30,36,38,STATUS_FINAL,True,False,Gallagher Center,,,138,2,131.5,5.5,195.0,63.7775,67.7225,2.75,64,74,,,,,,,away_cover,4,home_cover,,0.3389830508474576,1.0,,,,,,,,,,1
401813342,2026,2026-02-15,2026-02-15 19:00:00+00:00,2026-02-15 14:00,EST,Marist Red Foxes,Siena Saints,63,67,29,36,34,31,STATUS_FINAL,True,False,McCann Arena,,,130,-4,133.5,-1.5,-130.0,64.7475,68.7525,-0.75,65,65,,,,,,,away_cover,-7,away_cover,,0.5652173913043478,0.0,,,,,,,,,,1
401830303,2026,2026-02-15,2026-02-15 20:00:00+00:00,2026-02-15 15:00,EST,Northern Iowa Panthers,Drake Bulldogs,86,62,38,29,48,33,STATUS_FINAL,True,False,McLeod Center,,,148,24,137.0,-9.5,-550.0,66.445,70.555,-4.75,67,81,,,,,,,home_cover,9,home_cover,,0.8461538461538461,1.0,,,,,,,,,,1
401830302,2026,2026-02-15,2026-02-15 20:00:00+00:00,2026-02-15 15:00,EST,UIC Flames,Illinois State Redbirds,83,56,33,26,50,30,STATUS_FINAL,True,False,Credit Union 1 Arena,,,139,27,138.5,-1.0,-115.0,67.1725,71.3275,-0.5,59,80,,,,,,,home_cover,7,home_cover,,0.5348837209302325,1.0,,,,,,,,,,1
401817666,2026,2026-02-15,2026-02-15 20:00:00+00:00,2026-02-15 15:00,EST,Milwaukee Panthers,Green Bay Phoenix,75,72,25,31,50,41,STATUS_FINAL,True,False,UW-Milwaukee Panther Arena,,,147,3,145.5,-1.5,-125.0,70.5675,74.9325,-0.75,56,91,,,,,,,home_cover,-6,away_cover,,0.5555555555555556,1.0,,,,,,,,,,1
401828429,2026,2026-02-15,2026-02-15 21:00:00+00:00,2026-02-15 16:00,EST,Dayton Flyers,Davidson Wildcats,70,59,34,26,36,33,STATUS_FINAL,True,False,UD Arena,,,129,11,139.5,-4.5,-190.0,67.6575,71.8425,-2.25,60,69,,,,,,,home_cover,8,home_cover,,0.6551724137931034,1.0,,,,,,,,,,1
401807740,2026,2026-02-15,2026-02-15 21:00:00+00:00,2026-02-15 16:00,EST,North Alabama Lions,Eastern Kentucky Colonels,84,78,32,31,39,40,STATUS_FINAL,True,False,Flowers Hall,,,162,6,149.5,4.5,167.0,72.5075,76.9925,2.25,63,79,,,,,,,home_cover,1,away_cover,,0.3745318352059925,1.0,,,,,,,,,,1
401812069,2026,2026-02-15,2026-02-15 22:00:00+00:00,2026-02-15 17:00,EST,Campbell Fighting Camels,Charleston Cougars,57,62,28,36,29,26,STATUS_FINAL,True,False,John W. Pope Jr. Convocation Center,,,119,-5,159.0,-2.5,-140.0,77.115,81.885,-1.25,64,55,,,,,,,away_cover,-8,away_cover,,0.5833333333333334,0.0,,,,,,,,,,1
401830214,2026,2026-02-15,2026-02-15 23:00:00+00:00,2026-02-15 18:00,EST,Murray State Racers,Belmont Bruins,70,87,39,24,31,63,STATUS_FINAL,True,False,CFSB Center,,,157,-17,166.5,-1.25,-117.5,80.7525,85.7475,-0.625,63,94,,,,,,,away_cover,15,home_cover,,0.5402298850574713,0.0,,,,,,,,,,1
401829249,2026,2026-02-15,2026-02-15 23:00:00+00:00,2026-02-15 18:00,EST,San Diego Toreros,San Francisco Dons,79,92,41,36,38,56,STATUS_FINAL,True,False,Jenny Craig Pavilion,,,171,-13,145.5,5.5,195.0,70.5675,74.9325,2.75,77,94,,,,,,,away_cover,5,home_cover,,0.3389830508474576,0.0,,,,,,,,,,1
401822946,2026,2026-02-15,2026-02-15 23:00:00+00:00,2026-02-15 18:00,EST,Butler Bulldogs,Seton Hall Pirates,56,63,24,23,32,40,STATUS_FINAL,True,False,Hinkle Fieldhouse,,,119,-7,139.5,2.5,122.0,67.6575,71.8425,1.25,47,72,,,,,,,away_cover,1,away_cover,,0.4504504504504504,0.0,,,,,,,,,,1
401812067,2026,2026-02-15,2026-02-16 00:00:00+00:00,2026-02-15 19:00,EST,Monmouth Hawks,Towson Tigers,72,71,33,31,39,40,STATUS_FINAL,True,False,OceanFirst Bank Center,,,143,1,136.5,-2.0,-137.5,66.2025,70.2975,-1.0,64,79,,,,,,,home_cover,2,home_cover,,0.5789473684210527,1.0,,,,,,,,,,1
401829247,2026,2026-02-15,2026-02-16 01:00:00+00:00,2026-02-15 20:00,EST,Seattle U Redhawks,Oregon State Beavers,60,50,36,18,24,32,STATUS_FINAL,True,False,Redhawk Center,,,110,10,136.5,-6.5,-285.0,66.2025,70.2975,-3.25,54,56,,,,,,,home_cover,18,home_cover,,0.7402597402597403,1.0,,,,,,,,,,1
