game_id,season,date,start_time,start_time_local,start_tz_abbr,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,pred_total,pred_margin,actual_total,actual_margin,market_total,spread_home,ml_home,market_total_1h,market_total_2h,spread_home_1h,actual_total_1h,actual_total_2h,pred_total_1h,pred_total_2h,pred_margin_1h,pred_margin_2h,err_model_total_1h,err_model_total_2h,ats_result,actual_margin_1h,ats_result_1h,ml_model_p_home,ml_implied_home,home_win,brier_ml,logloss_ml,book,bet,line,price,pred_total_pick,edge,pick_result,no_pred
401825464,2026,2026-01-23,2026-01-24 01:00:00+00:00,2026-01-23 20:00,EST,Michigan Wolverines,Ohio State Buckeyes,74,62,33,30,41,32,False,Crisler Center,,,136,12,165.5,-16.0,-1700.0,80.2675,85.2325,-8.0,63,73,,,,,,,home_cover,3,home_cover,,0.9444444444444444,1.0,,,,,,,,,,1
401828387,2026,2026-01-23,2026-01-23 22:30:00+00:00,2026-01-23 17:30,EST,St. Bonaventure Bonnies,Saint Louis Billikens,62,97,26,58,36,39,False,Reilly Center,,,159,-35,159.0,8.5,316.0,77.115,81.885,4.25,84,75,,,,,,,away_cover,-32,away_cover,,0.2403846153846154,0.0,,,,,,,,,,1
401808634,2026,2026-01-23,2026-01-23 17:00:00+00:00,2026-01-23 12:00,EST,App State Mountaineers,UL Monroe Warhawks,59,43,28,20,31,23,False,Holmes Convocation Center,,,102,16,145.0,-15.5,,70.325,74.675,-7.75,48,54,,,,,,,home_cover,8,home_cover,,,1.0,,,,,,,,,,1
401828191,2026,2026-01-23,2026-01-23 18:00:00+00:00,2026-01-23 13:00,EST,North Texas Mean Green,East Carolina Pirates,59,63,23,28,36,35,False,The Super Pit,,,122,-4,134.75,-10.0,-690.0,65.35375,69.39625,-5.0,51,71,,,,,,,home_cover,-5,push,,0.8734177215189873,0.0,,,,,,,,,,1
401820217,2026,2026-01-23,2026-01-23 18:00:00+00:00,2026-01-23 13:00,EST,New Haven Chargers,Mercyhurst Lakers,57,61,28,27,29,34,False,Jeffery P. Hazell Athletics Center,,,118,-4,,,,,,,55,63,,,,,,,away_cover,1,away_cover,,,0.0,,,,,,,,,,1
401807708,2026,2026-01-23,2026-01-23 18:00:00+00:00,2026-01-23 13:00,EST,Austin Peay Governors,Stetson Hatters,73,65,31,32,42,33,False,F&M Bank Arena,,,138,8,,,,,,,63,75,,,,,,,away_cover,-1,away_cover,,,1.0,,,,,,,,,,1
401807706,2026,2026-01-23,2026-01-23 18:00:00+00:00,2026-01-23 13:00,EST,Lipscomb Bisons,Florida Gulf Coast Eagles,86,71,37,30,49,41,False,Allen Arena,,,157,15,,,,,,,67,90,,,,,,,away_cover,7,away_cover,,,1.0,,,,,,,,,,1
401804895,2026,2026-01-23,2026-01-23 19:00:00+00:00,2026-01-23 14:00,EST,Louisiana Tech Bulldogs,Kennesaw State Owls,82,76,36,45,46,31,False,Thomas Assembly Center,,,158,6,145.0,0.5,-110.0,70.325,74.675,0.25,81,77,,,,,,,home_cover,-9,away_cover,,0.5238095238095238,1.0,,,,,,,,,,1
401809340,2026,2026-01-23,2026-01-23 20:00:00+00:00,2026-01-23 15:00,EST,UNC Greensboro Spartans,Furman Paladins,66,89,30,35,36,54,False,Bodford Arena,,,155,-23,150.5,5.5,190.0,72.99249999999999,77.50750000000001,2.75,65,90,,,,,,,away_cover,-5,away_cover,,0.3448275862068966,0.0,,,,,,,,,,1
401825465,2026,2026-01-23,2026-01-23 23:00:00+00:00,2026-01-23 18:00,EST,Rutgers Scarlet Knights,Indiana Hoosiers,59,82,32,47,27,35,False,Jersey Mike’s Arena,,,141,-23,147.5,7.5,260.0,71.5375,75.9625,3.75,79,62,,,,,,,away_cover,-15,away_cover,,0.2777777777777778,0.0,,,,,,,,,,1
