game_id,date,start_time,home_team,away_team,home_score,away_score,home_score_1h_x,away_score_1h_x,home_score_2h_x,away_score_2h_x,neutral_site,venue,status,home_score_m,away_score_m,home_score_1h_m,away_score_1h_m,home_score_2h_m,away_score_2h_m,pred_total,pred_margin,market_total,spread_home,actual_total,actual_margin,ats_result,ou_result_full,home_score_1h_y,away_score_1h_y,home_score_2h_y,away_score_2h_y,home_score_1h,away_score_1h,home_score_2h,away_score_2h,actual_total_1h,actual_total_2h
401823441,2025-11-06,2025-11-07 01:00:00+00:00,Florida Gators,North Florida Ospreys,104,64,52,28,52,36,False,Stephen C. O'Connell Center,,104,64,52.0,28.0,52.0,36.0,150.9336395263672,16.030231475830078,,,168,40,Away Cover,Under,52.0,28.0,52.0,36.0,52,28,52,36,80.0,88.0
401817240,2025-11-06,2025-11-07 00:00:00+00:00,Louisville Cardinals,Jackson State Tigers,106,70,55,35,51,35,False,KFC Yum! Center,,106,70,55.0,35.0,51.0,35.0,150.82518005371094,14.71870231628418,,,176,36,Away Cover,Under,55.0,35.0,51.0,35.0,55,35,51,35,90.0,86.0
401819871,2025-11-06,2025-11-07 01:00:00+00:00,Iowa State Cyclones,Grambling Tigers,102,62,44,30,58,32,False,Hilton Coliseum,,102,62,44.0,30.0,58.0,32.0,150.9336395263672,16.030231475830078,,,164,40,Away Cover,Under,44.0,30.0,58.0,32.0,44,30,58,32,74.0,90.0
401823475,2025-11-06,2025-11-07 01:00:00+00:00,Auburn Tigers,Merrimack Warriors,95,57,39,22,56,35,False,Neville Arena,,95,57,39.0,22.0,56.0,35.0,150.87940979003906,15.374467849731444,,,152,38,Away Cover,Under,39.0,22.0,56.0,35.0,39,22,56,35,61.0,91.0
401820183,2025-11-06,2025-11-06 16:30:00+00:00,Loyola Maryland Greyhounds,Penn St Abington Nittany Lions,96,60,44,38,52,22,False,Reitz Arena,,96,60,44.0,38.0,52.0,22.0,150.82518005371094,14.71870231628418,,,156,36,Away Cover,Under,44.0,38.0,52.0,22.0,44,38,52,22,82.0,74.0
401823550,2025-11-06,2025-11-06 19:00:00+00:00,Cal State Bakersfield Roadrunners,Whittier Poets,83,61,44,26,39,35,False,Icardo Center,,83,61,44.0,26.0,39.0,35.0,150.44557189941406,10.128351211547852,,,144,22,Away Cover,Under,44.0,26.0,39.0,35.0,44,26,39,35,70.0,74.0
401826757,2025-11-06,2025-11-06 23:00:00+00:00,New Hampshire Wildcats,Curry College Colonels,113,31,46,24,67,7,False,Lundholm Gymnasium,,113,31,46.0,24.0,67.0,7.0,152.0724334716797,29.801288604736328,,,144,82,Away Cover,Under,46.0,24.0,67.0,7.0,46,24,67,7,70.0,74.0
401813273,2025-11-06,2025-11-06 23:00:00+00:00,Morgan State Bears,Central Penn Knights,101,77,52,40,49,37,False,Hill Field House,,101,77,52.0,40.0,49.0,37.0,150.4998016357422,10.784114837646484,,,178,24,Away Cover,Under,52.0,40.0,49.0,37.0,52,40,49,37,92.0,86.0
401812351,2025-11-06,2025-11-06 23:30:00+00:00,IU Indianapolis Jaguars,Long Island University Sharks,90,94,53,46,37,48,False,The Jungle,,90,94,53.0,46.0,37.0,48.0,149.7406005859375,1.6034104824066162,,,184,-4,Away Cover,Under,53.0,46.0,37.0,48.0,53,46,37,48,99.0,85.0
401830236,2025-11-06,2025-11-07 00:00:00+00:00,Howard Bison,District Of Columbia Firebirds,103,71,60,33,43,38,False,Burr Gymnasium,,103,71,60.0,33.0,43.0,38.0,150.7167205810547,13.40717315673828,,,174,32,Away Cover,Under,60.0,33.0,43.0,38.0,60,33,43,38,93.0,81.0
401829497,2025-11-06,2025-11-07 00:00:00+00:00,Old Dominion Monarchs,Randolph College Wildcats,93,53,40,26,53,27,False,Chartway Arena,,93,53,40.0,26.0,53.0,27.0,150.9336395263672,16.030231475830078,,,146,40,Away Cover,Under,40.0,26.0,53.0,27.0,40,26,53,27,66.0,80.0
401829414,2025-11-06,2025-11-07 00:00:00+00:00,Lehigh Mountain Hawks,Valley Forge Patriots,91,52,44,22,47,30,False,Stabler Arena,,91,52,44.0,22.0,47.0,30.0,150.90652465820312,15.702350616455078,,,143,39,Away Cover,Under,44.0,22.0,47.0,30.0,44,22,47,30,66.0,77.0
401829053,2025-11-06,2025-11-07 00:00:00+00:00,Western Michigan Broncos,Northwood (MI) Timberwolves,81,85,39,44,42,41,False,University Arena (MI),,81,85,39.0,44.0,42.0,41.0,149.7406005859375,1.6034104824066162,,,166,-4,Away Cover,Under,39.0,44.0,42.0,41.0,39,44,42,41,83.0,83.0
401828913,2025-11-06,2025-11-07 00:00:00+00:00,Indiana State Sycamores,Illinois Tech Scarlet Hawks,104,73,59,43,45,30,False,Hulman Center,,104,73,59.0,43.0,45.0,30.0,150.68960571289062,13.079290390014648,,,177,31,Away Cover,Under,59.0,43.0,45.0,30.0,59,43,45,30,102.0,75.0
401827521,2025-11-06,2025-11-07 00:00:00+00:00,Hampton Pirates,Mid-Atlantic Christian Mustangs,103,43,58,21,45,22,False,Convocation Center (VA),,103,43,58.0,21.0,45.0,22.0,151.47592163085938,22.58787727355957,,,146,60,Away Cover,Under,58.0,21.0,45.0,22.0,58,21,45,22,79.0,67.0
401827484,2025-11-06,2025-11-07 00:00:00+00:00,Cleveland State Vikings,Capital Crusaders,71,70,40,33,31,37,False,Wolstein Center,,71,70,40.0,33.0,31.0,37.0,149.8761749267578,3.2428221702575684,,,141,1,Away Cover,Under,40.0,33.0,31.0,37.0,40,33,31,37,73.0,68.0
401823416,2025-11-06,2025-11-07 00:00:00+00:00,Bowling Green Falcons,Bethany (WV) Bison,120,65,56,34,64,31,False,Stroh Center,,120,65,56.0,34.0,64.0,31.0,151.34034729003906,20.948467254638672,,,185,55,Away Cover,Under,56.0,34.0,64.0,31.0,56,34,64,31,90.0,95.0
401822370,2025-11-06,2025-11-07 00:00:00+00:00,Lindenwood Lions,University of Health Sciences & Pharmacy Eutectics,116,51,62,24,54,27,False,Hyland Arena,,116,51,62.0,24.0,54.0,27.0,151.6114959716797,24.2272891998291,,,167,65,Away Cover,Under,62.0,24.0,54.0,27.0,62,24,54,27,86.0,81.0
401820837,2025-11-06,2025-11-07 00:00:00+00:00,Charleston Southern Buccaneers,Toccoa Falls Eagles,106,71,58,38,48,33,False,Buccaneer Fieldhouse,,106,71,58.0,38.0,48.0,33.0,150.79806518554688,14.390819549560549,,,177,35,Away Cover,Under,58.0,38.0,48.0,33.0,58,38,48,33,96.0,81.0
401819915,2025-11-06,2025-11-07 00:00:00+00:00,West Virginia Mountaineers,Campbell Fighting Camels,73,65,33,25,40,40,False,WVU Coliseum,,73,65,33.0,25.0,40.0,40.0,150.06597900390625,5.537998199462891,,,138,8,Away Cover,Under,33.0,25.0,40.0,40.0,33,25,40,40,58.0,80.0
401817212,2025-11-06,2025-11-07 00:00:00+00:00,Boston College Eagles,The Citadel Bulldogs,76,47,38,24,38,23,False,Conte Forum,,76,47,38.0,24.0,38.0,23.0,150.6353759765625,12.423526763916016,,,123,29,Away Cover,Under,38.0,24.0,38.0,23.0,38,24,38,23,62.0,61.0
401813346,2025-11-06,2025-11-07 00:00:00+00:00,Canisius Golden Griffins,Allegheny Gators,84,43,42,23,42,20,False,Koessler Athletic Center,,84,43,42.0,23.0,42.0,20.0,150.96075439453125,16.35811424255371,,,127,41,Away Cover,Under,42.0,23.0,42.0,20.0,42,23,42,20,65.0,62.0
401813253,2025-11-06,2025-11-07 00:00:00+00:00,Ohio Bobcats,Illinois State Redbirds,72,68,31,31,41,37,False,Convocation Center (OH),,72,68,31.0,31.0,41.0,37.0,149.95751953125,4.226469039916992,,,140,4,Away Cover,Under,31.0,31.0,41.0,37.0,31,31,41,37,62.0,78.0
401812643,2025-11-06,2025-11-07 00:00:00+00:00,Quinnipiac Bobcats,Central Connecticut Blue Devils,71,49,37,27,34,22,False,M&T Bank Arena,,71,49,37.0,27.0,34.0,22.0,150.44557189941406,10.128351211547852,,,120,22,Away Cover,Under,37.0,27.0,34.0,22.0,37,27,34,22,64.0,56.0
401812333,2025-11-06,2025-11-07 00:00:00+00:00,Xavier Musketeers,Le Moyne Dolphins,74,69,43,36,31,33,False,Cintas Center,,74,69,43.0,36.0,31.0,33.0,149.98463439941406,4.554351329803467,,,143,5,Away Cover,Under,43.0,36.0,31.0,33.0,43,36,31,33,79.0,64.0
401809414,2025-11-06,2025-11-07 00:00:00+00:00,Miami Hurricanes,Bethune-Cookman Wildcats,101,61,50,31,51,30,False,Watsco Center,,101,61,50.0,31.0,51.0,30.0,150.9336395263672,16.030231475830078,,,162,40,Away Cover,Under,50.0,31.0,51.0,30.0,50,31,51,30,81.0,81.0
401823399,2025-11-06,2025-11-07 00:30:00+00:00,Drake Bulldogs,Robert Morris Colonials,79,81,35,40,33,28,False,Knapp Center,,79,81,35.0,40.0,33.0,28.0,149.79483032226562,2.259175062179565,,,160,-2,Away Cover,Under,35.0,40.0,33.0,28.0,35,40,44,41,75.0,85.0
401829685,2025-11-06,2025-11-07 01:00:00+00:00,South Alabama Jaguars,Alcorn State Braves,76,70,34,40,42,30,False,Mitchell Center,,76,70,34.0,40.0,42.0,30.0,150.01174926757812,4.882233619689941,,,146,6,Away Cover,Under,34.0,40.0,42.0,30.0,34,40,42,30,74.0,72.0
401829472,2025-11-06,2025-11-07 01:00:00+00:00,South Dakota State Jackrabbits,Dakota State Trojans,68,62,38,33,30,29,False,First Bank & Trust Arena,,68,62,38.0,33.0,30.0,29.0,150.01174926757812,4.882233619689941,,,130,6,Away Cover,Under,38.0,33.0,30.0,29.0,38,33,30,29,71.0,59.0
401828543,2025-11-06,2025-11-07 01:00:00+00:00,Eastern Kentucky Colonels,Midway University Eagles,122,60,60,18,62,42,False,Baptist Health Arena,,122,60,60.0,18.0,62.0,42.0,151.5301513671875,23.243640899658203,,,182,62,Away Cover,Under,60.0,18.0,62.0,42.0,60,18,62,42,78.0,104.0
401828275,2025-11-06,2025-11-07 01:00:00+00:00,North Texas Mean Green,Northwestern State Demons,80,53,28,20,52,33,False,The Super Pit,,80,53,28.0,20.0,52.0,33.0,150.58114624023438,11.767762184143066,,,133,27,Away Cover,Under,28.0,20.0,52.0,33.0,28,20,52,33,48.0,85.0
401827256,2025-11-06,2025-11-07 01:00:00+00:00,Southern Miss Golden Eagles,Tougaloo Bulldogs,93,57,52,35,41,22,False,Reed Green Coliseum,,93,57,52.0,35.0,41.0,22.0,150.82518005371094,14.71870231628418,,,150,36,Away Cover,Under,52.0,35.0,41.0,22.0,52,35,41,22,87.0,63.0
