game_id,date,start_time,home_team,away_team,home_score,away_score,home_score_1h_x,away_score_1h_x,home_score_2h_x,away_score_2h_x,neutral_site,venue,status,completed,home_score_m,away_score_m,home_score_1h_m,away_score_1h_m,home_score_2h_m,away_score_2h_m,pred_total,pred_margin,market_total,spread_home,actual_total,actual_margin,ats_result,ou_result_full,home_score_1h_y,away_score_1h_y,home_score_2h_y,away_score_2h_y,home_score_bs,away_score_bs,home_score_1h,away_score_1h,home_score_2h,away_score_2h,actual_total_1h,actual_total_2h
401827679,2026-02-14,2026-02-14 23:30:00+00:00,Arizona Wildcats,Texas Tech Red Raiders,75,78,32.0,32.0,34.0,34.0,False,McKale Memorial Center,STATUS_FINAL,True,0,0,,,,,100.95240783691406,-0.4453022480010991,156.0,-9.5,153,-3,Away Cover,Under,,,,,75.0,78.0,32.0,32.0,43.0,46.0,64.0,89.0
401825514,2026-02-14,2026-02-14 17:45:00+00:00,Michigan Wolverines,UCLA Bruins,86,56,40.0,38.0,46.0,18.0,False,Crisler Center,STATUS_FINAL,True,0,0,,,,,98.966015625,-5.939532279968262,154.5,-16.5,142,30,Home Cover,Under,,,,,86.0,56.0,40.0,38.0,46.0,18.0,78.0,64.0
401827681,2026-02-14,2026-02-14 21:00:00+00:00,Houston Cougars,Kansas State Wildcats,78,64,33.0,19.0,45.0,45.0,False,Fertitta Center,STATUS_FINAL,True,0,0,,,,,158.1958465576172,15.18553352355957,146.0,-23.0,142,14,Away Cover,Under,,,,,78.0,64.0,33.0,19.0,45.0,45.0,52.0,90.0
401820740,2026-02-14,2026-02-14 17:00:00+00:00,Duke Blue Devils,Clemson Tigers,67,54,31.0,26.0,36.0,28.0,False,Cameron Indoor Stadium,STATUS_FINAL,True,0,0,,,,,102.9489288330078,10.720268058776856,133.0,-13.0,121,13,Away Cover,Under,,,,,67.0,54.0,31.0,26.0,36.0,28.0,57.0,64.0
401827682,2026-02-14,2026-02-14 18:00:00+00:00,Iowa State Cyclones,Kansas Jayhawks,74,56,37.0,27.0,37.0,29.0,False,Hilton Coliseum,STATUS_FINAL,True,0,0,,,,,156.14173889160156,-14.732995986938477,146.5,-7.0,130,18,Home Cover,Under,,,,,74.0,56.0,37.0,27.0,37.0,29.0,64.0,66.0
401822942,2026-02-14,2026-02-15 01:00:00+00:00,UConn Huskies,Georgetown Hoyas,79,75,41.0,33.0,38.0,42.0,False,Gampel Pavilion,STATUS_FINAL,True,0,0,,,,,155.72429809570312,20.521949768066406,138.5,-16.5,154,4,Away Cover,Over,,,,,79.0,75.0,41.0,33.0,38.0,42.0,74.0,80.0
401825515,2026-02-14,2026-02-14 18:00:00+00:00,Nebraska Cornhuskers,Northwestern Wildcats,68,49,28.0,27.0,40.0,22.0,False,Pinnacle Bank Arena,STATUS_FINAL,True,0,0,,,,,147.32565307617188,-3.6356377601623535,146.5,-13.5,117,19,Home Cover,Under,,,,,68.0,49.0,28.0,27.0,40.0,22.0,55.0,62.0
401820742,2026-02-14,2026-02-14 19:00:00+00:00,North Carolina Tar Heels,Pittsburgh Panthers,79,65,46.0,32.0,33.0,33.0,False,Dean E. Smith Center,STATUS_FINAL,True,0,0,,,,,153.87464904785156,22.791231155395508,144.5,-11.0,144,14,Home Cover,Under,,,,,79.0,65.0,46.0,32.0,33.0,33.0,78.0,66.0
401829245,2026-02-14,2026-02-15 03:40:00+00:00,Santa Clara Broncos,Gonzaga Bulldogs,86,94,39.0,44.0,47.0,50.0,False,Leavey Center,STATUS_FINAL,True,0,0,,,,,148.62513732910156,-50.38313674926758,159.5,4.5,180,-8,Away Cover,Over,,,,,86.0,94.0,39.0,44.0,47.0,50.0,83.0,97.0
401825513,2026-02-14,2026-02-14 22:00:00+00:00,Iowa Hawkeyes,Purdue Boilermakers,57,78,25.0,36.0,32.0,42.0,False,Carver-Hawkeye Arena,STATUS_FINAL,True,0,0,,,,,97.08239059448242,-10.199267673492432,142.5,2.25,135,-21,Away Cover,Under,,,,,57.0,78.0,25.0,36.0,32.0,42.0,61.0,74.0
