game_id,home_team,away_team,period,market,book,pick,edge,line_value,predicted_value,fair_price,actual_total,actual_total_1h,actual_total_2h,actual_margin,actual_margin_1h,home_score,away_score,result,pnl_units
401817245,Louisville Cardinals,NJIT Highlanders,2h,moneyline,BetMGM,NJIT Highlanders ML,89.08804838837685,3300.0,-6.978804588317871,271.006354795187,,,,,,,,,
401826881,Saint Mary's Gaels,Wichita St Shockers,2h,moneyline,FanDuel,Wichita St Shockers ML,70.51209447417793,470.0,2.691297769546509,-146.88372625349507,,,,,,,,,
401830117,Miami (OH) RedHawks,UNC Greensboro Spartans,2h,moneyline,FanDuel,UNC Greensboro Spartans ML,69.61156702784115,470.0,2.182478189468384,-136.5857721226041,,,,,,,,,
401826881,Saint Mary's Gaels,Wichita St Shockers,2h,moneyline,BetMGM,Wichita St Shockers ML,69.43980700051168,450.0,2.691297769546509,-146.88372625349507,,,,,,,,,
401826881,Saint Mary's Gaels,Wichita St Shockers,2h,moneyline,BetUS,Wichita St Shockers ML,69.43980700051168,450.0,2.691297769546509,-146.88372625349507,,,,,,,,,
401826881,Saint Mary's Gaels,Wichita St Shockers,2h,moneyline,BetOnline.ag,Wichita St Shockers ML,69.21592280271322,446.0,2.691297769546509,-146.88372625349507,,,,,,,,,
401826881,Saint Mary's Gaels,Wichita St Shockers,2h,moneyline,LowVig.ag,Wichita St Shockers ML,69.21592280271322,446.0,2.691297769546509,-146.88372625349507,,,,,,,,,
401826881,Saint Mary's Gaels,Wichita St Shockers,2h,moneyline,DraftKings,Wichita St Shockers ML,68.87387750052115,440.0,2.691297769546509,-146.88372625349507,,,,,,,,,
401826881,Saint Mary's Gaels,Wichita St Shockers,2h,moneyline,Caesars,Wichita St Shockers ML,68.2865921703423,430.0,2.691297769546509,-146.88372625349507,,,,,,,,,
401830117,Miami (OH) RedHawks,UNC Greensboro Spartans,2h,moneyline,Caesars,UNC Greensboro Spartans ML,67.31810038843294,430.0,2.182478189468384,-136.5857721226041,,,,,,,,,
401830117,Miami (OH) RedHawks,UNC Greensboro Spartans,2h,moneyline,BetMGM,UNC Greensboro Spartans ML,67.00684420165611,425.0,2.182478189468384,-136.5857721226041,,,,,,,,,
401830117,Miami (OH) RedHawks,UNC Greensboro Spartans,2h,moneyline,BetOnline.ag,UNC Greensboro Spartans ML,67.00684420165611,425.0,2.182478189468384,-136.5857721226041,,,,,,,,,
401830117,Miami (OH) RedHawks,UNC Greensboro Spartans,2h,moneyline,BetUS,UNC Greensboro Spartans ML,67.00684420165611,425.0,2.182478189468384,-136.5857721226041,,,,,,,,,
401830117,Miami (OH) RedHawks,UNC Greensboro Spartans,2h,moneyline,Bovada,UNC Greensboro Spartans ML,67.00684420165611,425.0,2.182478189468384,-136.5857721226041,,,,,,,,,
