game_id,date,start_time,home_team,away_team,home_score,away_score,home_score_1h_x,away_score_1h_x,home_score_2h_x,away_score_2h_x,neutral_site,venue,status,completed,home_score_m,away_score_m,status_m,home_score_1h_m,away_score_1h_m,home_score_2h_m,away_score_2h_m,pred_total,pred_margin,market_total,spread_home,actual_total,actual_margin,ats_result,ou_result_full,home_score_1h_y,away_score_1h_y,home_score_2h_y,away_score_2h_y,home_score_bs,away_score_bs,home_score_1h,away_score_1h,home_score_2h,away_score_2h,actual_total_1h,actual_total_2h
401827721,2026-03-04,2026-03-05 02:00:00+00:00,Houston Cougars,Baylor Bears,77.0,64.0,35,35,42,29,False,Fertitta Center,STATUS_FINAL,True,,,,,,,,,,,,141.0,13.0,Away Cover,Under,,,,,77.0,64.0,35.0,35.0,42.0,29.0,70.0,71.0
401825556,2026-03-04,2026-03-05 01:30:00+00:00,Northwestern Wildcats,Purdue Boilermakers,66.0,70.0,34,25,32,45,False,Welsh-Ryan Arena,STATUS_FINAL,True,,,,,,,,,,,,136.0,-4.0,Away Cover,Under,,,,,66.0,70.0,34.0,25.0,32.0,45.0,59.0,77.0
401808273,2026-03-04,2026-03-05 00:00:00+00:00,Arkansas Razorbacks,Texas Longhorns,105.0,85.0,56,34,49,51,False,Bud Walton Arena,STATUS_FINAL,True,,,,,,,,,,,,190.0,20.0,Away Cover,Under,,,,,105.0,85.0,56.0,34.0,49.0,51.0,90.0,100.0
401820784,2026-03-04,2026-03-05 00:00:00+00:00,SMU Mustangs,Miami Hurricanes,69.0,77.0,31,38,38,39,False,Moody Coliseum (Dallas),STATUS_FINAL,True,,,,,,,,,,,,146.0,-8.0,Away Cover,Under,,,,,69.0,77.0,31.0,38.0,38.0,39.0,69.0,77.0
401828461,2026-03-04,2026-03-05 01:00:00+00:00,Saint Louis Billikens,Loyola Chicago Ramblers,79.0,65.0,40,32,39,33,False,Chaifetz Arena,STATUS_FINAL,True,,,,,,,,,,,,144.0,14.0,Away Cover,Under,,,,,79.0,65.0,40.0,32.0,39.0,33.0,72.0,72.0
401851238,2026-03-04,2026-03-04 17:00:00+00:00,Bellarmine Knights,Jacksonville Dolphins,82.0,79.0,47,32,35,47,True,UNF Arena,STATUS_FINAL,True,,,,,,,,,,,,161.0,3.0,Away Cover,Under,,,,,82.0,79.0,47.0,32.0,35.0,47.0,79.0,82.0
401851239,2026-03-04,2026-03-04 19:30:00+00:00,Florida Gulf Coast Eagles,North Alabama Lions,69.0,58.0,29,27,40,31,True,UNF Arena,STATUS_FINAL,True,,,,,,,,,,,,127.0,11.0,Away Cover,Under,,,,,69.0,58.0,29.0,27.0,40.0,31.0,56.0,71.0
401851241,2026-03-04,2026-03-04 22:00:00+00:00,Eastern Kentucky Colonels,Stetson Hatters,76.0,92.0,41,54,35,38,True,UNF Arena,STATUS_FINAL,True,,,,,,,,,,,,168.0,-16.0,Away Cover,Under,,,,,76.0,92.0,41.0,54.0,35.0,38.0,95.0,73.0
401851636,2026-03-04,2026-03-04 23:00:00+00:00,James Madison Dukes,Louisiana Ragin' Cajuns,87.0,72.0,37,27,50,45,True,Pensacola Bay Center,STATUS_FINAL,True,,,,,,,,,,,,159.0,15.0,Away Cover,Under,,,,,87.0,72.0,37.0,27.0,50.0,45.0,64.0,95.0
401822969,2026-03-04,2026-03-04 23:00:00+00:00,Butler Bulldogs,Creighton Bluejays,59.0,76.0,36,32,23,44,False,Hinkle Fieldhouse,STATUS_FINAL,True,,,,,,,,,,,,135.0,-17.0,Away Cover,Under,,,,,59.0,76.0,36.0,32.0,23.0,44.0,68.0,67.0
