game_id,season,date,start_time,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,source,pred_total,pred_margin,actual_total,actual_margin,market_total,spread_home,market_total_1h,market_total_2h,spread_home_1h,err_model_total,actual_total_1h,actual_total_2h,pred_total_1h,pred_total_2h,pred_margin_1h,pred_margin_2h,err_model_total_1h,err_model_total_2h,ats_result,actual_margin_1h,ats_result_1h,ml_model_p_home,home_win,brier_ml,logloss_ml,book,bet,line,price,pred_total_pick,edge,pick_result,no_pred
401820551,2025,2025-11-15,2025-11-15 19:00:00+00:00,Air Force Falcons,Miami (OH) RedHawks,0,0,,,,,False,Clune Arena,espn,141.69046020507812,-5.0581026,0,0,144.0,10.5,69.84,74.16,5.25,141.69046020507812,,,68.7198731994629,72.97058700561523,-2.5290513,-2.5290513,,,away_cover,,away_cover,0.3268237636302837,0.0,0.10681377247346355,0.39574811679875393,LowVig.ag,under,144.0,-110.0,141.69046020507812,-2.309539794921875,win,0
401828671,2025,2025-11-15,2025-11-15 21:00:00+00:00,American University Eagles,Central Penn Knights,0,0,,,,,False,Bender Arena,espn,143.9632110595703,1.8417823,0,0,,,,,,143.9632110595703,,,69.8221573638916,74.1410536956787,0.92089115,0.92089115,,,away_cover,,away_cover,0.5654010761934138,0.0,0.3196783769606706,0.8333316874477653,,,,,,,,0
401829483,2025,2025-11-15,2025-11-16 01:00:00+00:00,Arkansas State Red Wolves,Christian Brothers Buccaneers,0,0,,,,,False,First National Bank Arena,espn,145.770751953125,4.660563,0,0,,,,,,145.770751953125,,,70.69881469726562,75.07193725585938,2.3302815,2.3302815,,,away_cover,,away_cover,0.660560886807293,0.0,0.4363406851796373,1.0804606906512642,,,,,,,,0
401812602,2025,2025-11-15,2025-11-15 19:00:00+00:00,Army Black Knights,Harvard Crimson,0,0,,,,,False,Christl Arena,espn,139.68887329101562,-9.553488,0,0,,,,,,139.68887329101562,,,67.74910354614258,71.93976974487305,-4.776744,-4.776744,,,away_cover,,away_cover,0.203463876993651,0.0,0.04139754924128755,0.22748279848671638,,,,,,,,0
401822320,2025,2025-11-15,2025-11-16 00:00:00+00:00,Ball State Cardinals,Little Rock Trojans,0,0,,,,,False,Worthen Arena,espn,145.86529541015625,5.603908,0,0,,,,,,145.86529541015625,,,70.74466827392578,75.12062713623047,2.801954,2.801954,,,away_cover,,away_cover,0.6900938911875898,0.0,0.476229578654429,1.171485902177457,,,,,,,,0
401823215,2025,2025-11-15,2025-11-15 19:00:00+00:00,Bellarmine Knights,Wofford Terriers,0,0,,,,,False,Knights Hall,espn,146.51165771484375,2.1899054,0,0,155.5,2.5,75.4175,80.0825,1.25,146.51165771484375,,,71.05815399169921,75.45350372314454,1.0949527,1.0949527,,,away_cover,,away_cover,0.5775792064229304,0.0,0.333597739692142,0.8617533205832637,BetOnline.ag,under,156.5,-110.0,146.51165771484375,-9.98834228515625,win,0
401823816,2025,2025-11-15,2025-11-15 21:00:00+00:00,Boise State Broncos,Montana State Bobcats,0,0,,,,,False,ExtraMile Arena,espn,148.44558715820312,7.49831,0,0,149.5,-16.75,72.5075,76.9925,-8.375,148.44558715820312,,,71.99610977172851,76.44947738647461,3.749155,3.749155,,,home_cover,,away_cover,0.7448226120107002,0.0,0.5547607233624421,1.365796336494765,BetRivers,under,150.5,-110.0,148.44558715820312,-2.054412841796875,win,0
401824358,2025,2025-11-15,2025-11-15 18:00:00+00:00,Boston University Terriers,Merrimack Warriors,0,0,,,,,False,Case Gym,espn,145.36593627929688,3.879724,0,0,135.5,-3.0,65.7175,69.7825,-1.5,145.36593627929688,,,70.50247909545898,74.8634571838379,1.939862,1.939862,,,home_cover,,away_cover,0.6351201994610225,0.0,0.403377667763409,1.0081872932271163,DraftKings,over,135.5,-110.0,145.36593627929688,9.865936279296877,loss,0
401823428,2025,2025-11-15,2025-11-15 16:00:00+00:00,Buffalo Bulls,RIT Tigers,50,28,50.0,28.0,,,False,Alumni Arena,espn,147.33694458007812,9.622959,78,22,,,,,,69.33694458007812,78.0,0.0,71.45841812133789,75.87852645874024,4.8114795,4.8114795,-6.5415818786621145,75.87852645874024,away_cover,22.0,away_cover,0.7981398059758668,1.0,0.04074753793146072,0.22547150141878075,,,,,,,,0
401826044,2025,2025-11-15,2025-11-15 22:00:00+00:00,UC Riverside Highlanders,North Dakota Fighting Hawks,0,0,,,,,False,SRC Arena,espn,144.1119842529297,0.81875277,0,0,147.5,-3.5,71.5375,75.9625,-1.75,144.1119842529297,,,69.8943123626709,74.21767189025879,0.409376385,0.409376385,,,home_cover,,away_cover,0.5292078791718199,0.0,0.2800609793775355,0.7533386394451071,BetRivers,under,148.5,-110.0,144.1119842529297,-4.3880157470703125,win,0
