date,n_games,ats_logloss,ats_brier,ats_ece,ats_auc,ats_n,totals_logloss,totals_brier,totals_ece,totals_auc,totals_n,ml_logloss,ml_brier,ml_ece,ml_auc,ml_n
2025-11-22,45,,,,,0,,,,,0,0.5448749314648426,0.18890154691557315,0.1128912833043223,,45
2025-11-23,43,,,,,0,,,,,0,,,,,0
2025-11-24,62,,,,,0,,,,,0,,,,,0
2025-11-25,78,,,,,0,,,,,0,,,,,0
2025-11-26,72,,,,,0,,,,,0,0.8197484748437712,0.27499542264956495,0.17151919416710767,,72
2025-11-27,20,,,,,0,5.176196161818103,0.4048895330875755,0.41949367749704225,,14,,,,,0
2025-11-28,58,,,,,0,1.026940013753435,0.31349777273279805,0.2917602959805409,,51,,,,,0
2025-11-29,68,,,,,0,0.7071841487423427,0.246575390461438,0.36584502409758046,,56,,,,,0
2025-11-30,33,,,,,0,0.7125355828518097,0.25967325584464196,0.2694162436116836,,33,,,,,0
2025-12-01,19,,,,,0,0.6807170399728449,0.24378241309078463,0.16977209344628952,,12,,,,,0
2025-12-02,58,,,,,0,0.6083023231238192,0.21483411146411316,0.4405448956793226,,5,,,,,0
2025-12-03,78,2.9388948292811543,0.6031841633051334,0.6653935634274661,,47,0.8612766528815724,0.28956342191472867,0.45260128219157425,,47,,,,,0
2025-12-04,11,,,,,0,9.419666289521096,0.2727272727272727,0.2727272727272727,,11,,,,,0
