game_id,season,date,start_time,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,source,_date,_home_key,_away_key,_fuse_key,_score_nonnull,_has_start,_quality
401591429,2023,2023-11-06,2023-11-07 01:00:00+00:00,Alabama Crimson Tide,Morehead State Eagles,105,73,55.0,35.0,50.0,38.0,False,Coleman Coliseum,espn,2023-11-06,alabamacrimsontide,moreheadstateeagles,2023-11-06|alabamacrimsontide|moreheadstateeagles,6,True,16
401600255,2023,2023-11-06,2023-11-07 02:30:00+00:00,Arizona Wildcats,Morgan State Bears,122,59,61.0,26.0,61.0,33.0,False,McKale Memorial Center,espn,2023-11-06,arizonawildcats,morganstatebears,2023-11-06|arizonawildcats|morganstatebears,6,True,16
401594524,2023,2023-11-06,2023-11-07 01:00:00+00:00,Arkansas Razorbacks,Alcorn State Braves,93,59,46.0,22.0,47.0,37.0,False,Bud Walton Arena,espn,2023-11-06,arkansasrazorbacks,alcornstatebraves,2023-11-06|arkansasrazorbacks|alcornstatebraves,6,True,16
401576147,2023,2023-11-06,2023-11-07 02:00:00+00:00,Duke Blue Devils,Dartmouth Big Green,92,54,42.0,21.0,50.0,33.0,False,Cameron Indoor Stadium,espn,2023-11-06,dukebluedevils,dartmouthbiggreen,2023-11-06|dukebluedevils|dartmouthbiggreen,6,True,16
2023-11-06-0,2023,2023-11-06,,HOME,AWAY,,,,,,,,,ncaa,2023-11-06,home,away,2023-11-06|home|away,0,False,0
401575434,2023,2023-11-06,2023-11-07 01:00:00+00:00,Houston Cougars,UL Monroe Warhawks,84,31,38.0,14.0,46.0,17.0,False,Fertitta Center,espn,2023-11-06,houstoncougars,ulmonroewarhawks,2023-11-06|houstoncougars|ulmonroewarhawks,6,True,16
401584510,2023,2023-11-06,2023-11-07 01:00:00+00:00,Illinois Fighting Illini,Eastern Illinois Panthers,80,52,37.0,25.0,43.0,27.0,False,State Farm Center,espn,2023-11-06,illinoisfightingillini,easternillinoispanthers,2023-11-06|illinoisfightingillini|easternillinoispanthers,6,True,16
401575451,2023,2023-11-06,2023-11-07 01:00:00+00:00,Kansas Jayhawks,North Carolina Central Eagles,99,56,59.0,18.0,40.0,38.0,False,Allen Fieldhouse,espn,2023-11-06,kansasjayhawks,northcarolinacentraleagles,2023-11-06|kansasjayhawks|northcarolinacentraleagles,6,True,16
401588940,2023,2023-11-06,2023-11-07 01:00:00+00:00,Kentucky Wildcats,New Mexico State Aggies,86,46,37.0,29.0,49.0,17.0,False,Rupp Arena,espn,2023-11-06,kentuckywildcats,newmexicostateaggies,2023-11-06|kentuckywildcats|newmexicostateaggies,6,True,16
401577598,2023,2023-11-06,2023-11-07 01:30:00+00:00,Marquette Golden Eagles,Northern Illinois Huskies,92,70,50.0,28.0,42.0,42.0,False,Fiserv Forum,espn,2023-11-06,marquettegoldeneagles,northernillinoishuskies,2023-11-06|marquettegoldeneagles|northernillinoishuskies,6,True,16
401588936,2023,2023-11-06,2023-11-07 00:00:00+00:00,Miami Hurricanes,NJIT Highlanders,101,60,52.0,32.0,49.0,28.0,False,Watsco Center,espn,2023-11-06,miamihurricanes,njithighlanders,2023-11-06|miamihurricanes|njithighlanders,6,True,16
401581835,2023,2023-11-06,2023-11-07 01:30:00+00:00,Michigan State Spartans,James Madison Dukes,76,79,33.0,37.0,35.0,31.0,False,Breslin Center,espn,2023-11-06,michiganstatespartans,jamesmadisondukes,2023-11-06|michiganstatespartans|jamesmadisondukes,6,True,16
401583596,2023,2023-11-06,2023-11-07 00:00:00+00:00,North Carolina Tar Heels,Radford Highlanders,86,70,46.0,41.0,40.0,29.0,False,Dean E. Smith Center,espn,2023-11-06,northcarolinatarheels,radfordhighlanders,2023-11-06|northcarolinatarheels|radfordhighlanders,6,True,16
401577640,2023,2023-11-06,2023-11-06 23:30:00+00:00,Purdue Boilermakers,Samford Bulldogs,98,45,51.0,17.0,47.0,28.0,False,Mackey Arena,espn,2023-11-06,purdueboilermakers,samfordbulldogs,2023-11-06|purdueboilermakers|samfordbulldogs,6,True,16
401598037,2023,2023-11-06,2023-11-07 03:00:00+00:00,Saint Mary's Gaels,Stanislaus State Warriors,107,28,50.0,11.0,57.0,17.0,False,University Credit Union Pavilion,espn,2023-11-06,saintmarysgaels,stanislausstatewarriors,2023-11-06|saintmarysgaels|stanislausstatewarriors,6,True,16
401597930,2023,2023-11-06,2023-11-07 03:30:00+00:00,San Diego State Aztecs,Cal State Fullerton Titans,83,57,37.0,35.0,46.0,22.0,False,Viejas Arena,espn,2023-11-06,sandiegostateaztecs,calstatefullertontitans,2023-11-06|sandiegostateaztecs|calstatefullertontitans,6,True,16
401575517,2023,2023-11-06,2023-11-06 23:30:00+00:00,Tennessee Volunteers,Tennessee Tech Golden Eagles,80,42,41.0,12.0,39.0,30.0,False,Food City Center,espn,2023-11-06,tennesseevolunteers,tennesseetechgoldeneagles,2023-11-06|tennesseevolunteers|tennesseetechgoldeneagles,6,True,16
401575509,2023,2023-11-06,2023-11-07 01:00:00+00:00,Texas A&M Aggies,East Texas A&M Lions,78,46,42.0,27.0,36.0,19.0,False,Reed Arena,espn,2023-11-06,texasamaggies,easttexasamlions,2023-11-06|texasamaggies|easttexasamlions,6,True,16
401583724,2023,2023-11-06,2023-11-07 01:00:00+00:00,Texas Longhorns,Incarnate Word Cardinals,88,56,48.0,17.0,40.0,39.0,False,Moody Center,espn,2023-11-06,texaslonghorns,incarnatewordcardinals,2023-11-06|texaslonghorns|incarnatewordcardinals,6,True,16
401584359,2023,2023-11-06,2023-11-06 23:30:00+00:00,UConn Huskies,Northern Arizona Lumberjacks,95,52,47.0,30.0,48.0,22.0,False,Gampel Pavilion,espn,2023-11-06,uconnhuskies,northernarizonalumberjacks,2023-11-06|uconnhuskies|northernarizonalumberjacks,6,True,16
401581588,2023,2023-11-06,2023-11-07 03:00:00+00:00,USC Trojans,Kansas State Wildcats,82,69,40.0,30.0,42.0,39.0,True,T-Mobile Arena,espn,2023-11-06,usctrojans,kansasstatewildcats,2023-11-06|usctrojans|kansasstatewildcats,6,True,16
401584356,2023,2023-11-06,2023-11-07 00:30:00+00:00,Villanova Wildcats,American University Eagles,90,63,41.0,31.0,49.0,32.0,False,Finneran Pavilion,espn,2023-11-06,villanovawildcats,americanuniversityeagles,2023-11-06|villanovawildcats|americanuniversityeagles,6,True,16
