game_id,home_team,away_team,closing_total,closing_spread_home,closing_ml_home,closing_ml_away
2025-11-26:appalachian_st_mountaineers:mercer_bears,Mercer Bears,Appalachian St Mountaineers,135.5,1.5,,
2025-11-26:army_knights:fairleigh_dickinson_knights,Fairleigh Dickinson Knights,Army Knights,149.0,-6.0,,
2025-11-26:belmont_bruins:toledo_rockets,Toledo Rockets,Belmont Bruins,156.5,5.5,,
2025-11-26:boston_univ_terriers:penn_state_nittany_lions,Penn State Nittany Lions,Boston Univ. Terriers,142.5,-14.5,,
2025-11-26:brown_bears:new_hampshire_wildcats,New Hampshire Wildcats,Brown Bears,123.5,9.5,,
2025-11-26:buffalo_bulls:bucknell_bison,Bucknell Bison,Buffalo Bulls,153.5,13.5,,
2025-11-26:campbell_fighting_camels:wake_forest_demon_deacons,Wake Forest Demon Deacons,Campbell Fighting Camels,160.5,-17.5,,
2025-11-26:chicago_st_cougars:fort_wayne_mastodons,Fort Wayne Mastodons,Chicago St Cougars,150.0,-12.25,,
2025-11-26:colorado_st_rams:virginia_tech_hokies,Virginia Tech Hokies,Colorado St Rams,154.5,-5.0,,
2025-11-26:coppin_st_eagles:rider_broncs,Rider Broncs,Coppin St Eagles,140.5,-8.5,,
2025-11-26:csu_bakersfield_roadrunners:florida_st_seminoles,Florida St Seminoles,CSU Bakersfield Roadrunners,157.5,-25.0,,
2025-11-26:eastern_illinois_panthers:central_arkansas_bears,Central Arkansas Bears,Eastern Illinois Panthers,139.0,-4.5,,
2025-11-26:eastern_washington_eagles:north_texas_mean_green,North Texas Mean Green,Eastern Washington Eagles,141.0,-13.0,,
2025-11-26:gardner_webb_bulldogs:navy_midshipmen,Navy Midshipmen,Gardner-Webb Bulldogs,153.5,-10.0,,
2025-11-26:george_mason_patriots:florida_atlantic_owls,Florida Atlantic Owls,George Mason Patriots,147.0,4.5,,
2025-11-26:georgia_st_panthers:new_mexico_st_aggies,New Mexico St Aggies,Georgia St Panthers,136.0,-13.0,,
2025-11-26:gonzaga_bulldogs:maryland_terrapins,Maryland Terrapins,Gonzaga Bulldogs,157.5,14.5,,
2025-11-26:gw_revolutionaries:murray_st_racers,Murray St Racers,GW Revolutionaries,165.5,7.5,,
2025-11-26:hampton_pirates:maryland_eastern_shore_hawks,Maryland-Eastern Shore Hawks,Hampton Pirates,126.5,3.0,,
2025-11-26:harvard_crimson:boston_college_eagles,Boston College Eagles,Harvard Crimson,137.5,-7.0,,
2025-11-26:houston_christian_huskies:bellarmine_knights,Bellarmine Knights,Houston Christian Huskies,146.5,3.0,,
2025-11-26:kansas_st_wildcats:indiana_hoosiers,Indiana Hoosiers,Kansas St Wildcats,163.5,-10.5,,
2025-11-26:lehigh_mountain_hawks:marist_red_foxes,Marist Red Foxes,Lehigh Mountain Hawks,130.5,-7.5,,
2025-11-26:liberty_flames:bradley_braves,Bradley Braves,Liberty Flames,144.5,4.5,,
2025-11-26:lipscomb_bisons:marshall_thundering_herd,Marshall Thundering Herd,Lipscomb Bisons,157.0,-8.0,,
2025-11-26:michigan_wolverines:auburn_tigers,Auburn Tigers,Michigan Wolverines,161.5,5.5,,
2025-11-26:miss_valley_st_delta_devils:texas_a_m_aggies,Texas A&M Aggies,Miss Valley St Delta Devils,155.5,-44.0,,
