game_id,home_team,away_team,closing_total,closing_spread_home,closing_ml_home,closing_ml_away
2025-11-29:alabama_a_m_bulldogs:clemson_tigers,Clemson Tigers,Alabama A&M Bulldogs,141.0,-27.5,,
2025-11-29:buffalo_bulls:canisius_golden_griffins,Canisius Golden Griffins,Buffalo Bulls,136.5,9.5,,
2025-11-29:byu_cougars:dayton_flyers,Dayton Flyers,BYU Cougars,150.5,10.25,,
2025-11-29:colgate_raiders:albany_great_danes,Albany Great Danes,Colgate Raiders,141.5,7.5,,
2025-11-29:depaul_blue_demons:georgia_tech_yellow_jackets,Georgia Tech Yellow Jackets,DePaul Blue Demons,145.5,1.5,,
2025-11-29:drake_bulldogs:lsu_tigers,LSU Tigers,Drake Bulldogs,150.5,-12.0,,
2025-11-29:jackson_st_tigers:louisiana_ragin_cajuns,Louisiana Ragin' Cajuns,Jackson St Tigers,136.5,-5.0,,
2025-11-29:miami_hurricanes:georgetown_hoyas,Georgetown Hoyas,Miami Hurricanes,152.5,5.5,,
2025-11-29:north_dakota_fighting_hawks:hawai_i_rainbow_warriors,Hawai'i Rainbow Warriors,North Dakota Fighting Hawks,149.5,-17.75,,
2025-11-29:ohio_state_buckeyes:pittsburgh_panthers,Pittsburgh Panthers,Ohio State Buckeyes,147.5,5.0,,
2025-11-29:pepperdine_waves:csu_fullerton_titans,CSU Fullerton Titans,Pepperdine Waves,,-13.5,,
2025-11-29:sacred_heart_pioneers:penn_state_nittany_lions,Penn State Nittany Lions,Sacred Heart Pioneers,150.5,-32.5,,
2025-11-29:saint_louis_billikens:stanford_cardinal,Stanford Cardinal,Saint Louis Billikens,161.5,2.5,,
2025-11-29:sam_houston_st_bearkats:idaho_vandals,Idaho Vandals,Sam Houston St Bearkats,155.5,1.25,,
2025-11-29:santa_clara_broncos:minnesota_golden_gophers,Minnesota Golden Gophers,Santa Clara Broncos,140.25,5.5,,
2025-11-29:smu_mustangs:mississippi_st_bulldogs,Mississippi St Bulldogs,SMU Mustangs,163.5,1.5,,
2025-11-29:stony_brook_seawolves:loyola_marymount_lions,Loyola Marymount Lions,Stony Brook Seawolves,137.5,-10.25,,
2025-11-29:western_kentucky_hilltoppers:wichita_st_shockers,Wichita St Shockers,Western Kentucky Hilltoppers,153.5,-6.5,,
2025-11-29:wofford_terriers:eastern_kentucky_colonels,Eastern Kentucky Colonels,Wofford Terriers,,8.0,,
