pair_key,home_team,away_team,our_start_iso,our_start_dt,sched_commence_time,sched_start_time,sched_dt,diff_minutes
abilenechristian::newmexicostate,Abilene Christian Wildcats,New Mexico State Aggies,2025-12-06T21:00:00Z,2025-12-06 21:00:00+00:00,,2025-12-06 21:00:00+00:00,2025-12-06 21:00:00+00:00,0.0
akron::tulanegreen,Tulane Green Wave,Akron Zips,2025-12-06T21:00:00Z,2025-12-06 21:00:00+00:00,,2025-12-06 21:00:00+00:00,2025-12-06 21:00:00+00:00,0.0
american::marylandeasternshore,American University Eagles,Maryland Eastern Shore Hawks,2025-12-06T19:00:00Z,2025-12-06 19:00:00+00:00,,2025-12-06 19:00:00+00:00,2025-12-06 19:00:00+00:00,0.0
arizona::auburn,Arizona Wildcats,Auburn Tigers,2025-12-07T03:00:00Z,2025-12-07 03:00:00+00:00,,2025-12-07 03:00:00+00:00,2025-12-07 03:00:00+00:00,0.0
arizonastate::oklahomasooners,Arizona State Sun Devils,Oklahoma Sooners,2025-12-07T03:00:00Z,2025-12-07 03:00:00+00:00,,2025-12-07 03:00:00+00:00,2025-12-07 03:00:00+00:00,0.0
arkansas::fresnostate,Arkansas Razorbacks,Fresno State Bulldogs,2025-12-06T21:00:00Z,2025-12-06 21:00:00+00:00,,2025-12-06 21:00:00+00:00,2025-12-06 21:00:00+00:00,0.0
arkansaspinebluffgolden::depaulblue,DePaul Blue Demons,Arkansas-Pine Bluff Golden Lions,2025-12-07T02:00:00Z,2025-12-07 02:00:00+00:00,,2025-12-07 02:00:00+00:00,2025-12-07 02:00:00+00:00,0.0
arkansasstateredwolves::littlerocktrojans,Little Rock Trojans,Arkansas State Red Wolves,2025-12-07T02:00:00Z,2025-12-07 02:00:00+00:00,,2025-12-07 02:00:00+00:00,2025-12-07 02:00:00+00:00,0.0
baylor::memphis,Memphis Tigers,Baylor Bears,2025-12-06T21:30:00Z,2025-12-06 21:30:00+00:00,,2025-12-06 21:30:00+00:00,2025-12-06 21:30:00+00:00,0.0
bellarmine::murraystate,Murray State Racers,Bellarmine Knights,2025-12-06T20:00:00Z,2025-12-06 20:00:00+00:00,,2025-12-06 20:00:00+00:00,2025-12-06 20:00:00+00:00,0.0
binghamton::lemoyne,Binghamton Bearcats,Le Moyne Dolphins,2025-12-06T21:00:00Z,2025-12-06 21:00:00+00:00,,2025-12-06 21:00:00+00:00,2025-12-06 21:00:00+00:00,0.0
boisestate::butler,Butler Bulldogs,Boise State Broncos,2025-12-06T19:00:00Z,2025-12-06 19:00:00+00:00,,2025-12-06 19:00:00+00:00,2025-12-06 19:00:00+00:00,0.0
boston::newhampshire,New Hampshire Wildcats,Boston University Terriers,2025-12-07T00:00:00Z,2025-12-07 00:00:00+00:00,,2025-12-07 00:00:00+00:00,2025-12-07 00:00:00+00:00,0.0
bostoncollege::newhavenchargers,Boston College Eagles,New Haven Chargers,2025-12-06T17:00:00Z,2025-12-06 17:00:00+00:00,,2025-12-06 17:00:00+00:00,2025-12-06 17:00:00+00:00,0.0
bowiestate::howard,Howard Bison,Bowie State Bulldogs,2025-12-06T23:00:00Z,2025-12-06 23:00:00+00:00,,2025-12-06 23:00:00+00:00,2025-12-06 23:00:00+00:00,0.0
bowlinggreen::utahvalleywolverines,Bowling Green Falcons,Utah Valley Wolverines,2025-12-06T18:00:00Z,2025-12-06 18:00:00+00:00,,2025-12-06 18:00:00+00:00,2025-12-06 18:00:00+00:00,0.0
bradley::northernillinois,Bradley Braves,Northern Illinois Huskies,2025-12-07T01:00:00Z,2025-12-07 01:00:00+00:00,,2025-12-07 01:00:00+00:00,2025-12-07 01:00:00+00:00,0.0
