game_id,season,date_game,start_time,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,pair_key,event_id,book,market,period,commence_time,last_update,home_team_name,away_team_name,moneyline_home,moneyline_away,home_spread,home_spread_price,away_spread,away_spread_price,total,over_price,under_price,date_line,_day_diff,partial_pair,pred_total,pred_margin,edge_total,edge_margin,edge_total_pct,edge_margin_pct,kelly_fraction_total,home_ml_prob_market,away_ml_prob_market,home_ml_prob_fair,away_ml_prob_fair,kelly_fraction_ml_home,kelly_fraction_ml_away
401817173,2025,2025-11-08,2025-11-08 23:00:00+00:00,Richmond Spiders,East Carolina Pirates,0,0,,,,,False,Robins Center,eastcarolina::richmond,ada21de32dcee452e6710fb948f118a8,DraftKings,totals,full_game,2025-11-08 23:00:00+00:00,2025-11-08 22:51:23+00:00,Richmond Spiders,East Carolina Pirates,,,,,,,143.5,-105.0,-115.0,2025-11-08,0,False,141.85124,2.9149399,-1.64876000000001,,-0.011489616724738746,,-0.054958666666667,,,0.6026262673171017,0.39737373268289833,,
401817173,2025,2025-11-08,2025-11-08 23:00:00+00:00,Richmond Spiders,East Carolina Pirates,0,0,,,,,False,Robins Center,eastcarolina::richmond,ada21de32dcee452e6710fb948f118a8,FanDuel,h2h,2h,2025-11-08 23:00:00+00:00,2025-11-08 22:49:43+00:00,Richmond Spiders,East Carolina Pirates,-255.0,205.0,,,,,,,,2025-11-08,0,False,141.85124,2.9149399,,,,,,0.7183098591549296,0.32786885245901637,0.6026262673171017,0.39737373268289833,-0.4106767510242891,0.10340969984528775
401817173,2025,2025-11-08,2025-11-08 23:00:00+00:00,Richmond Spiders,East Carolina Pirates,0,0,,,,,False,Robins Center,eastcarolina::richmond,ada21de32dcee452e6710fb948f118a8,FanDuel,spreads,full_game,2025-11-08 23:00:00+00:00,2025-11-08 22:49:43+00:00,Richmond Spiders,East Carolina Pirates,,,-5.5,-110.0,5.5,-110.0,,,,2025-11-08,0,False,141.85124,2.9149399,,-2.5850601,,-0.4700109272727273,,,,0.6026262673171017,0.39737373268289833,,
401817173,2025,2025-11-08,2025-11-08 23:00:00+00:00,Richmond Spiders,East Carolina Pirates,0,0,,,,,False,Robins Center,eastcarolina::richmond,ada21de32dcee452e6710fb948f118a8,FanDuel,totals,full_game,2025-11-08 23:00:00+00:00,2025-11-08 22:49:43+00:00,Richmond Spiders,East Carolina Pirates,,,,,,,143.5,-105.0,-115.0,2025-11-08,0,False,141.85124,2.9149399,-1.64876000000001,,-0.011489616724738746,,-0.054958666666667,,,0.6026262673171017,0.39737373268289833,,
401817173,2025,2025-11-08,2025-11-08 23:00:00+00:00,Richmond Spiders,East Carolina Pirates,0,0,,,,,False,Robins Center,eastcarolina::richmond,ada21de32dcee452e6710fb948f118a8,Fanatics,h2h,2h,2025-11-08 23:00:00+00:00,2025-11-08 22:51:22+00:00,Richmond Spiders,East Carolina Pirates,-240.0,190.0,,,,,,,,2025-11-08,0,False,141.85124,2.9149399,,,,,,0.7058823529411765,0.3448275862068966,0.6026262673171017,0.39737373268289833,-0.3510706911218543,0.0802020130423185
401817173,2025,2025-11-08,2025-11-08 23:00:00+00:00,Richmond Spiders,East Carolina Pirates,0,0,,,,,False,Robins Center,eastcarolina::richmond,ada21de32dcee452e6710fb948f118a8,Fanatics,spreads,full_game,2025-11-08 23:00:00+00:00,2025-11-08 22:51:22+00:00,Richmond Spiders,East Carolina Pirates,,,-5.5,-110.0,5.5,-110.0,,,,2025-11-08,0,False,141.85124,2.9149399,,-2.5850601,,-0.4700109272727273,,,,0.6026262673171017,0.39737373268289833,,
401817173,2025,2025-11-08,2025-11-08 23:00:00+00:00,Richmond Spiders,East Carolina Pirates,0,0,,,,,False,Robins Center,eastcarolina::richmond,ada21de32dcee452e6710fb948f118a8,Fanatics,totals,full_game,2025-11-08 23:00:00+00:00,2025-11-08 22:51:22+00:00,Richmond Spiders,East Carolina Pirates,,,,,,,143.5,-110.0,-110.0,2025-11-08,0,False,141.85124,2.9149399,-1.64876000000001,,-0.011489616724738746,,-0.054958666666667,,,0.6026262673171017,0.39737373268289833,,
401817173,2025,2025-11-08,2025-11-08 23:00:00+00:00,Richmond Spiders,East Carolina Pirates,0,0,,,,,False,Robins Center,eastcarolina::richmond,ada21de32dcee452e6710fb948f118a8,LowVig.ag,h2h,2h,2025-11-08 23:00:00+00:00,2025-11-08 22:50:47+00:00,Richmond Spiders,East Carolina Pirates,-230.0,192.0,,,,,,,,2025-11-08,0,False,141.85124,2.9149399,,,,,,0.696969696969697,0.3424657534246575,0.6026262673171017,0.39737373268289833,-0.31133331785356444,0.08350588512190787
401817173,2025,2025-11-08,2025-11-08 23:00:00+00:00,Richmond Spiders,East Carolina Pirates,0,0,,,,,False,Robins Center,eastcarolina::richmond,ada21de32dcee452e6710fb948f118a8,LowVig.ag,spreads,full_game,2025-11-08 23:00:00+00:00,2025-11-08 22:50:47+00:00,Richmond Spiders,East Carolina Pirates,,,-5.0,-106.0,5.0,-106.0,,,,2025-11-08,0,False,141.85124,2.9149399,,-2.0850601,,-0.41701202000000004,,,,0.6026262673171017,0.39737373268289833,,
401817173,2025,2025-11-08,2025-11-08 23:00:00+00:00,Richmond Spiders,East Carolina Pirates,0,0,,,,,False,Robins Center,eastcarolina::richmond,ada21de32dcee452e6710fb948f118a8,LowVig.ag,totals,full_game,2025-11-08 23:00:00+00:00,2025-11-08 22:50:47+00:00,Richmond Spiders,East Carolina Pirates,,,,,,,142.5,-115.0,-101.0,2025-11-08,0,False,141.85124,2.9149399,-0.64876000000001,,-0.004552701754386035,,-0.021625333333333666,,,0.6026262673171017,0.39737373268289833,,
