game_id,home_team,away_team,pred_total,pred_margin,market_total,spread_home
401826737,App State Mountaineers,High Point Panthers,142.59738159179688,2.4872446060180664,,
401832162,Bradley Braves,North Central College Cardinals,142.499267578125,3.925497531890869,,
401829394,UT Martin Skyhawks,Champion Christian Tigers,142.37924194335938,3.738344192504883,,
401817161,Loyola Chicago Ramblers,Chicago State Cougars,144.0543975830078,35.86301803588867,,
401827487,Cleveland State Vikings,Oakland City Mighty Oaks,142.4249267578125,3.8095879554748535,,
401823812,Colorado State Rams,Northern New Mexico Eagles,143.9552001953125,6.195970058441162,,
401829344,SIU Edwardsville Cougars,Eureka Red Devils,141.44883728027344,2.287397861480713,,
401823570,Idaho Vandals,Evergreen State Geoducks,144.66563415527344,7.303871631622314,,
401823348,Texas A&M Aggies,Jacksonville Dolphins,148.2471160888672,30.17481803894043,,
401829351,Southeast Missouri State Redhawks,St. Xavier  (IL) Cougars,142.17263793945312,3.416130781173706,,
401823005,Youngstown State Penguins,Thiel Tomcats,142.28216552734375,3.586947202682495,,
401824140,USC Trojans,Washington State Cougars,140.8095489501953,8.146851921081542,,
