game_id,date,home_team,away_team,home_off_rating,away_off_rating,home_def_rating,away_def_rating,home_tempo_rating,away_tempo_rating,tempo_rating_sum
401819877,2025-12-06,Purdue Boilermakers,Iowa State Cyclones,110.0,100.0,97.0,100.0,76.0,75.0,151.0
401817235,2025-12-06,Michigan State Spartans,Duke Blue Devils,100.0,107.0,96.0,93.0,74.0,73.0,147.0
401824865,2025-12-06,Georgia Tech Yellow Jackets,Monmouth Hawks,101.0,109.0,99.0,100.0,68.0,67.0,135.0
401817215,2025-12-06,Boston College Eagles,New Haven Chargers,104.0,106.0,96.0,94.0,68.0,67.0,135.0
401817169,2025-12-06,Providence Friars,Rhode Island Rams,109.0,104.0,98.0,96.0,70.0,71.0,141.0
401813441,2025-12-06,Virginia Cavaliers,Dayton Flyers,109.0,109.0,98.0,100.0,70.0,70.0,140.0
401809420,2025-12-06,Miami Hurricanes,Southern Miss Golden Eagles,109.0,110.0,98.0,99.0,70.0,71.0,141.0
401809081,2025-12-06,Bucknell Bison,UMBC Retrievers,105.0,100.0,95.0,96.0,73.0,72.0,145.0
401817177,2025-12-06,Richmond Spiders,Old Dominion Monarchs,101.0,101.0,95.0,99.0,70.0,71.0,141.0
401831529,2025-12-06,Wagner Seahawks,Bryant Str-Alb Bobcats,101.0,101.0,95.0,95.0,72.0,74.0,146.0
401823422,2025-12-06,Bowling Green Falcons,Utah Valley Wolverines,101.0,102.0,95.0,98.0,71.0,73.0,144.0
401820629,2025-12-06,Miami (OH) RedHawks,Maine Black Bears,101.0,110.0,95.0,99.0,73.0,74.0,147.0
401817257,2025-12-06,NC State Wolfpack,UNC Asheville Bulldogs,110.0,109.0,97.0,100.0,68.0,67.0,135.0
401831238,2025-12-06,Drexel Dragons,La Salle Explorers,109.0,102.0,98.0,98.0,69.0,71.0,140.0
401830634,2025-12-06,Western Illinois Leathernecks,Hannibal-Lagrange Trojans,100.0,107.0,96.0,93.0,71.0,70.0,141.0
401829405,2025-12-06,Colgate Raiders,St. John Fisher Cardinals,100.0,111.0,100.0,98.0,68.0,70.0,138.0
401829275,2025-12-06,SIU Edwardsville Cougars,Western Michigan Broncos,109.0,106.0,98.0,94.0,73.0,73.0,146.0
401828722,2025-12-06,James Madison Dukes,Norfolk State Spartans,105.0,102.0,98.0,94.0,76.0,75.0,151.0
401828305,2025-12-06,Delaware State Hornets,Delaware Blue Hens,103.0,108.0,97.0,92.0,74.0,76.0,150.0
401827070,2025-12-06,Winthrop Eagles,Coastal Carolina Chanticleers,106.0,105.0,94.0,95.0,75.0,77.0,152.0
401826970,2025-12-06,Gardner-Webb Runnin' Bulldogs,Georgia Southern Eagles,109.0,107.0,98.0,93.0,67.0,68.0,135.0
401826944,2025-12-06,Presbyterian Blue Hose,Morehead State Eagles,104.0,110.0,96.0,99.0,69.0,69.0,138.0
401826754,2025-12-06,South Carolina Upstate Spartans,Western Carolina Catamounts,109.0,108.0,98.0,92.0,73.0,75.0,148.0
401825399,2025-12-06,Northwestern Wildcats,Ohio State Buckeyes,102.0,103.0,94.0,97.0,70.0,69.0,139.0
401825388,2025-12-06,West Georgia Wolves,Tennessee Tech Golden Eagles,100.0,110.0,100.0,99.0,75.0,76.0,151.0
401825207,2025-12-06,South Carolina Gamecocks,Stetson Hatters,106.0,100.0,94.0,96.0,74.0,75.0,149.0
401823346,2025-12-06,Florida International Panthers,Jacksonville Dolphins,110.0,104.0,97.0,96.0,75.0,75.0,150.0
401823041,2025-12-06,American University Eagles,Maryland Eastern Shore Hawks,105.0,102.0,98.0,98.0,71.0,72.0,143.0
401823027,2025-12-06,Wisconsin Badgers,Marquette Golden Eagles,109.0,106.0,98.0,94.0,70.0,70.0,140.0
401822763,2025-12-06,Liberty Flames,Coppin State Eagles,107.0,104.0,100.0,96.0,74.0,74.0,148.0
401820828,2025-12-06,Butler Bulldogs,Boise State Broncos,106.0,102.0,94.0,98.0,67.0,69.0,136.0
401817508,2025-12-06,IU Indianapolis Jaguars,Youngstown State Penguins,104.0,101.0,99.0,95.0,72.0,74.0,146.0
401817507,2025-12-06,Cleveland State Vikings,Detroit Mercy Titans,108.0,110.0,99.0,99.0,74.0,73.0,147.0
401817506,2025-12-06,Purdue Fort Wayne Mastodons,Northern Kentucky Norse,102.0,103.0,94.0,97.0,75.0,74.0,149.0
