game_id,season,date,start_time,start_time_local,start_tz_abbr,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,status,completed,neutral_site,venue
401814590,2026,2026-02-27,2026-02-27 23:00:00+00:00,2026-02-27 18:00,EST,Western Michigan Broncos,Miami (OH) RedHawks,0,0,,,,,STATUS_SCHEDULED,False,False,University Arena (MI)
401818335,2026,2026-02-27,2026-02-27 23:00:00+00:00,2026-02-27 18:00,EST,Cornell Big Red,Yale Bulldogs,0,0,,,,,STATUS_SCHEDULED,False,False,Newman Arena
401813395,2026,2026-02-27,2026-02-27 23:30:00+00:00,2026-02-27 18:30,EST,Niagara Purple Eagles,Quinnipiac Bobcats,0,0,,,,,STATUS_SCHEDULED,False,False,Gallagher Center
401828448,2026,2026-02-27,2026-02-28 00:00:00+00:00,2026-02-27 19:00,EST,George Washington Revolutionaries,Dayton Flyers,0,0,,,,,STATUS_SCHEDULED,False,False,Charles E. Smith Center
401823856,2026,2026-02-27,2026-02-28 00:00:00+00:00,2026-02-27 19:00,EST,Iona Gaels,Rider Broncs,0,0,,,,,STATUS_SCHEDULED,False,False,Hynes Athletics Center
401818546,2026,2026-02-27,2026-02-28 00:00:00+00:00,2026-02-27 19:00,EST,Columbia Lions,Brown Bears,0,0,,,,,STATUS_SCHEDULED,False,False,Levien Gymnasium
401813432,2026,2026-02-27,2026-02-28 00:00:00+00:00,2026-02-27 19:00,EST,Fairfield Stags,Siena Saints,0,0,,,,,STATUS_SCHEDULED,False,False,Leo D. Mahoney Arena
401813418,2026,2026-02-27,2026-02-28 00:00:00+00:00,2026-02-27 19:00,EST,Sacred Heart Pioneers,Mount St. Mary's Mountaineers,0,0,,,,,STATUS_SCHEDULED,False,False,William H. Pitt Center
401813371,2026,2026-02-27,2026-02-28 00:00:00+00:00,2026-02-27 19:00,EST,Canisius Golden Griffins,Merrimack Warriors,0,0,,,,,STATUS_SCHEDULED,False,False,Koessler Athletic Center
401813318,2026,2026-02-27,2026-02-28 00:00:00+00:00,2026-02-27 19:00,EST,Saint Peter's Peacocks,Manhattan Jaspers,0,0,,,,,STATUS_SCHEDULED,False,False,Yanitelli Center
401812623,2026,2026-02-27,2026-02-28 00:00:00+00:00,2026-02-27 19:00,EST,Princeton Tigers,Harvard Crimson,0,0,,,,,STATUS_SCHEDULED,False,False,Jadwin Gymnasium
401812596,2026,2026-02-27,2026-02-28 00:00:00+00:00,2026-02-27 19:00,EST,Pennsylvania Quakers,Dartmouth Big Green,0,0,,,,,STATUS_SCHEDULED,False,False,The Palestra
401808700,2026,2026-02-27,2026-02-28 00:00:00+00:00,2026-02-27 19:00,EST,Troy Trojans,UL Monroe Warhawks,0,0,,,,,STATUS_SCHEDULED,False,False,Trojan Arena
401808694,2026,2026-02-27,2026-02-28 00:30:00+00:00,2026-02-27 19:30,EST,Georgia State Panthers,Old Dominion Monarchs,0,0,,,,,STATUS_SCHEDULED,False,False,GSU Convocation Center
401825544,2026,2026-02-27,2026-02-28 01:00:00+00:00,2026-02-27 20:00,EST,Illinois Fighting Illini,Michigan Wolverines,0,0,,,,,STATUS_SCHEDULED,False,False,State Farm Center
401814586,2026,2026-02-27,2026-02-28 01:00:00+00:00,2026-02-27 20:00,EST,Kent State Golden Flashes,Akron Zips,0,0,,,,,STATUS_SCHEDULED,False,False,M.A.C. Center
401808697,2026,2026-02-27,2026-02-28 01:00:00+00:00,2026-02-27 20:00,EST,Texas State Bobcats,App State Mountaineers,0,0,,,,,STATUS_SCHEDULED,False,False,Strahan Arena at the University Events Center
401808695,2026,2026-02-27,2026-02-28 01:00:00+00:00,2026-02-27 20:00,EST,James Madison Dukes,Coastal Carolina Chanticleers,0,0,,,,,STATUS_SCHEDULED,False,False,Atlantic Union Bank Center
401808699,2026,2026-02-27,2026-02-28 01:30:00+00:00,2026-02-27 20:30,EST,South Alabama Jaguars,Southern Miss Golden Eagles,0,0,,,,,STATUS_SCHEDULED,False,False,Mitchell Center
401808698,2026,2026-02-27,2026-02-28 01:30:00+00:00,2026-02-27 20:30,EST,Arkansas State Red Wolves,Louisiana Ragin' Cajuns,0,0,,,,,STATUS_SCHEDULED,False,False,First National Bank Arena
401808696,2026,2026-02-27,2026-02-28 02:00:00+00:00,2026-02-27 21:00,EST,Marshall Thundering Herd,Georgia Southern Eagles,0,0,,,,,STATUS_SCHEDULED,False,False,Cam Henderson Center
