book,fetched_at,moneyline_home,moneyline_away,spread,total,commence_time,home_team_name,away_team_name,pair_key,date,game_id,pred_total,pred_margin,pred_total_mu,pred_total_sigma,edge_total,edge_margin,edge_total_pct,edge_margin_pct,kelly_fraction_total,home_ml_prob_market,away_ml_prob_market,home_ml_prob_fair,away_ml_prob_fair,kelly_fraction_ml_home,kelly_fraction_ml_away,home_ml_ev,away_ml_ev,home_ml_b,away_ml_b
FanDuel,2025-11-09 15:36:56.948377+00:00,-2000.0,980.0,-15.5,148.5,2025-11-09 17:00:00+00:00,Harvard Crimson,New Hampshire Wildcats,newhampshirewildcats::harvardcrimson,2025-11-09,401812600,141.85124,2.9149399,141.90643,13.246382,-6.64876000000001,,-0.04477279461279468,,-0.22162533333333367,0.9523809523809523,0.09259259259259259,0.6026262673171017,0.39737373268289833,-1.0,0.3358812564260512,-0.36724241931704327,3.291636312975302,0.05,9.8
Fanatics,2025-11-09 15:36:56.948377+00:00,-1500.0,850.0,-15.5,147.5,2025-11-09 17:00:00+00:00,Harvard Crimson,New Hampshire Wildcats,newhampshirewildcats::harvardcrimson,2025-11-09,401812600,141.85124,2.9149399,141.90643,13.246382,-5.64876000000001,,-0.03829667796610176,,-0.18829200000000032,0.9375,0.10526315789473684,0.6026262673171017,0.39737373268289833,-1.0,0.3264765247632393,-0.35719864819509156,2.775050460487534,0.06666666666666667,8.5
DraftKings,2025-11-09 15:36:56.948377+00:00,-1800.0,1000.0,-15.5,147.5,2025-11-09 17:00:00+00:00,Harvard Crimson,New Hampshire Wildcats,newhampshirewildcats::harvardcrimson,2025-11-09,401812600,141.85124,2.9149399,141.90643,13.246382,-5.64876000000001,,-0.03829667796610176,,-0.18829200000000032,0.9473684210526315,0.09090909090909091,0.6026262673171017,0.39737373268289833,-1.0,0.33711110595118815,-0.36389449560972603,3.3711110595118816,0.05555555555555555,10.0
Bovada,2025-11-09 15:36:56.948377+00:00,,,-15.5,148.0,2025-11-09 17:00:00+00:00,Harvard Crimson,New Hampshire Wildcats,newhampshirewildcats::harvardcrimson,2025-11-09,401812600,141.85124,2.9149399,141.90643,13.246382,-6.14876000000001,,-0.04154567567567574,,-0.204958666666667,,,0.6026262673171017,0.39737373268289833,,,,,,
BetOnline.ag,2025-11-09 15:36:56.948377+00:00,,,-15.5,147.5,2025-11-09 17:00:00+00:00,Harvard Crimson,New Hampshire Wildcats,newhampshirewildcats::harvardcrimson,2025-11-09,401812600,141.85124,2.9149399,141.90643,13.246382,-5.64876000000001,,-0.03829667796610176,,-0.18829200000000032,,,0.6026262673171017,0.39737373268289833,,,,,,
LowVig.ag,2025-11-09 15:36:56.948377+00:00,,,-15.5,147.5,2025-11-09 17:00:00+00:00,Harvard Crimson,New Hampshire Wildcats,newhampshirewildcats::harvardcrimson,2025-11-09,401812600,141.85124,2.9149399,141.90643,13.246382,-5.64876000000001,,-0.03829667796610176,,-0.18829200000000032,,,0.6026262673171017,0.39737373268289833,,,,,,
BetMGM,2025-11-09 15:36:56.948377+00:00,-1600.0,900.0,-15.5,147.5,2025-11-09 17:00:00+00:00,Harvard Crimson,New Hampshire Wildcats,newhampshirewildcats::harvardcrimson,2025-11-09,401812600,141.85124,2.9149399,141.90643,13.246382,-5.64876000000001,,-0.03829667796610176,,-0.18829200000000032,0.9411764705882353,0.1,0.6026262673171017,0.39737373268289833,-1.0,0.3304152585365537,-0.3597095909755795,2.9737373268289833,0.0625,9.0
BetRivers,2025-11-09 15:36:56.948377+00:00,-1667.0,800.0,-15.5,148.0,2025-11-09 17:00:00+00:00,Harvard Crimson,New Hampshire Wildcats,newhampshirewildcats::harvardcrimson,2025-11-09,401812600,141.85124,2.9149399,141.90643,13.246382,-6.14876000000001,,-0.04154567567567574,,-0.204958666666667,0.9434069043576684,0.1111111111111111,0.6026262673171017,0.39737373268289833,-1.0,0.3220454492682606,-0.3612233867130662,2.576363594146085,0.059988002399520096,8.0
FanDuel,2025-11-09 15:36:56.948377+00:00,-490.0,365.0,-8.5,151.5,2025-11-09 17:30:00+00:00,Campbell Fighting Camels,Western Michigan Broncos,westernmichiganbroncos::campbellfightingcamels,2025-11-09,401828296,141.85124,2.9149399,141.90643,13.246382,-9.64876000000001,,-0.06368818481848192,,-0.32162533333333365,0.8305084745762712,0.21505376344086022,0.6026262673171017,0.39737373268289833,-1.0,0.23227064574670606,-0.2743887801692041,0.8477878569754771,0.20408163265306123,3.65
BetOnline.ag,2025-11-09 15:36:56.948377+00:00,-400.0,316.0,-9.0,152.0,2025-11-09 17:30:00+00:00,Campbell Fighting Camels,Western Michigan Broncos,westernmichiganbroncos::campbellfightingcamels,2025-11-09,401828296,141.85124,2.9149399,141.90643,13.246382,-10.14876000000001,,-0.0667681578947369,,-0.3382920000000003,0.8,0.2403846153846154,0.6026262673171017,0.39737373268289833,-0.9868686634144916,0.206669217709132,-0.2467171658536229,0.6530747279608571,0.25,3.16
