game_id,season,date,start_time,start_time_local,start_tz_abbr,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,start_time_iso,display_date,start_time_local_venue,start_tz_abbr_venue,game_date,game_key,game_id_odds,book,fetched_at,moneyline_home,moneyline_away,spread,total,commence_time,home_team_name,away_team_name,odds_date,odds_key
401804912,2026,2026-02-04,2026-02-05 00:30:00+00:00,2026-02-04 19:30,EST,Louisiana Tech Bulldogs,New Mexico State Aggies,0,0,,,,,False,Thomas Assembly Center,2026-02-05T00:30:00Z,2026-02-04,,,2026-02-04,louisianatech__newmexicostate,,,,,,,,,,,,
401804913,2026,2026-02-04,2026-02-05 00:30:00+00:00,2026-02-04 19:30,EST,Sam Houston Bearkats,UTEP Miners,0,0,,,,,False,Bernard G. Johnson Coliseum,2026-02-05T00:30:00Z,2026-02-04,,,2026-02-04,samhoustonbearkats__utepminers,,,,,,,,,,,,
401804915,2026,2026-02-04,2026-02-05 00:30:00+00:00,2026-02-04 19:30,EST,Middle Tennessee Blue Raiders,Florida International Panthers,0,0,,,,,False,Murphy Center,2026-02-05T00:30:00Z,2026-02-04,,,2026-02-04,floridainternational__middletennesseeblueraiders,,,,,,,,,,,,
401804916,2026,2026-02-04,2026-02-05 00:00:00+00:00,2026-02-04 19:00,EST,Delaware Blue Hens,Liberty Flames,0,0,,,,,False,Bob Carpenter Center,2026-02-05T00:00:00Z,2026-02-04,,,2026-02-04,delawarebluehens__libertyflames,,,,,,,,,,,,
401807723,2026,2026-02-04,2026-02-05 01:00:00+00:00,2026-02-04 20:00,EST,Austin Peay Governors,Lipscomb Bisons,0,0,,,,,False,F&M Bank Arena,2026-02-05T01:00:00Z,2026-02-04,,,2026-02-04,austinpeay__lipscomb,,,,,,,,,,,,
401807724,2026,2026-02-04,2026-02-05 00:30:00+00:00,2026-02-04 19:30,EST,Central Arkansas Bears,North Alabama Lions,0,0,,,,,False,Farris Center,2026-02-05T00:30:00Z,2026-02-04,,,2026-02-04,centralarkansas__northalabama,,,,,,,,,,,,
401808215,2026,2026-02-04,2026-02-05 00:00:00+00:00,2026-02-04 19:00,EST,Alabama Crimson Tide,Texas A&M Aggies,0,0,,,,,False,Coleman Coliseum,2026-02-05T00:00:00Z,2026-02-04,,,2026-02-04,alabamacrimson__texasaandm,,,,,,,,,,,,
401808216,2026,2026-02-04,2026-02-05 02:00:00+00:00,2026-02-04 21:00,EST,Kentucky Wildcats,Oklahoma Sooners,0,0,,,,,False,Rupp Arena,2026-02-05T02:00:00Z,2026-02-04,,,2026-02-04,kentucky__oklahomasooners,,,,,,,,,,,,
401808655,2026,2026-02-04,2026-02-04 23:30:00+00:00,2026-02-04 18:30,EST,App State Mountaineers,South Alabama Jaguars,0,0,,,,,False,Holmes Convocation Center,2026-02-04T23:30:00Z,2026-02-04,,,2026-02-04,appstate__southalabama,54cd3d340fca27a2ce09c109d090e652,BetOnline.ag,2026-02-04 14:11:56.415386+00:00,-205.0,177.0,-5.0,129.0,2026-02-04 23:30:00+00:00,App State Mountaineers,South Alabama Jaguars,2026-02-04,appstate__southalabama
401808656,2026,2026-02-04,2026-02-05 00:00:00+00:00,2026-02-04 19:00,EST,Coastal Carolina Chanticleers,Arkansas State Red Wolves,0,0,,,,,False,The HTC Center,2026-02-05T00:00:00Z,2026-02-04,,,2026-02-04,arkansasstateredwolves__coastalcarolinachanticleers,,,,,,,,,,,,
401808657,2026,2026-02-04,2026-02-05 00:00:00+00:00,2026-02-04 19:00,EST,Georgia Southern Eagles,Texas State Bobcats,0,0,,,,,False,Jack and Ruth Ann Hill Convocation Center,2026-02-05T00:00:00Z,2026-02-04,,,2026-02-04,georgiasouthern__texasstate,,,,,,,,,,,,
401808658,2026,2026-02-04,2026-02-05 00:00:00+00:00,2026-02-04 19:00,EST,Georgia State Panthers,Troy Trojans,0,0,,,,,False,GSU Convocation Center,2026-02-05T00:00:00Z,2026-02-04,,,2026-02-04,georgiastate__troytrojans,,,,,,,,,,,,
401808659,2026,2026-02-04,2026-02-05 00:00:00+00:00,2026-02-04 19:00,EST,James Madison Dukes,Louisiana Ragin' Cajuns,0,0,,,,,False,Atlantic Union Bank Center,2026-02-05T00:00:00Z,2026-02-04,,,2026-02-04,jamesmadison__louisiana,,,,,,,,,,,,
401808660,2026,2026-02-04,2026-02-05 00:00:00+00:00,2026-02-04 19:00,EST,Marshall Thundering Herd,Southern Miss Golden Eagles,0,0,,,,,False,Cam Henderson Center,2026-02-05T00:00:00Z,2026-02-04,,,2026-02-04,marshallthunderingherd__southernmissgolden,,,,,,,,,,,,
401808661,2026,2026-02-04,2026-02-05 00:00:00+00:00,2026-02-04 19:00,EST,Old Dominion Monarchs,UL Monroe Warhawks,0,0,,,,,False,Chartway Arena,2026-02-05T00:00:00Z,2026-02-04,,,2026-02-04,olddominion__ulmonroewarhawks,,,,,,,,,,,,
401809353,2026,2026-02-04,2026-02-05 00:00:00+00:00,2026-02-04 19:00,EST,East Tennessee State Buccaneers,Furman Paladins,0,0,,,,,False,Freedom Hall (TN),2026-02-05T00:00:00Z,2026-02-04,,,2026-02-04,easttennesseestate__furmanpaladins,,,,,,,,,,,,
401809354,2026,2026-02-04,2026-02-04 23:00:00+00:00,2026-02-04 18:00,EST,UNC Greensboro Spartans,Western Carolina Catamounts,0,0,,,,,False,First Horizon Coliseum,2026-02-04T23:00:00Z,2026-02-04,,,2026-02-04,uncgreensboro__westerncarolinacatamounts,9a1edf7a6e81e3666ff754cb378dd2b6,BetOnline.ag,2026-02-04 14:11:56.415386+00:00,104.0,-124.0,1.5,156.5,2026-02-04 23:00:00+00:00,UNC Greensboro Spartans,Western Carolina Catamounts,2026-02-04,uncgreensboro__westerncarolinacatamounts
401809355,2026,2026-02-04,2026-02-04 23:00:00+00:00,2026-02-04 18:00,EST,VMI Keydets,Wofford Terriers,0,0,,,,,False,Cameron Hall,2026-02-04T23:00:00Z,2026-02-04,,,2026-02-04,vmikeydets__wofford,cb556896b94415ccf16e514243805e34,BetOnline.ag,2026-02-04 14:11:56.415386+00:00,396.0,-520.0,9.5,151.5,2026-02-04 23:00:00+00:00,VMI Keydets,Wofford Terriers,2026-02-04,vmikeydets__wofford
401817651,2026,2026-02-04,2026-02-05 00:00:00+00:00,2026-02-04 19:00,EST,Northern Kentucky Norse,Green Bay Phoenix,0,0,,,,,False,Truist Arena,2026-02-05T00:00:00Z,2026-02-04,,,2026-02-04,greenbayphoenix__northernkentucky,,,,,,,,,,,,
401817652,2026,2026-02-04,2026-02-05 00:00:00+00:00,2026-02-04 19:00,EST,Robert Morris Colonials,Wright State Raiders,0,0,,,,,False,UPMC Events Center,2026-02-05T00:00:00Z,2026-02-04,,,2026-02-04,robertmorriscolonials__wrightstateraiders,,,,,,,,,,,,
401817653,2026,2026-02-04,2026-02-05 01:00:00+00:00,2026-02-04 20:00,EST,Milwaukee Panthers,Detroit Mercy Titans,0,0,,,,,False,UW-Milwaukee Panther Arena,2026-02-05T01:00:00Z,2026-02-04,,,2026-02-04,detroitmercy__milwaukee,,,,,,,,,,,,
401817654,2026,2026-02-04,2026-02-05 00:00:00+00:00,2026-02-04 19:00,EST,Cleveland State Vikings,Oakland Golden Grizzlies,0,0,,,,,False,Wolstein Center,2026-02-05T00:00:00Z,2026-02-04,,,2026-02-04,clevelandstate__oaklandgoldengrizzlies,,,,,,,,,,,,
401817655,2026,2026-02-04,2026-02-05 00:00:00+00:00,2026-02-04 19:00,EST,Purdue Fort Wayne Mastodons,Youngstown State Penguins,0,0,,,,,False,Memorial Coliseum (IN),2026-02-05T00:00:00Z,2026-02-04,,,2026-02-04,purduefortwaynemastodons__youngstownstate,,,,,,,,,,,,
401818408,2026,2026-02-04,2026-02-05 01:00:00+00:00,2026-02-04 20:00,EST,Kansas City Roos,South Dakota Coyotes,0,0,,,,,False,Swinney Center,2026-02-05T01:00:00Z,2026-02-04,,,2026-02-04,kansascityroos__southdakotacoyotes,,,,,,,,,,,,
401818409,2026,2026-02-04,2026-02-05 00:00:00+00:00,2026-02-04 19:00,EST,South Dakota State Jackrabbits,St. Thomas-Minnesota Tommies,0,0,,,,,False,First Bank & Trust Arena,2026-02-05T00:00:00Z,2026-02-04,,,2026-02-04,southdakotastate__stthomasminnesotatommies,,,,,,,,,,,,
401820170,2026,2026-02-04,2026-02-05 00:00:00+00:00,2026-02-04 19:00,EST,Lafayette Leopards,Navy Midshipmen,0,0,,,,,False,Kirby Sports Center,2026-02-05T00:00:00Z,2026-02-04,,,2026-02-04,lafayette__navymidshipmen,,,,,,,,,,,,
401820202,2026,2026-02-04,2026-02-05 00:00:00+00:00,2026-02-04 19:00,EST,Loyola Maryland Greyhounds,Lehigh Mountain Hawks,0,0,,,,,False,Reitz Arena,2026-02-05T00:00:00Z,2026-02-04,,,2026-02-04,lehighmountain__loyolamaryland,,,,,,,,,,,,
401820717,2026,2026-02-04,2026-02-05 01:00:00+00:00,2026-02-04 20:00,EST,California Golden Bears,Georgia Tech Yellow Jackets,0,0,,,,,False,Haas Pavilion,2026-02-05T01:00:00Z,2026-02-04,,,2026-02-04,californiagolden__georgiatechyellowjackets,,,,,,,,,,,,
