game_id,date,home_team,away_team,home_possessions,away_possessions,pace,home_efg,home_tov_rate,home_orb_rate,home_ftr,away_efg,away_tov_rate,away_orb_rate,away_ftr
401591429,,Alabama Crimson Tide,Morehead State Eagles,0.0,0.0,0.0,,,,,,,,
401600255,,Arizona Wildcats,Morgan State Bears,0.0,0.0,0.0,,,,,,,,
401594524,,Arkansas Razorbacks,Alcorn State Braves,0.0,0.0,0.0,,,,,,,,
401576147,,Duke Blue Devils,Dartmouth Big Green,0.0,0.0,0.0,,,,,,,,
401575434,,Houston Cougars,UL Monroe Warhawks,0.0,0.0,0.0,,,,,,,,
401584510,,Illinois Fighting Illini,Eastern Illinois Panthers,0.0,0.0,0.0,,,,,,,,
401575451,,Kansas Jayhawks,North Carolina Central Eagles,0.0,0.0,0.0,,,,,,,,
401588940,,Kentucky Wildcats,New Mexico State Aggies,0.0,0.0,0.0,,,,,,,,
401577598,,Marquette Golden Eagles,Northern Illinois Huskies,0.0,0.0,0.0,,,,,,,,
401588936,,Miami Hurricanes,NJIT Highlanders,0.0,0.0,0.0,,,,,,,,
401581835,,Michigan State Spartans,James Madison Dukes,0.0,0.0,0.0,,,,,,,,
401583596,,North Carolina Tar Heels,Radford Highlanders,0.0,0.0,0.0,,,,,,,,
401577640,,Purdue Boilermakers,Samford Bulldogs,0.0,0.0,0.0,,,,,,,,
401598037,,Saint Mary's Gaels,Stanislaus State Warriors,0.0,0.0,0.0,,,,,,,,
401597930,,San Diego State Aztecs,Cal State Fullerton Titans,0.0,0.0,0.0,,,,,,,,
401575517,,Tennessee Volunteers,Tennessee Tech Golden Eagles,0.0,0.0,0.0,,,,,,,,
401575509,,Texas A&M Aggies,East Texas A&M Lions,0.0,0.0,0.0,,,,,,,,
401583724,,Texas Longhorns,Incarnate Word Cardinals,0.0,0.0,0.0,,,,,,,,
401584359,,UConn Huskies,Northern Arizona Lumberjacks,0.0,0.0,0.0,,,,,,,,
401581588,,USC Trojans,Kansas State Wildcats,0.0,0.0,0.0,,,,,,,,
401584356,,Villanova Wildcats,American University Eagles,0.0,0.0,0.0,,,,,,,,
401581824,,App State Mountaineers,Oakland City Mighty Oaks,0.0,0.0,0.0,,,,,,,,
401588586,,Ball State Cardinals,Goshen Maple Leafs,0.0,0.0,0.0,,,,,,,,
401583794,,Baylor Bears,Auburn Tigers,0.0,0.0,0.0,,,,,,,,
401602689,,Boise State Broncos,Vanguard Lions,0.0,0.0,0.0,,,,,,,,
401577591,,Creighton Bluejays,Florida A&M Rattlers,0.0,0.0,0.0,,,,,,,,
401587157,,DePaul Blue Demons,Purdue Fort Wayne Mastodons,0.0,0.0,0.0,,,,,,,,
401608975,,Eastern Kentucky Colonels,WVU Tech Golden Bears,0.0,0.0,0.0,,,,,,,,
401575479,,Georgetown Hoyas,Le Moyne Dolphins,0.0,0.0,0.0,,,,,,,,
401577612,,Indiana Hoosiers,Florida Gulf Coast Eagles,0.0,0.0,0.0,,,,,,,,
401597398,,Iowa Hawkeyes,North Dakota Fighting Hawks,0.0,0.0,0.0,,,,,,,,
401597429,,Jacksonville State Gamecocks,Brescia Bearcats,0.0,0.0,0.0,,,,,,,,
401593909,,Kennesaw State Owls,Oakwood Ambassadors,0.0,0.0,0.0,,,,,,,,
401593769,,La Salle Explorers,Drexel Dragons,0.0,0.0,0.0,,,,,,,,
401590947,,Loyola Marymount Lions,Westcliff Warriors,0.0,0.0,0.0,,,,,,,,
