game_id,season,date_game,start_time,start_time_local,start_tz_abbr,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,start_time_iso,display_date,start_time_local_venue,start_tz_abbr_venue,source,status,completed,pair_key,event_id,book,market,period,commence_time,last_update,home_team_name,away_team_name,moneyline_home,moneyline_away,home_spread,home_spread_price,away_spread,away_spread_price,total,over_price,under_price,date_line,_day_diff,partial_pair,pred_total_full,pred_margin_full,pred_total_1h,pred_total_2h,pred_margin_1h,pred_margin_2h,pred_total,pred_margin,edge_total,edge_margin,edge_total_pct,edge_margin_pct,kelly_fraction_total,home_ml_prob_market,away_ml_prob_market,home_ml_prob_fair,away_ml_prob_fair,kelly_fraction_ml_home,kelly_fraction_ml_away,home_ml_ev,away_ml_ev,home_ml_b,away_ml_b
401851170,2026,2026-03-10,2026-03-10 18:00:00+00:00,2026-03-10 14:00,EDT,Stanford Cardinal,Pittsburgh Panthers,0,0,,,,,True,Spectrum Center,2026-03-10T18:00:00Z,2026-03-10,,,,STATUS_SCHEDULED,False,pittsburgh::stanfordcardinal,f07afd2db2aa178b21a28de87d5bdf14,BetMGM,h2h,full_game,2026-03-10 18:00:00+00:00,2026-03-10 14:31:38+00:00,Stanford Cardinal,Pittsburgh Panthers,-250.0,200.0,,,,,,,,2026-03-10,0,False,120.55908203125,-0.5899879773457846,70.19146,73.125824,-0.71726966,-1.4336884,120.55908203125,-0.5899879773457846,,,,,,0.7142857142857143,0.3333333333333333,0.4789414656208951,0.5210585343791049,-0.823704870326867,0.2815878015686573,-0.3294819481307468,0.5631756031373146,0.4,2.0
401851171,2026,2026-03-10,2026-03-10 20:30:00+00:00,2026-03-10 16:30,EDT,SMU Mustangs,Syracuse Orange,0,0,,,,,True,Spectrum Center,2026-03-10T20:30:00Z,2026-03-10,,,,STATUS_SCHEDULED,False,smu::syracuse,2c88a9f0d2e91344813a098601e40d7b,BetMGM,h2h,full_game,2026-03-10 20:30:08+00:00,2026-03-10 14:31:38+00:00,SMU Mustangs,Syracuse Orange,-210.0,170.0,,,,,,,,2026-03-10,0,False,151.0377197265625,-2.5463662147521973,71.94359,73.91683,-1.0065594,-3.4855316,151.0377197265625,-2.5463662147521973,,,,,,0.6774193548387096,0.3703703703703703,0.4100480845552904,0.5899519154447095,-0.8288509378785995,0.3487471598239504,-0.3946909227993331,0.5928701717007157,0.4761904761904761,1.7
401851172,2026,2026-03-10,2026-03-10 23:00:00+00:00,2026-03-10 19:00,EDT,Virginia Tech Hokies,Wake Forest Demon Deacons,0,0,,,,,True,Spectrum Center,2026-03-10T23:00:00Z,2026-03-10,,,,STATUS_SCHEDULED,False,virginiatech::wakeforestdemon,6a1f2c0a7c04b13254f54a6b70fdfab6,BetMGM,h2h,full_game,2026-03-10 23:00:04+00:00,2026-03-10 14:31:38+00:00,Virginia Tech Hokies,Wake Forest Demon Deacons,-150.0,125.0,,,,,,,,2026-03-10,0,False,151.10977172851562,9.099485397338867,72.004234,74.30968,4.1574645,2.8225412,151.10977172851562,9.099485397338867,,,,,,0.6,0.4444444444444444,0.7858226103846924,0.2141773896153076,0.4645565259617308,-0.4144806986924463,0.3097043506411538,-0.5181008733655579,0.6666666666666666,1.25
401851202,2026,2026-03-10,2026-03-10 22:00:00+00:00,2026-03-10 18:00,EDT,UMBC Retrievers,UMass Lowell River Hawks,0,0,,,,,False,Chesapeake Employers Insurance Arena,2026-03-10T22:00:00Z,2026-03-10,,,,STATUS_SCHEDULED,False,umasslowellriver::umbcretrievers,7f77b4583f93a9e97a294c82c6812b1c,BetOnline.ag,h2h,full_game,2026-03-10 22:00:00+00:00,2026-03-10 14:32:03+00:00,UMBC Retrievers,UMass Lowell River Hawks,-405.0,320.0,,,,,,,,2026-03-10,0,False,141.84912109375,11.60585880279541,69.720726,76.95974,4.540126,7.2719793,141.84912109375,11.60585880279541,,,,,,0.801980198019802,0.238095238095238,0.8399666327019886,0.1600333672980114,0.1918314951450422,-0.10245620542136,0.0473658012703807,-0.327859857348352,0.2469135802469135,3.2
401851204,2026,2026-03-10,2026-03-10 23:00:00+00:00,2026-03-10 19:00,EDT,Vermont Catamounts,NJIT Highlanders,0,0,,,,,False,Patrick Gymnasium,2026-03-10T23:00:00Z,2026-03-10,,,,STATUS_SCHEDULED,False,njit::vermontcatamounts,f0201539b25a5b95a4744385eeb43d27,BetMGM,h2h,full_game,2026-03-10 23:00:00+00:00,2026-03-10 14:31:38+00:00,Vermont Catamounts,NJIT Highlanders,-1100.0,700.0,,,,,,,,2026-03-10,0,False,144.0335823567708,7.296586844126383,70.99228,77.46027,3.3037715,4.5147414,144.0335823567708,7.296586844126383,,,,,,0.9166666666666666,0.125,0.7393069533625221,0.2606930466374779,-1.0,0.155077767585689,-0.1934833236045214,1.0855443730998235,0.0909090909090909,7.0
401851282,2026,2026-03-10,2026-03-10 16:30:00+00:00,2026-03-10 12:30,EDT,Arizona State Sun Devils,Baylor Bears,0,0,,,,,True,T-Mobile Center,2026-03-10T16:30:00Z,2026-03-10,,,,STATUS_SCHEDULED,False,arizonastate::baylor,fc4520f16b4582c48956b507f5f15886,BetMGM,h2h,full_game,2026-03-10 16:30:00+00:00,2026-03-10 14:31:38+00:00,Arizona St Sun Devils,Baylor Bears,155.0,-190.0,,,,,,,,2026-03-10,0,False,152.20152282714844,-29.535329818725582,72.38033,73.29254,-12.708631,-18.33562,152.20152282714844,-29.535329818725582,,,,,,0.392156862745098,0.6551724137931034,0.0144952515095317,0.9855047484904684,-0.6213142636456092,0.9579637706223582,-0.963037108650694,0.5041914582222937,1.55,0.5263157894736842
401851283,2026,2026-03-10,2026-03-10 19:00:00+00:00,2026-03-10 15:00,EDT,Cincinnati Bearcats,Utah Utes,0,0,,,,,True,T-Mobile Center,2026-03-10T19:00:00Z,2026-03-10,,,,STATUS_SCHEDULED,False,cincinnati::utahutes,873982815bce991e0e334990ca56e228,BetMGM,h2h,full_game,2026-03-10 19:00:33+00:00,2026-03-10 14:31:38+00:00,Cincinnati Bearcats,Utah Utes,-700.0,500.0,,,,,,,,2026-03-10,0,False,137.29354125976562,17.87628204345703,73.25815,75.24841,9.226168,7.858617,137.29354125976562,17.87628204345703,,,,,,0.875,0.1666666666666666,0.927825345928912,0.0721746540710881,0.4226027674312947,-0.1133904151146942,0.0603718239187563,-0.5669520755734712,0.1428571428571428,5.0
401851285,2026,2026-03-10,2026-03-10 23:00:00+00:00,2026-03-10 19:00,EDT,BYU Cougars,Kansas State Wildcats,0,0,,,,,True,T-Mobile Center,2026-03-10T23:00:00Z,2026-03-10,,,,STATUS_SCHEDULED,False,byu::kansasstate,2e1c94d7fbf44b7a3ecf7c32bd484b7d,BetMGM,h2h,full_game,2026-03-10 23:00:00+00:00,2026-03-10 14:31:38+00:00,BYU Cougars,Kansas St Wildcats,-600.0,425.0,,,,,,,,2026-03-10,0,False,152.86512756347656,-3.317358493804932,72.73436,74.28472,-0.9830153,-4.221575,152.86512756347656,-3.317358493804932,,,,,,0.8571428571428571,0.1904761904761904,0.3836916062507172,0.6163083937492828,-1.0,0.5260280158079376,-0.5523597927074966,2.235619067183735,0.1666666666666666,4.25
401851287,2026,2026-03-10,2026-03-11 01:30:00+00:00,2026-03-10 21:30,EDT,Colorado Buffaloes,Oklahoma State Cowboys,0,0,,,,,True,T-Mobile Center,2026-03-11T01:30:00Z,2026-03-10,,,,STATUS_SCHEDULED,False,colorado::oklahomastate,c4ac106fad9ce7192bc88332dbaa806c,BetMGM,h2h,full_game,2026-03-11 01:30:00+00:00,2026-03-10 14:31:38+00:00,Colorado Buffaloes,Oklahoma St Cowboys,-130.0,105.0,,,,,,,,2026-03-11,1,False,151.0717315673828,-3.0264368057250977,71.95713,73.90859,-1.2120562,-3.7519934,151.0717315673828,-3.0264368057250977,,,,,,0.5652173913043478,0.4878048780487805,0.3935657629801279,0.6064342370198721,-0.3947987451457058,0.2316097008483217,-0.3036913424197737,0.2431901858907378,0.7692307692307693,1.05
401851334,2026,2026-03-10,2026-03-11 01:00:00+00:00,2026-03-10 21:00,EDT,Portland State Vikings,Montana Grizzlies,0,0,,,,,True,Idaho Central Arena,2026-03-11T01:00:00Z,2026-03-10,,,,STATUS_SCHEDULED,False,montanagrizzlies::portlandstate,50fbf537b37e3e0a264af8bc02ee5e16,BetMGM,h2h,full_game,2026-03-11 01:00:59+00:00,2026-03-10 14:31:38+00:00,Portland St Vikings,Montana Grizzlies,-150.0,125.0,,,,,,,,2026-03-11,1,False,140.2554067993164,-1.6460791778564452,68.92807,72.407455,-2.612583,-2.5464675,140.2554067993164,-1.6460791778564452,,,,,,0.6,0.4444444444444444,0.4414808731000608,0.5585191268999392,-0.396297817249848,0.2053344284198905,-0.264198544833232,0.2566680355248631,0.6666666666666666,1.25
401851335,2026,2026-03-10,2026-03-11 03:30:00+00:00,2026-03-10 23:30,EDT,Eastern Washington Eagles,Idaho Vandals,0,0,,,,,True,Idaho Central Arena,2026-03-11T03:30:00Z,2026-03-10,,,,STATUS_SCHEDULED,False,easternwashington::idahovandals,55fef0afdf27d7f1b2a5f6fc75cf964c,BetMGM,h2h,full_game,2026-03-11 03:30:00+00:00,2026-03-10 14:31:38+00:00,Eastern Washington Eagles,Idaho Vandals,-102.0,-118.0,,,,,,,,2026-03-11,1,False,144.97219848632812,-6.018807888031006,69.27416,72.48473,-3.7931736,-4.3358526,144.97219848632812,-6.018807888031006,,,,,,0.504950495049505,0.5412844036697247,0.2973749277911414,0.7026250722088585,-0.4193026458618942,0.3517226574153115,-0.4110810253547983,0.2980700486570437,0.9803921568627452,0.847457627118644
