game_id,date,home_team,away_team,home_score,away_score,home_possessions,away_possessions,pace,home_efg,home_tov_rate,home_orb_rate,home_ftr,away_efg,away_tov_rate,away_orb_rate,away_ftr,home_score_1h,away_score_1h,home_score_2h,away_score_2h
401819840,,BYU Cougars,Abilene Christian Wildcats,,,0.0,0.0,0.0,,,,,,,,,,,,
401823729,,Sacred Heart Pioneers,Dartmouth Big Green,,,0.0,0.0,0.0,,,,,,,,,,,,
401829281,,South Carolina State Bulldogs,Brewton-Parker Wildcats,,,0.0,0.0,0.0,,,,,,,,,,,,
401829436,,Samford Bulldogs,Reinhardt Eagles,,,0.0,0.0,0.0,,,,,,,,,,,,
401812292,,Fairleigh Dickinson Knights,Lehman College Bridges,,,0.0,0.0,0.0,,,,,,,,,,,,
401827091,,Hampton Pirates,Grambling Tigers,,,0.0,0.0,0.0,,,,,,,,,,,,
401823263,,Cal State Northridge Matadors,La Sierra Golden Eagles,,,0.0,0.0,0.0,,,,,,,,,,,,
401822315,,Milwaukee Panthers,South Dakota State Jackrabbits,,,0.0,0.0,0.0,,,,,,,,,,,,
401820158,,Navy Midshipmen,Coppin State Eagles,,,0.0,0.0,0.0,,,,,,,,,,,,
401827501,,Towson Tigers,Notre Dame (MD) Gators,,,0.0,0.0,0.0,,,,,,,,,,,,
401822872,,Providence Friars,Seton Hall Pirates,,,0.0,0.0,0.0,,,,,,,,,,,,
401826712,,Florida State Seminoles,Mississippi Valley State Delta Devils,,,0.0,0.0,0.0,,,,,,,,,,,,
401822184,,High Point Panthers,La Salle Explorers,,,0.0,0.0,0.0,,,,,,,,,,,,
401813767,,Akron Zips,Eastern Michigan Eagles,,,0.0,0.0,0.0,,,,,,,,,,,,
401813405,,Drexel Dragons,Mount St. Mary's Mountaineers,,,0.0,0.0,0.0,,,,,,,,,,,,
401828733,,Jackson State Tigers,Norfolk State Spartans,,,0.0,0.0,0.0,,,,,,,,,,,,
401823366,,Western Kentucky Hilltoppers,Tulsa Golden Hurricane,,,0.0,0.0,0.0,,,,,,,,,,,,
401827002,,Tarleton State Texans,Florida A&M Rattlers,,,0.0,0.0,0.0,,,,,,,,,,,,
401823567,,Villanova Wildcats,Wisconsin Badgers,,,0.0,0.0,0.0,,,,,,,,,,,,
401819831,,Baylor Bears,Alcorn State Braves,,,0.0,0.0,0.0,,,,,,,,,,,,
401808954,,LSU Tigers,SE Louisiana Lions,,,0.0,0.0,0.0,,,,,,,,,,,,
401811973,,UC Irvine Anteaters,Belmont Bruins,,,0.0,0.0,0.0,,,,,,,,,,,,
401826796,,Saint Mary's Gaels,Florida Atlantic Owls,,,0.0,0.0,0.0,,,,,,,,,,,,
401824116,,UC San Diego Tritons,San Diego Toreros,,,0.0,0.0,0.0,,,,,,,,,,,,
401823440,,Loyola Marymount Lions,North Alabama Lions,,,0.0,0.0,0.0,,,,,,,,,,,,
401813765,,UCLA Bruins,Cal Poly Mustangs,,,0.0,0.0,0.0,,,,,,,,,,,,
401813282,,California Golden Bears,Morgan State Bears,,,0.0,0.0,0.0,,,,,,,,,,,,
401824132,,Seattle U Redhawks,Washington Huskies,,,0.0,0.0,0.0,,,,,,,,,,,,
