pair_key,home_team,away_team,our_start_iso,our_start_dt,sched_commence_time,sched_start_time,sched_dt,diff_minutes
arkansas::dukebluedevils,Arkansas Razorbacks,Duke Blue Devils,,2025-11-28 06:00:00+00:00,,2025-11-28 01:00:00+00:00,2025-11-28 01:00:00+00:00,300.0
byu::miamihurricanes,Miami Hurricanes,BYU Cougars,2025-11-27T22:00:00Z,2025-11-27 22:00:00+00:00,,2025-11-27 22:00:00+00:00,2025-11-27 22:00:00+00:00,0.0
charlotte49ers::illinoisstate,Illinois State Redbirds,Charlotte 49ers,2025-11-27T18:30:00Z,2025-11-27 18:30:00+00:00,,2025-11-27 18:30:00+00:00,2025-11-27 18:30:00+00:00,0.0
colorado::sanfrancisco,Colorado Buffaloes,San Francisco Dons,2025-11-27T19:00:00Z,2025-11-27 19:00:00+00:00,,2025-11-27 19:00:00+00:00,2025-11-27 19:00:00+00:00,0.0
coloradostate::wichitastateshockers,Colorado State Rams,Wichita State Shockers,,2025-11-28 06:00:00+00:00,,2025-11-28 01:00:00+00:00,2025-11-28 01:00:00+00:00,300.0
dayton::georgetownhoyas,Dayton Flyers,Georgetown Hoyas,2025-11-28T00:30:00Z,2025-11-28 00:30:00+00:00,,2025-11-28 00:30:00+00:00,2025-11-28 00:30:00+00:00,0.0
eastcarolina::stbonaventurebonnies,East Carolina Pirates,St. Bonaventure Bonnies,2025-11-27T17:00:00Z,2025-11-27 17:00:00+00:00,,2025-11-27 17:00:00+00:00,2025-11-27 17:00:00+00:00,0.0
floridagators::tcuhornedfrogs,Florida Gators,TCU Horned Frogs,2025-11-27T20:00:00Z,2025-11-27 20:00:00+00:00,,2025-11-27 20:00:00+00:00,2025-11-27 20:00:00+00:00,0.0
furmanpaladins::richmond,Furman Paladins,Richmond Spiders,2025-11-27T16:00:00Z,2025-11-27 16:00:00+00:00,,2025-11-27 16:00:00+00:00,2025-11-27 16:00:00+00:00,0.0
michiganstate::northcarolina,North Carolina Tar Heels,Michigan State Spartans,2025-11-27T21:30:00Z,2025-11-27 21:30:00+00:00,,2025-11-27 21:30:00+00:00,2025-11-27 21:30:00+00:00,0.0
minnesotagolden::stanfordcardinal,Minnesota Golden Gophers,Stanford Cardinal,,2025-11-28 07:30:00+00:00,,2025-11-28 02:30:00+00:00,2025-11-28 02:30:00+00:00,300.0
nevadawolfpack::washington,Washington Huskies,Nevada Wolf Pack,2025-11-27T21:30:00Z,2025-11-27 21:30:00+00:00,,2025-11-27 21:30:00+00:00,2025-11-27 21:30:00+00:00,0.0
northwestern::oklahomastate,Northwestern Wildcats,Oklahoma State Cowboys,,2025-11-28 08:30:00+00:00,,2025-11-28 03:30:00+00:00,2025-11-28 03:30:00+00:00,300.0
providence::wisconsinbadgers,Wisconsin Badgers,Providence Friars,2025-11-27T22:30:00Z,2025-11-27 22:30:00+00:00,,2025-11-27 22:30:00+00:00,2025-11-27 22:30:00+00:00,0.0
santaclara::stlouis,Saint Louis Billikens,Santa Clara Broncos,2025-11-28T00:00:00Z,2025-11-28 00:00:00+00:00,,2025-11-28 00:00:00+00:00,2025-11-28 00:00:00+00:00,0.0
southfloridabulls::westernkentuckyhilltoppers,Western Kentucky Hilltoppers,South Florida Bulls,2025-11-27T22:30:00Z,2025-11-27 22:30:00+00:00,,2025-11-27 22:30:00+00:00,2025-11-27 22:30:00+00:00,0.0
stmarys::virginiatech,Virginia Tech Hokies,Saint Mary's Gaels,2025-11-27T19:30:00Z,2025-11-27 19:30:00+00:00,,2025-11-27 19:30:00+00:00,2025-11-27 19:30:00+00:00,0.0
vanderbilt::vcu,Vanderbilt Commodores,VCU Rams,2025-11-27T17:00:00Z,2025-11-27 17:00:00+00:00,,2025-11-27 17:00:00+00:00,2025-11-27 17:00:00+00:00,0.0
