game_id,season,date_game,start_time,start_time_local,start_tz_abbr,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,start_time_iso,display_date,start_time_local_venue,start_tz_abbr_venue,source,pair_key,event_id,book,market,period,commence_time,last_update,home_team_name,away_team_name,moneyline_home,moneyline_away,home_spread,home_spread_price,away_spread,away_spread_price,total,over_price,under_price,date_line,_day_diff,partial_pair,pred_total_full,pred_margin_full,pred_total_1h,pred_total_2h,pred_margin_1h,pred_margin_2h,pred_total,pred_margin,edge_total,edge_margin,edge_total_pct,edge_margin_pct,kelly_fraction_total,home_ml_prob_market,away_ml_prob_market,home_ml_prob_fair,away_ml_prob_fair,kelly_fraction_ml_home,kelly_fraction_ml_away,home_ml_ev,away_ml_ev,home_ml_b,away_ml_b
401808643,2026,2026-01-29,2026-01-30 01:00:00+00:00,2026-01-29 20:00,EST,Southern Miss Golden Eagles,App State Mountaineers,0,0,,,,,False,Reed Green Coliseum,2026-01-30T01:00:00Z,2026-01-29,,,,appstate::southernmissgolden,e01f8350c605b78051d0ae1c1148127e,BetMGM,h2h,full_game,2026-01-30 01:00:00+00:00,2026-01-29 14:05:41+00:00,Southern Miss Golden Eagles,Appalachian St Mountaineers,-120.0,100.0,,,,,,,,2026-01-30,1,False,140.9898223876953,1.5715813636779783,69.31362,76.4451,-0.08096576,1.9692972,140.9898223876953,1.5715813636779783,,,,,,0.5454545454545454,0.5,0.5558933254034476,0.4441066745965524,0.0229653158875847,-0.1117866508068952,0.0191377632396539,-0.1117866508068952,0.8333333333333334,1.0
401808644,2026,2026-01-29,2026-01-30 01:00:00+00:00,2026-01-29 20:00,EST,South Alabama Jaguars,Coastal Carolina Chanticleers,0,0,,,,,False,Mitchell Center,2026-01-30T01:00:00Z,2026-01-29,,,,coastalcarolinachanticleers::southalabama,418650a9aacb4098d5c4dcac9ad6c3fa,BetMGM,h2h,full_game,2026-01-30 01:00:00+00:00,2026-01-29 14:05:41+00:00,South Alabama Jaguars,Coastal Carolina Chanticleers,-250.0,200.0,,,,,,,,2026-01-30,1,False,142.9459686279297,4.622117042541504,70.19038,76.97532,1.6868685,3.2987723,142.9459686279297,4.622117042541504,,,,,,0.7142857142857143,0.3333333333333333,0.6593283229274243,0.3406716770725757,-0.192350869754015,0.0110075156088635,-0.076940347901606,0.0220150312177271,0.4,2.0
401808645,2026,2026-01-29,2026-01-30 01:00:00+00:00,2026-01-29 20:00,EST,Louisiana Ragin' Cajuns,Georgia State Panthers,0,0,,,,,False,Cajundome,2026-01-30T01:00:00Z,2026-01-29,,,,georgiastate::louisiana,4f7c91af4690319f3f986fc4b4efe64e,BetMGM,h2h,full_game,2026-01-30 01:00:00+00:00,2026-01-29 14:05:41+00:00,Louisiana Ragin' Cajuns,Georgia St Panthers,105.0,-125.0,,,,,,,,2026-01-30,1,False,142.9852294921875,4.292823791503906,70.19511,76.967026,1.532981,3.1054962,142.9852294921875,4.292823791503906,,,,,,0.4878048780487805,0.5555555555555556,0.648684216451756,0.351315783548244,0.3140977559296188,-0.459539487016451,0.3298026437260998,-0.3676315896131608,1.05,0.8
401808646,2026,2026-01-29,2026-01-30 00:30:00+00:00,2026-01-29 19:30,EST,UL Monroe Warhawks,Georgia Southern Eagles,0,0,,,,,False,Fant-Ewing Coliseum,2026-01-30T00:30:00Z,2026-01-29,,,,georgiasouthern::ulmonroewarhawks,701538453d6102a1ef265029e3b02b9e,BetMGM,h2h,full_game,2026-01-30 00:30:00+00:00,2026-01-29 14:05:41+00:00,UL Monroe Warhawks,Georgia Southern Eagles,400.0,-550.0,,,,,,,,2026-01-30,1,False,142.11363220214844,4.922080039978027,69.8186,76.80004,1.6373976,3.5984945,142.11363220214844,4.922080039978027,,,,,,0.2,0.8461538461538461,0.6688867477879352,0.3311132522120648,0.586108434734919,-1.0,2.344433738939676,-0.6086843382948325,4.0,0.1818181818181818
401808647,2026,2026-01-29,2026-01-30 00:00:00+00:00,2026-01-29 19:00,EST,Troy Trojans,James Madison Dukes,0,0,,,,,False,Trojan Arena,2026-01-30T00:00:00Z,2026-01-29,,,,jamesmadison::troytrojans,3324a9b92bda9f3ffcf107fe86022894,BetMGM,h2h,full_game,2026-01-30 00:00:00+00:00,2026-01-29 14:05:41+00:00,Troy Trojans,James Madison Dukes,-450.0,340.0,,,,,,,,2026-01-30,1,False,145.21652221679688,-13.496883392333984,71.11814,76.8703,-5.8883886,-6.937376,145.21652221679688,-13.496883392333984,,,,,,0.8181818181818182,0.2272727272727272,0.1269581266501263,0.8730418733498736,-1.0,0.8357012478645424,-0.8448289563165122,2.841384242739444,0.2222222222222222,3.4
401809094,2026,2026-01-29,2026-01-30 03:00:00+00:00,2026-01-29 22:00,EST,UC San Diego Tritons,UC Santa Barbara Gauchos,0,0,,,,,False,LionTree Arena,2026-01-30T03:00:00Z,2026-01-29,,,,ucsandiegotritons::ucsantabarbaragauchos,0796b008475035058ad7495ed30c5aa0,BetMGM,h2h,full_game,2026-01-30 03:00:00+00:00,2026-01-29 14:05:41+00:00,UC San Diego Tritons,UC Santa Barbara Gauchos,-190.0,154.0,,,,,,,,2026-01-30,1,False,143.49945068359375,-0.2670865058898926,70.40666,76.929825,-0.38079715,0.5413084,143.49945068359375,-0.2670865058898926,,,,,,0.6551724137931034,0.3937007874015748,0.4904623532818983,0.5095376467181016,-0.4776591754824947,0.1910555991324534,-0.2513995660434183,0.2942256226639782,0.5263157894736842,1.54
401809113,2026,2026-01-29,2026-01-30 04:00:00+00:00,2026-01-29 23:00,EST,UC Irvine Anteaters,Hawai'i Rainbow Warriors,0,0,,,,,False,Bren Events Center,2026-01-30T04:00:00Z,2026-01-29,,,,hawaiirainbow::ucirvineanteaters,ff0ede384cb979aeb3e8b7f86d8258c1,BetMGM,h2h,full_game,2026-01-30 04:00:00+00:00,2026-01-29 14:05:41+00:00,UC Irvine Anteaters,Hawai'i Rainbow Warriors,-135.0,110.0,,,,,,,,2026-01-30,1,False,143.26764770507813,9.784993616739907,70.79976,77.41753,3.9463592,5.495961,143.26764770507813,9.784993616739907,,,,,,0.574468085106383,0.4761904761904761,0.8018434844009779,0.1981565155990221,0.5343321883422979,-0.530792106583685,0.3958016209942947,-0.5838713172420535,0.7407407407407407,1.1
401809159,2026,2026-01-29,2026-01-30 02:30:00+00:00,2026-01-29 21:30,EST,Cal State Bakersfield Roadrunners,Cal Poly Mustangs,0,0,,,,,False,Icardo Center,2026-01-30T02:30:00Z,2026-01-29,,,,calpoly::calstbakersfield,fde3734683b44df7ca97b32b0c1a0d63,BetMGM,h2h,full_game,2026-01-30 02:30:00+00:00,2026-01-29 14:05:41+00:00,CSU Bakersfield Roadrunners,Cal Poly Mustangs,105.0,-125.0,,,,,,,,2026-01-30,1,False,140.44012451171875,12.42995262145996,69.111595,76.683525,4.6235123,7.9641256,140.44012451171875,12.42995262145996,,,,,,0.4878048780487805,0.5555555555555556,0.8551660215798261,0.1448339784201738,0.7172288992748986,-0.9241235485546088,0.7530903442386436,-0.739298838843687,1.05,0.8
401809343,2026,2026-01-29,2026-01-29 23:00:00+00:00,2026-01-29 18:00,EST,Chattanooga Mocs,Wofford Terriers,0,0,,,,,False,McKenzie Arena,2026-01-29T23:00:00Z,2026-01-29,,,,chattanoogamocs::wofford,cd830e84d813c56211fed50607c8c4d5,BetMGM,h2h,full_game,2026-01-29 23:00:00+00:00,2026-01-29 14:05:41+00:00,Chattanooga Mocs,Wofford Terriers,-125.0,105.0,,,,,,,,2026-01-29,0,False,144.3694305419922,-0.9573674201965332,70.78232,77.0945,-0.51251674,0.015467882,144.3694305419922,-0.9573674201965332,,,,,,0.5555555555555556,0.4878048780487805,0.4658615036488994,0.5341384963511006,-0.2018116167899762,0.0904608738283392,-0.161449293431981,0.0949839175197562,0.8,1.05
401809344,2026,2026-01-29,2026-01-30 00:00:00+00:00,2026-01-29 19:00,EST,East Tennessee State Buccaneers,Western Carolina Catamounts,0,0,,,,,False,Freedom Hall (TN),2026-01-30T00:00:00Z,2026-01-29,,,,easttennesseestate::westerncarolinacatamounts,1a49f29c4508cd0e72591c92471607ce,BetMGM,h2h,full_game,2026-01-30 00:00:00+00:00,2026-01-29 14:05:41+00:00,East Tennessee St Buccaneers,Western Carolina Catamounts,-700.0,500.0,,,,,,,,2026-01-30,1,False,139.44810485839844,11.522478103637695,68.71119,76.45788,4.0696363,7.6657467,139.44810485839844,11.522478103637695,,,,,,0.875,0.1666666666666666,0.8383589617309419,0.161641038269058,-0.2931283061524646,-0.0060307540771303,-0.0418754723074949,-0.0301537703856515,0.1428571428571428,5.0
