date,game_id,event_id_orig,book,market,period,selection,line,price_orig,edge_orig,kelly_orig,fractional_orig,stake_orig,ev_orig,event_id_cal,price_cal,edge_cal,kelly_cal,fractional_cal,stake_cal,ev_cal,delta_kelly,delta_ev,delta_stake
2025-11-22,401820545,e4039c727ed3f9b6e78f7cc5b76059fd,Fanatics,spreads,full_game,home,-2.0,-110.0,0.9954300562540688,0.2488575140635172,0.5,0.9275106380789008,,e4039c727ed3f9b6e78f7cc5b76059fd,-110.0,0.9954300562540688,0.2488575140635172,0.5,0.9275106380789008,,0.0,,0.0
2025-11-22,401820545,e4039c727ed3f9b6e78f7cc5b76059fd,LowVig.ag,spreads,full_game,home,-2.0,-111.0,0.9954300562540688,0.2488575140635172,0.5,0.9275106380789008,,e4039c727ed3f9b6e78f7cc5b76059fd,-111.0,0.9954300562540688,0.2488575140635172,0.5,0.9275106380789008,,0.0,,0.0
2025-11-22,401820608,288583ab80b81db96382fddbee41396e,BetMGM,spreads,full_game,home,-2.5,-115.0,10.40032958984375,1.0,0.5,0.9275106380789008,,288583ab80b81db96382fddbee41396e,-115.0,10.40032958984375,1.0,0.5,0.9275106380789008,,0.0,,0.0
2025-11-22,401820608,288583ab80b81db96382fddbee41396e,BetOnline.ag,spreads,full_game,home,-2.5,-105.0,10.40032958984375,1.0,0.5,0.9275106380789008,,288583ab80b81db96382fddbee41396e,-105.0,10.40032958984375,1.0,0.5,0.9275106380789008,,0.0,,0.0
2025-11-22,401820608,288583ab80b81db96382fddbee41396e,BetRivers,spreads,full_game,home,-2.5,-122.0,10.40032958984375,1.0,0.5,0.9275106380789008,,288583ab80b81db96382fddbee41396e,-122.0,10.40032958984375,1.0,0.5,0.9275106380789008,,0.0,,0.0
2025-11-22,401820608,288583ab80b81db96382fddbee41396e,Bovada,spreads,full_game,home,-3.0,-110.0,9.90032958984375,1.0,0.5,0.9275106380789008,,288583ab80b81db96382fddbee41396e,-110.0,9.90032958984375,1.0,0.5,0.9275106380789008,,0.0,,0.0
2025-11-22,401820608,288583ab80b81db96382fddbee41396e,DraftKings,spreads,full_game,home,-2.5,-115.0,10.40032958984375,1.0,0.5,0.9275106380789008,,288583ab80b81db96382fddbee41396e,-115.0,10.40032958984375,1.0,0.5,0.9275106380789008,,0.0,,0.0
2025-11-22,401820608,288583ab80b81db96382fddbee41396e,FanDuel,spreads,full_game,home,-2.5,-118.0,10.40032958984375,1.0,0.5,0.9275106380789008,,288583ab80b81db96382fddbee41396e,-118.0,10.40032958984375,1.0,0.5,0.9275106380789008,,0.0,,0.0
2025-11-22,401820608,288583ab80b81db96382fddbee41396e,Fanatics,spreads,full_game,home,-3.0,-110.0,9.90032958984375,1.0,0.5,0.9275106380789008,,288583ab80b81db96382fddbee41396e,-110.0,9.90032958984375,1.0,0.5,0.9275106380789008,,0.0,,0.0
2025-11-22,401820608,288583ab80b81db96382fddbee41396e,LowVig.ag,spreads,full_game,home,-2.5,-101.0,10.40032958984375,1.0,0.5,0.9275106380789008,,288583ab80b81db96382fddbee41396e,-101.0,10.40032958984375,1.0,0.5,0.9275106380789008,,0.0,,0.0
2025-11-22,401820608,288583ab80b81db96382fddbee41396e,LowVig.ag,totals,full_game,over,126.0,-108.0,13.690155029296877,0.4563385009765625,0.5,0.9275106380789008,,288583ab80b81db96382fddbee41396e,-108.0,13.690155029296877,0.4563385009765625,0.5,0.9275106380789008,,0.0,,0.0
2025-11-22,401822312,d721be561df338554f5018b56ccf5fc1,BetMGM,spreads,full_game,home,-10.5,-110.0,7.581000518798827,0.361000024704706,0.5,0.9275106380789008,,d721be561df338554f5018b56ccf5fc1,-110.0,7.581000518798827,0.361000024704706,0.5,0.9275106380789008,,0.0,,0.0
2025-11-22,401822312,d721be561df338554f5018b56ccf5fc1,BetOnline.ag,spreads,full_game,home,-10.5,-110.0,7.581000518798827,0.361000024704706,0.5,0.9275106380789008,,d721be561df338554f5018b56ccf5fc1,-110.0,7.581000518798827,0.361000024704706,0.5,0.9275106380789008,,0.0,,0.0
2025-11-22,401822312,d721be561df338554f5018b56ccf5fc1,BetRivers,spreads,full_game,home,-11.0,-109.0,7.081000518798827,0.3218636599454012,0.5,0.9275106380789008,,d721be561df338554f5018b56ccf5fc1,-109.0,7.081000518798827,0.3218636599454012,0.5,0.9275106380789008,,0.0,,0.0
