date,game_id,home_team,away_team,start_time_local,start_time_iso,start_tz_abbr,abs_margin_proxy,abs_margin_proxy_source,segment_probs_source,segment_probs_half1_len_passed,segment_probs_half2_len_passed,segment_probs_half1_hash_passed,segment_probs_half2_hash_passed,segment,half,start_min,end_min,mu_home_pts_seg,mu_away_pts_seg,mu_total_pts_seg,mu_margin_pts_seg,q10_home_pts_seg,q50_home_pts_seg,q90_home_pts_seg,q10_away_pts_seg,q50_away_pts_seg,q90_away_pts_seg,q10_total_pts_seg,q50_total_pts_seg,q90_total_pts_seg,q10_margin_pts_seg,q50_margin_pts_seg,q90_margin_pts_seg,mu_home_score_end,mu_away_score_end,mu_total_score_end,mu_margin_score_end,q10_home_score_end,q50_home_score_end,q90_home_score_end,q10_away_score_end,q50_away_score_end,q90_away_score_end,q10_total_score_end,q50_total_score_end,q90_total_score_end,q10_margin_score_end,q50_margin_score_end,q90_margin_score_end
2026-03-01,401812088,UNC Wilmington Seahawks,Charleston Cougars,2026-03-01 19:00,2026-03-02T00:00:00Z,EST,5.25,spread,team,10,10,ad89f2917c92,4874ab5fd8b3,1,1,0,2,2.9735,3.05825,6.03175,-0.08475,1.0,3.0,5.0,1.0,3.0,5.0,3.0,6.0,9.0,-3.0,0.0,3.0,2.9735,3.05825,6.241876454772274,-0.08475,1.0,3.0,5.0,1.0,3.0,5.0,3.210126454772273,6.210126454772274,9.210126454772274,-3.0,0.0,3.0
2026-03-01,401812088,UNC Wilmington Seahawks,Charleston Cougars,2026-03-01 19:00,2026-03-02T00:00:00Z,EST,5.25,spread,team,10,10,ad89f2917c92,4874ab5fd8b3,2,1,2,4,3.802,3.8325,7.6345,-0.0305,1.0,4.0,6.0,1.0,4.0,6.0,4.0,7.0,11.0,-3.0,0.0,3.0,6.7755,6.89075,14.086502909544548,-0.11525,4.0,7.0,10.0,4.0,7.0,10.0,9.420252909544548,13.420252909544548,19.420252909544548,-5.0,0.0,5.0
2026-03-01,401812088,UNC Wilmington Seahawks,Charleston Cougars,2026-03-01 19:00,2026-03-02T00:00:00Z,EST,5.25,spread,team,10,10,ad89f2917c92,4874ab5fd8b3,3,1,4,6,3.95725,3.98975,7.947,-0.0325,2.0,4.0,7.0,2.0,4.0,7.0,4.0,8.0,12.0,-3.0,0.0,3.0,10.73275,10.8805,22.24362936431682,-0.14775,6.0,11.0,15.0,7.0,11.0,15.0,15.63037936431682,21.63037936431682,28.63037936431682,-6.0,0.0,5.0
2026-03-01,401812088,UNC Wilmington Seahawks,Charleston Cougars,2026-03-01 19:00,2026-03-02T00:00:00Z,EST,5.25,spread,team,10,10,ad89f2917c92,4874ab5fd8b3,4,1,6,8,2.9415,2.99425,5.93575,-0.05275,1.0,3.0,5.0,1.0,3.0,5.0,3.0,6.0,9.0,-3.0,0.0,3.0,13.67425,13.87475,28.38950581908909,-0.2005,9.0,13.0,19.0,9.0,14.0,19.0,20.840505819089092,27.840505819089092,35.840505819089095,-7.0,0.0,6.0
2026-03-01,401812088,UNC Wilmington Seahawks,Charleston Cougars,2026-03-01 19:00,2026-03-02T00:00:00Z,EST,5.25,spread,team,10,10,ad89f2917c92,4874ab5fd8b3,5,1,8,10,3.745,3.8485,7.5935,-0.1035,1.0,4.0,6.0,1.0,4.0,6.0,4.0,7.0,11.0,-4.0,0.0,3.0,17.41925,17.72325,34.335555565604984,-0.304,12.0,17.0,23.0,12.0,18.0,23.0,26.193055565604997,34.193055565604986,43.193055565604986,-7.0,0.0,7.0
2026-03-01,401812088,UNC Wilmington Seahawks,Charleston Cougars,2026-03-01 19:00,2026-03-02T00:00:00Z,EST,5.25,spread,team,10,10,ad89f2917c92,4874ab5fd8b3,6,1,10,12,3.41,3.48825,6.89825,-0.07825,1.0,3.0,6.0,1.0,3.0,6.0,4.0,7.0,10.0,-3.0,0.0,3.0,20.82925,21.2115,43.30150872863364,-0.38225,15.0,21.0,27.0,15.0,21.0,27.0,33.26075872863364,43.26075872863364,53.26075872863364,-8.0,-1.0,7.0
2026-03-01,401812088,UNC Wilmington Seahawks,Charleston Cougars,2026-03-01 19:00,2026-03-02T00:00:00Z,EST,5.25,spread,team,10,10,ad89f2917c92,4874ab5fd8b3,7,1,12,14,3.3755,3.45325,6.82875,-0.07775,1.0,3.0,6.0,1.0,3.0,6.0,4.0,7.0,10.0,-3.0,0.0,3.0,24.20475,24.66475,50.34038518340592,-0.46,18.0,24.0,31.0,18.0,25.0,31.0,39.47088518340591,50.47088518340591,61.47088518340591,-8.0,0.0,7.0
2026-03-01,401812088,UNC Wilmington Seahawks,Charleston Cougars,2026-03-01 19:00,2026-03-02T00:00:00Z,EST,5.25,spread,team,10,10,ad89f2917c92,4874ab5fd8b3,8,1,14,16,3.52775,3.643,7.17075,-0.11525,1.0,3.0,6.0,1.0,3.0,6.0,4.0,7.0,11.0,-3.0,0.0,3.0,27.7325,28.30775,57.72126163817819,-0.57525,21.0,27.0,35.0,21.0,28.0,36.0,45.68101163817819,57.68101163817819,69.68101163817819,-9.0,-1.0,8.0
2026-03-01,401812088,UNC Wilmington Seahawks,Charleston Cougars,2026-03-01 19:00,2026-03-02T00:00:00Z,EST,5.25,spread,team,10,10,ad89f2917c92,4874ab5fd8b3,9,1,16,18,3.441,3.49475,6.93575,-0.05375,1.0,3.0,6.0,1.0,3.0,6.0,4.0,7.0,11.0,-3.0,0.0,3.0,31.1735,31.8025,64.86713809295046,-0.629,24.0,31.0,39.0,24.0,32.0,40.0,51.89113809295046,64.89113809295046,77.89113809295046,-9.0,-1.0,8.0
2026-03-01,401812088,UNC Wilmington Seahawks,Charleston Cougars,2026-03-01 19:00,2026-03-02T00:00:00Z,EST,5.25,spread,team,10,10,ad89f2917c92,4874ab5fd8b3,10,1,18,20,3.6355,3.6625,7.298,-0.027,1.0,3.0,6.0,1.0,3.0,6.0,4.0,7.0,11.0,-4.0,0.0,3.0,34.809,35.465,70.274,-0.656,27.0,35.0,43.0,27.0,35.0,44.0,57.0,70.0,84.0,-9.0,-1.0,8.0
