bin,p_mean,y_rate,count,abs_gap,method
"(-0.0009, 0.266]",0.1362013483178778,0.275,80,0.13879865168212221,p_home_cover_dist
"(0.266, 0.484]",0.37388966387617517,0.3375,80,0.03638966387617515,p_home_cover_dist
"(0.484, 0.66]",0.5659089274603365,0.5625,80,0.003408927460336497,p_home_cover_dist
"(0.66, 0.795]",0.7380350579051604,0.725,80,0.013035057905160463,p_home_cover_dist
"(0.795, 0.883]",0.8386531103497041,0.875,80,0.036346889650295866,p_home_cover_dist
"(0.883, 0.953]",0.9178224469443192,0.8987341772151899,79,0.01908826972912936,p_home_cover_dist
"(0.953, 0.99]",0.9716320840297925,0.9375,80,0.03413208402979251,p_home_cover_dist
"(0.99, 0.999]",0.9962781903573303,0.9625,80,0.03377819035733032,p_home_cover_dist
"(0.999, 1.0]",0.999846548213273,1.0,160,0.000153451786726988,p_home_cover_dist
