pair_key,home_team,away_team,our_start_iso,our_start_dt,sched_commence_time,sched_start_time,sched_dt,diff_minutes
abilenechristian::byu,BYU Cougars,Abilene Christian Wildcats,2025-12-20T02:30:00Z,2025-12-20 02:30:00+00:00,,2025-12-20 02:30:00+00:00,2025-12-20 02:30:00+00:00,0.0
akron::easternmichigan,Akron Zips,Eastern Michigan Eagles,2025-12-20T00:00:00Z,2025-12-20 00:00:00+00:00,,2025-12-20 00:00:00+00:00,2025-12-20 00:00:00+00:00,0.0
alcornstate::baylor,Baylor Bears,Alcorn State Braves,2025-12-20T01:00:00Z,2025-12-20 01:00:00+00:00,,2025-12-20 01:00:00+00:00,2025-12-20 01:00:00+00:00,0.0
belmont::ucirvineanteaters,UC Irvine Anteaters,Belmont Bruins,2025-12-20T02:00:00Z,2025-12-20 02:00:00+00:00,,2025-12-20 02:00:00+00:00,2025-12-20 02:00:00+00:00,0.0
brewtonparker::southcarolinastate,South Carolina State Bulldogs,Brewton-Parker Wildcats,2025-12-19T17:00:00Z,2025-12-19 17:00:00+00:00,,2025-12-19 17:00:00+00:00,2025-12-19 17:00:00+00:00,0.0
californiagolden::morganstate,California Golden Bears,Morgan State Bears,2025-12-20T03:00:00Z,2025-12-20 03:00:00+00:00,,2025-12-20 03:00:00+00:00,2025-12-20 03:00:00+00:00,0.0
calpoly::ucla,UCLA Bruins,Cal Poly Mustangs,2025-12-20T03:00:00Z,2025-12-20 03:00:00+00:00,,2025-12-20 03:00:00+00:00,2025-12-20 03:00:00+00:00,0.0
calstatenorthridge::lasierragolden,Cal State Northridge Matadors,La Sierra Golden Eagles,2025-12-19T22:00:00Z,2025-12-19 22:00:00+00:00,,2025-12-19 22:00:00+00:00,2025-12-19 22:00:00+00:00,0.0
coppinstate::navymidshipmen,Navy Midshipmen,Coppin State Eagles,2025-12-19T22:00:00Z,2025-12-19 22:00:00+00:00,,2025-12-19 22:00:00+00:00,2025-12-19 22:00:00+00:00,0.0
dartmouthbiggreen::sacredheart,Sacred Heart Pioneers,Dartmouth Big Green,2025-12-19T16:00:00Z,2025-12-19 16:00:00+00:00,,2025-12-19 16:00:00+00:00,2025-12-19 16:00:00+00:00,0.0
drexel::mountstatemarys,Drexel Dragons,Mount St. Mary's Mountaineers,2025-12-20T00:00:00Z,2025-12-20 00:00:00+00:00,,2025-12-20 00:00:00+00:00,2025-12-20 00:00:00+00:00,0.0
fairleighdickinson::lehmancollegebridges,Fairleigh Dickinson Knights,Lehman College Bridges,2025-12-19T20:00:00Z,2025-12-19 20:00:00+00:00,,2025-12-19 20:00:00+00:00,2025-12-19 20:00:00+00:00,0.0
floridaaandmrattlers::tarletonstate,Tarleton State Texans,Florida A&M Rattlers,2025-12-20T01:00:00Z,2025-12-20 01:00:00+00:00,,2025-12-20 01:00:00+00:00,2025-12-20 01:00:00+00:00,0.0
