game_id,season,date,start_time,start_time_local,start_tz_abbr,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,status,completed,neutral_site,venue,start_time_iso,display_date,start_time_local_venue,start_tz_abbr_venue,game_date,game_key,game_id_odds,book,fetched_at,moneyline_home,moneyline_away,spread,total,commence_time,home_team_name,away_team_name,odds_date,odds_key
401813307,2026,2026-02-20,2026-02-21 00:00:00+00:00,2026-02-20 19:00,EST,Manhattan Jaspers,Marist Red Foxes,0,0,,,,,STATUS_SCHEDULED,False,False,Draddy Gymnasium,2026-02-21T00:00:00Z,2026-02-20,,,2026-02-20,manhattan__maristredfoxes,,,,,,,,,,,,
401813369,2026,2026-02-20,2026-02-21 00:00:00+00:00,2026-02-20 19:00,EST,Rider Broncs,Canisius Golden Griffins,0,0,,,,,STATUS_SCHEDULED,False,False,Alumni Gymnasium (Rider),2026-02-21T00:00:00Z,2026-02-20,,,2026-02-20,canisiusgolden__rider,,,,,,,,,,,,
401813393,2026,2026-02-20,2026-02-21 00:00:00+00:00,2026-02-20 19:00,EST,Mount St. Mary's Mountaineers,Niagara Purple Eagles,0,0,,,,,STATUS_SCHEDULED,False,False,Knott Arena,2026-02-21T00:00:00Z,2026-02-20,2026-02-20 19:00,EST,2026-02-20,mountstmarys__niagarapurple,,,,,,,,,,,,
401813430,2026,2026-02-20,2026-02-21 01:00:00+00:00,2026-02-20 20:00,EST,Merrimack Warriors,Siena Saints,0,0,,,,,STATUS_SCHEDULED,False,False,Lawler Arena,2026-02-21T01:00:00Z,2026-02-20,,,2026-02-20,merrimack__sienasaints,,,,,,,,,,,,
401814574,2026,2026-02-20,2026-02-20 23:30:00+00:00,2026-02-20 18:30,EST,Ball State Cardinals,Akron Zips,0,0,,,,,STATUS_SCHEDULED,False,False,Worthen Arena,2026-02-20T23:30:00Z,2026-02-20,,,2026-02-20,akron__ballstate,76433b1e442d6b37bdfbd5690444fbe8,FanDuel,2026-02-20 14:37:48.895810+00:00,890.0,-1700.0,14.5,146.5,2026-02-20 23:30:00+00:00,Ball State Cardinals,Akron Zips,2026-02-20,akron__ballstate
401814575,2026,2026-02-20,2026-02-21 01:30:00+00:00,2026-02-20 20:30,EST,Miami (OH) RedHawks,Bowling Green Falcons,0,0,,,,,STATUS_SCHEDULED,False,False,Millett Hall,2026-02-21T01:30:00Z,2026-02-20,,,2026-02-20,bowlinggreen__miamioh,,,,,,,,,,,,
401817674,2026,2026-02-20,2026-02-21 00:00:00+00:00,2026-02-20 19:00,EST,Oakland Golden Grizzlies,Green Bay Phoenix,0,0,,,,,STATUS_SCHEDULED,False,False,OU Credit Union O'rena,2026-02-21T00:00:00Z,2026-02-20,,,2026-02-20,greenbayphoenix__oaklandgoldengrizzlies,,,,,,,,,,,,
401817675,2026,2026-02-20,2026-02-21 00:00:00+00:00,2026-02-20 19:00,EST,Detroit Mercy Titans,Milwaukee Panthers,0,0,,,,,STATUS_SCHEDULED,False,False,Calihan Hall,2026-02-21T00:00:00Z,2026-02-20,,,2026-02-20,detroitmercy__milwaukee,,,,,,,,,,,,
401818563,2026,2026-02-20,2026-02-21 00:00:00+00:00,2026-02-20 19:00,EST,Brown Bears,Princeton Tigers,0,0,,,,,STATUS_SCHEDULED,False,False,Pizzitola Sports Center,2026-02-21T00:00:00Z,2026-02-20,,,2026-02-20,brown__princeton,,,,,,,,,,,,
401823320,2026,2026-02-20,2026-02-21 00:00:00+00:00,2026-02-20 19:00,EST,Fairfield Stags,Sacred Heart Pioneers,0,0,,,,,STATUS_SCHEDULED,False,False,Leo D. Mahoney Arena,2026-02-21T00:00:00Z,2026-02-20,,,2026-02-20,fairfield__sacredheart,,,,,,,,,,,,
401823851,2026,2026-02-20,2026-02-21 00:00:00+00:00,2026-02-20 19:00,EST,Iona Gaels,Saint Peter's Peacocks,0,0,,,,,STATUS_SCHEDULED,False,False,Hynes Athletics Center,2026-02-21T00:00:00Z,2026-02-20,,,2026-02-20,iona__saintpeters,,,,,,,,,,,,
401825528,2026,2026-02-20,2026-02-21 01:00:00+00:00,2026-02-20 20:00,EST,Purdue Boilermakers,Indiana Hoosiers,0,0,,,,,STATUS_SCHEDULED,False,False,Mackey Arena,2026-02-21T01:00:00Z,2026-02-20,,,2026-02-20,indiana__purdueboilermakers,,,,,,,,,,,,
401828437,2026,2026-02-20,2026-02-21 00:00:00+00:00,2026-02-20 19:00,EST,Saint Louis Billikens,VCU Rams,0,0,,,,,STATUS_SCHEDULED,False,False,Chaifetz Arena,2026-02-21T00:00:00Z,2026-02-20,,,2026-02-20,stlouis__vcu,,,,,,,,,,,,
