game_id,total,spread,home_ml_prob
401806345,,,
401806345,,,
401806345,135.5,,
401806345,,,
401806345,,,
401806345,135.5,,
401806345,,,
401806345,,,
401806345,,,
401806345,,,
401806345,135.0,,
401806345,,,
401806345,,,
401806345,135.0,,
401806345,,,
401806345,,,
401806345,135.5,,
401806345,,,
401806345,,,
401806345,135.5,,
401806345,,,
401806345,,,
401806345,135.5,,
401806345,,,
401806345,,,
401806345,135.5,,
401806346,,,
401806346,,,
401806346,145.5,,
401806346,,,
401806346,,,
401806346,144.5,,
401806346,,,
401806346,,,
401806346,,,
401806346,,,
401806346,145.0,,
401806346,,,
401806346,,,
401806346,146.0,,
401806346,,,
401806346,,,
401806346,145.5,,
401806346,,,
401806346,,,
401806346,145.5,,
401806346,,,
401806346,,,
401806346,145.0,,
401806346,,,
401806346,,,
401806346,144.5,,
401806350,,,
401806350,,,
401806350,146.5,,
401806350,,,
401806350,,,
401806350,146.0,,
401806350,,,
401806350,,,
401806350,,,
401806350,,,
401806350,145.5,,
401806350,,,
401806350,147.5,,
401806350,,,
401806350,,,
401806350,146.0,,
401806350,,,
401806350,,,
401806350,146.5,,
401806350,,,
401806350,,,
401806350,146.5,,
401806350,,,
401806350,,,
401806350,146.0,,
401806350,,,
401806350,,,
401806350,146.0,,
401808575,,,
401808575,,,
401808575,153.5,,
401808575,,,
401808575,,,
401808575,153.0,,
401808575,,,
401808575,,,
401808575,153.5,,
401808575,,,
401808575,,,
401808575,153.0,,
401808575,,,
401808575,150.0,,
401808575,,,
401808575,,,
401808575,153.5,,
401808575,,,
401808575,,,
401808575,153.5,,
401808575,,,
401808575,,,
401808575,152.5,,
401808575,,,
401808575,,,
401808575,153.0,,
401808575,,,
401808575,,,
401808575,153.0,,
401808577,,,
401808577,,,
401808577,146.5,,
401808577,,,
401808577,,,
401808577,146.5,,
401808577,,,
401808577,,,
401808577,146.5,,
401808577,,,
401808577,,,
401808577,146.5,,
401808577,,,
401808577,148.5,,
401808577,,,
401808577,,,
401808577,147.5,,
401808577,,,
401808577,,,
401808577,146.5,,
401808577,,,
401808577,,,
401808577,146.5,,
401808577,,,
401808577,,,
401808577,147.0,,
401808577,,,
401808577,,,
401808577,146.5,,
401808578,,,
401808578,,,
401808578,147.5,,
401808578,,,
401808578,,,
401808578,147.0,,
401808578,,,
401808578,,,
401808578,146.5,,
401808578,,,
401808578,,,
401808578,147.0,,
401808578,,,
401808578,148.5,,
401808578,,,
401808578,,,
401808578,147.0,,
401808578,,,
401808578,,,
401808578,147.5,,
401808578,,,
401808578,,,
401808578,146.5,,
401808578,,,
401808578,,,
401808578,147.0,,
401808578,,,
401808578,,,
401808578,147.0,,
401808580,,,
401808580,,,
401808580,130.5,,
401808580,,,
401808580,,,
401808580,130.5,,
401808580,,,
401808580,,,
401808580,,,
401808580,,,
401808580,131.0,,
401808580,,,
401808580,,,
401808580,131.5,,
401808580,,,
401808580,,,
401808580,130.5,,
401808580,,,
401808580,,,
401808580,130.5,,
401808580,,,
401808580,,,
401808580,131.5,,
401808580,,,
401808580,,,
401808580,130.5,,
401808582,,,
401808582,,,
401808582,154.5,,
401808582,,,
401808582,,,
401808582,155.0,,
401808582,,,
401808582,,,
401808582,,,
401808582,,,
401808582,155.0,,
401808582,,,
401808582,,,
401808582,155.0,,
401808582,,,
401808582,,,
401808582,155.0,,
401808582,,,
401808582,,,
401808582,155.5,,
401808582,,,
401808582,,,
401808582,155.5,,
401808582,,,
401808582,,,
401808582,155.0,,
401808582,,,
401808582,,,
401808582,155.0,,
401808584,,,
401808584,,,
401808584,156.5,,
401808584,,,
401808584,,,
401808584,156.0,,
401808584,,,
401808584,,,
401808584,,,
401808584,,,
401808584,156.5,,
401808584,,,
401808584,156.5,,
401808584,,,
401808584,,,
401808584,156.0,,
401808584,,,
401808584,,,
