game_id,home_team,away_team,date,start_time,reason,has_model_total,has_model_margin,has_cal_total,has_cal_margin,basis_total,basis_margin
401823729,Sacred Heart Pioneers,Dartmouth Big Green,2025-12-19,2025-12-19 16:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401829281,South Carolina State Bulldogs,Brewton-Parker Wildcats,2025-12-19,2025-12-19 17:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401829436,Samford Bulldogs,Reinhardt Eagles,2025-12-19,2025-12-19 18:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401812292,Fairleigh Dickinson Knights,Lehman College Bridges,2025-12-19,2025-12-19 20:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401827091,Hampton Pirates,Grambling Tigers,2025-12-19,2025-12-19 22:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401823263,Cal State Northridge Matadors,La Sierra Golden Eagles,2025-12-19,2025-12-19 22:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401822315,Milwaukee Panthers,South Dakota State Jackrabbits,2025-12-19,2025-12-19 22:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401820158,Navy Midshipmen,Coppin State Eagles,2025-12-19,2025-12-19 22:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401827501,Towson Tigers,Notre Dame (MD) Gators,2025-12-19,2025-12-19 23:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401822872,Providence Friars,Seton Hall Pirates,2025-12-19,2025-12-19 23:30:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401826712,Florida State Seminoles,Mississippi Valley State Delta Devils,2025-12-19,2025-12-20 00:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401822184,High Point Panthers,La Salle Explorers,2025-12-19,2025-12-20 00:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401813767,Akron Zips,Eastern Michigan Eagles,2025-12-19,2025-12-20 00:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401813405,Drexel Dragons,Mount St. Mary's Mountaineers,2025-12-19,2025-12-20 00:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401828733,Jackson State Tigers,Norfolk State Spartans,2025-12-19,2025-12-20 00:30:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401823366,Western Kentucky Hilltoppers,Tulsa Golden Hurricane,2025-12-19,2025-12-20 00:30:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401827002,Tarleton State Texans,Florida A&M Rattlers,2025-12-19,2025-12-20 01:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401823567,Villanova Wildcats,Wisconsin Badgers,2025-12-19,2025-12-20 01:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401819831,Baylor Bears,Alcorn State Braves,2025-12-19,2025-12-20 01:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401808954,LSU Tigers,SE Louisiana Lions,2025-12-19,2025-12-20 01:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401811973,UC Irvine Anteaters,Belmont Bruins,2025-12-19,2025-12-20 02:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401819840,BYU Cougars,Abilene Christian Wildcats,2025-12-19,2025-12-20 02:30:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401826796,Saint Mary's Gaels,Florida Atlantic Owls,2025-12-19,2025-12-20 03:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401824116,UC San Diego Tritons,San Diego Toreros,2025-12-19,2025-12-20 03:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401823440,Loyola Marymount Lions,North Alabama Lions,2025-12-19,2025-12-20 03:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401813765,UCLA Bruins,Cal Poly Mustangs,2025-12-19,2025-12-20 03:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401813282,California Golden Bears,Morgan State Bears,2025-12-19,2025-12-20 03:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401824132,Seattle U Redhawks,Washington Huskies,2025-12-19,2025-12-20 04:30:00+00:00,ok_calibrated,True,True,True,True,cal,cal
