game_id,date,pair_key
401826732,2025-11-09,northcarolinacentraleagles::appstatemountaineers
401822758,2025-11-09,coppinstateeagles::jamesmadisondukes
401812574,2025-11-09,pennsylvaniaquakers::americanuniversityeagles
401828576,2025-11-09,moreheadstateeagles::georgiabulldogs
401823393,2025-11-09,dominican(il)dominican::purduefortwaynemastodons
401823256,2025-11-09,calstatenorthridgematadors::northdakotafightinghawks
401820542,2025-11-09,southdakotastatejackrabbits::northerniowapanthers
401813287,2025-11-09,texasa&maggies::oklahomastatecowboys
401813254,2025-11-09,cornellbigred::illinoisstateredbirds
401811103,2025-11-09,ozarkchristianambassadors::southdakotacoyotes
401826896,2025-11-09,lyonscots::louisianatechbulldogs
401825577,2025-11-09,denverpioneers::montanastatebobcats
401819814,2025-11-09,utahtechtrailblazers::arizonastatesundevils
401828912,2025-11-09,oaklandcitymightyoaks::evansvillepurpleaces
401828276,2025-11-09,northtexasmeangreen::loyolachicagoramblers
401823555,2025-11-09,idahostatebengals::sandiegostateaztecs
401827088,2025-11-09,gramblingtigers::howardbison
401823808,2025-11-09,omahamavericks::coloradostaterams
401829390,2025-11-09,kentuckychristianknights::utmartinskyhawks
