pair_key,home_team,away_team,our_start_iso,our_start_dt,sched_commence_time,sched_start_time,sched_dt,diff_minutes
appstate::highpoint,App State Mountaineers,High Point Panthers,2025-12-14T19:00:00Z,2025-12-14 19:00:00+00:00,,2025-12-14 19:00:00+00:00,2025-12-14 19:00:00+00:00,0.0
ballstate::campbellfighting,Campbell Fighting Camels,Ball State Cardinals,2025-12-14T19:00:00Z,2025-12-14 19:00:00+00:00,,2025-12-14 19:00:00+00:00,2025-12-14 19:00:00+00:00,0.0
bethunecookman::missouri,Missouri Tigers,Bethune-Cookman Wildcats,2025-12-14T19:00:00Z,2025-12-14 19:00:00+00:00,,2025-12-14 19:00:00+00:00,2025-12-14 19:00:00+00:00,0.0
boisestate::stmarys,Boise State Broncos,Saint Mary's Gaels,2025-12-14T23:00:00Z,2025-12-14 23:00:00+00:00,,2025-12-14 23:00:00+00:00,2025-12-14 23:00:00+00:00,0.0
bradley::northcentralcollege,Bradley Braves,North Central College Cardinals,2025-12-14T19:00:00Z,2025-12-14 19:00:00+00:00,,2025-12-14 19:00:00+00:00,2025-12-14 19:00:00+00:00,0.0
buffalobulls::eastcarolina,East Carolina Pirates,Buffalo Bulls,2025-12-14T18:00:00Z,2025-12-14 18:00:00+00:00,,2025-12-14 18:00:00+00:00,2025-12-14 18:00:00+00:00,0.0
championchristian::utmartinskyhawks,UT Martin Skyhawks,Champion Christian Tigers,2025-12-14T22:30:00Z,2025-12-14 22:30:00+00:00,,2025-12-14 22:30:00+00:00,2025-12-14 22:30:00+00:00,0.0
charleston::charlotte49ers,Charleston Cougars,Charlotte 49ers,2025-12-14T21:00:00Z,2025-12-14 21:00:00+00:00,,2025-12-14 21:00:00+00:00,2025-12-14 21:00:00+00:00,0.0
chicagostate::loyolachicago,Loyola Chicago Ramblers,Chicago State Cougars,2025-12-14T22:00:00Z,2025-12-14 22:00:00+00:00,,2025-12-14 22:00:00+00:00,2025-12-14 22:00:00+00:00,0.0
clevelandstate::oaklandcitymightyoaks,Cleveland State Vikings,Oakland City Mighty Oaks,2025-12-14T19:00:00Z,2025-12-14 19:00:00+00:00,,2025-12-14 19:00:00+00:00,2025-12-14 19:00:00+00:00,0.0
coloradostate::northernnewmexico,Colorado State Rams,Northern New Mexico Eagles,2025-12-14T20:00:00Z,2025-12-14 20:00:00+00:00,,2025-12-14 20:00:00+00:00,2025-12-14 20:00:00+00:00,0.0
coppinstate::radford,Radford Highlanders,Coppin State Eagles,2025-12-14T19:30:00Z,2025-12-14 19:30:00+00:00,,2025-12-14 19:30:00+00:00,2025-12-14 19:30:00+00:00,0.0
detroitmercy::purduefortwaynemastodons,Purdue Fort Wayne Mastodons,Detroit Mercy Titans,2025-12-14T22:00:00Z,2025-12-14 22:00:00+00:00,,2025-12-14 22:00:00+00:00,2025-12-14 22:00:00+00:00,0.0
easternillinois::iowastate,Iowa State Cyclones,Eastern Illinois Panthers,2025-12-14T18:00:00Z,2025-12-14 18:00:00+00:00,,2025-12-14 18:00:00+00:00,2025-12-14 18:00:00+00:00,0.0
eurekareddevils::siuedwardsville,SIU Edwardsville Cougars,Eureka Red Devils,2025-12-14T19:00:00Z,2025-12-14 19:00:00+00:00,,2025-12-14 19:00:00+00:00,2025-12-14 19:00:00+00:00,0.0
evergreenstategeoducks::idahovandals,Idaho Vandals,Evergreen State Geoducks,2025-12-14T22:00:00Z,2025-12-14 22:00:00+00:00,,2025-12-14 22:00:00+00:00,2025-12-14 22:00:00+00:00,0.0
fairfield::monmouth,Fairfield Stags,Monmouth Hawks,2025-12-14T19:00:00Z,2025-12-14 19:00:00+00:00,,2025-12-14 19:00:00+00:00,2025-12-14 19:00:00+00:00,0.0
floridagulfcoast::newmexico,New Mexico Lobos,Florida Gulf Coast Eagles,2025-12-14T21:00:00Z,2025-12-14 21:00:00+00:00,,2025-12-14 21:00:00+00:00,2025-12-14 21:00:00+00:00,0.0
indianastate::milwaukee,Milwaukee Panthers,Indiana State Sycamores,2025-12-14T19:00:00Z,2025-12-14 19:00:00+00:00,,2025-12-14 19:00:00+00:00,2025-12-14 19:00:00+00:00,0.0
iowahawkeyes::westernmichigan,Iowa Hawkeyes,Western Michigan Broncos,2025-12-14T20:00:00Z,2025-12-14 20:00:00+00:00,,2025-12-14 20:00:00+00:00,2025-12-14 20:00:00+00:00,0.0
jacksonville::texasaandm,Texas A&M Aggies,Jacksonville Dolphins,2025-12-15T00:00:00Z,2025-12-15 00:00:00+00:00,,2025-12-15 00:00:00+00:00,2025-12-15 00:00:00+00:00,0.0
