pair_key,home_team,away_team,our_start_iso,our_start_dt,sched_commence_time,sched_start_time,sched_dt,diff_minutes
gwyneddmercy::marylandeasternshore,Maryland Eastern Shore Hawks,Gwynedd-Mercy Griffins,2025-11-29T21:00:00Z,2025-11-29 21:00:00+00:00,,2025-11-29 21:00:00+00:00,2025-11-29 21:00:00+00:00,0.0
highpoint::westerncarolinacatamounts,High Point Panthers,Western Carolina Catamounts,2025-11-29T19:00:00Z,2025-11-29 19:00:00+00:00,,2025-11-29 19:00:00+00:00,2025-11-29 19:00:00+00:00,0.0
hofstrapride::merrimack,Hofstra Pride,Merrimack Warriors,2025-11-29T19:00:00Z,2025-11-29 19:00:00+00:00,,2025-11-29 19:00:00+00:00,2025-11-29 19:00:00+00:00,0.0
howard::mountstatemarys,Mount St. Mary's Mountaineers,Howard Bison,2025-11-29T21:00:00Z,2025-11-29 21:00:00+00:00,,2025-11-29 21:00:00+00:00,2025-11-29 21:00:00+00:00,0.0
iuindianapolis::moreheadstate,IU Indianapolis Jaguars,Morehead State Eagles,2025-11-29T19:00:00Z,2025-11-29 19:00:00+00:00,,2025-11-29 19:00:00+00:00,2025-11-29 19:00:00+00:00,0.0
kansascityroos::weberstate,Weber State Wildcats,Kansas City Roos,2025-11-29T21:00:00Z,2025-11-29 21:00:00+00:00,,2025-11-29 21:00:00+00:00,2025-11-29 21:00:00+00:00,0.0
kentstategoldenflashes::pennstateshenangonittany,Kent State Golden Flashes,Penn State-Shenango Nittany Lions,2025-11-30T05:00:00Z,2025-11-30 05:00:00+00:00,,2025-11-30 00:00:00+00:00,2025-11-30 00:00:00+00:00,300.0
kentuckystatethorobreds::southernindianascreaming,Southern Indiana Screaming Eagles,Kentucky State Thorobreds,2025-11-29T21:00:00Z,2025-11-29 21:00:00+00:00,,2025-11-29 21:00:00+00:00,2025-11-29 21:00:00+00:00,0.0
lamar::ourladyoflakesaints,Lamar Cardinals,Our Lady Of The Lake Saints,2025-11-30T05:00:00Z,2025-11-30 05:00:00+00:00,,2025-11-30 00:00:00+00:00,2025-11-30 00:00:00+00:00,300.0
lasalle::pennsylvania,Pennsylvania Quakers,La Salle Explorers,2025-11-29T21:30:00Z,2025-11-29 21:30:00+00:00,,2025-11-29 21:30:00+00:00,2025-11-29 21:30:00+00:00,0.0
lawrence::stthomasminnesotatommies,St. Thomas-Minnesota Tommies,Lawrence University Vikings,2025-11-30T06:00:00Z,2025-11-30 06:00:00+00:00,,2025-11-30 01:00:00+00:00,2025-11-30 01:00:00+00:00,300.0
lehighmountain::texasstate,Texas State Bobcats,Lehigh Mountain Hawks,2025-11-29T19:00:00Z,2025-11-29 19:00:00+00:00,,2025-11-29 19:00:00+00:00,2025-11-29 19:00:00+00:00,0.0
lemoyne::monmouth,Le Moyne Dolphins,Monmouth Hawks,2025-11-29T19:00:00Z,2025-11-29 19:00:00+00:00,,2025-11-29 19:00:00+00:00,2025-11-29 19:00:00+00:00,0.0
lipscomb::southeastmissouristate,Southeast Missouri State Redhawks,Lipscomb Bisons,2025-11-29T20:00:00Z,2025-11-29 20:00:00+00:00,,2025-11-29 20:00:00+00:00,2025-11-29 20:00:00+00:00,0.0
littlerocktrojans::southernillinoissalukis,Southern Illinois Salukis,Little Rock Trojans,2025-11-30T05:00:00Z,2025-11-30 05:00:00+00:00,,2025-11-30 00:00:00+00:00,2025-11-30 00:00:00+00:00,300.0
longwood::maine,Longwood Lancers,Maine Black Bears,2025-11-29T18:00:00Z,2025-11-29 18:00:00+00:00,,2025-11-29 18:00:00+00:00,2025-11-29 18:00:00+00:00,0.0
midamericachristianevangels::omaha,Omaha Mavericks,Mid-America Christian Evangels,2025-11-30T06:00:00Z,2025-11-30 06:00:00+00:00,,2025-11-30 01:00:00+00:00,2025-11-30 01:00:00+00:00,300.0
