pair_key,home_team,away_team,our_start_iso,our_start_dt,sched_commence_time,sched_start_time,sched_dt,diff_minutes
arizonastate::northernarizonalumberjacks,Arizona State Sun Devils,Northern Arizona Lumberjacks,2025-12-10T02:00:00Z,2025-12-10 02:00:00+00:00,,2025-12-10 02:00:00+00:00,2025-12-10 02:00:00+00:00,0.0
arkansasbaptist::ulmonroewarhawks,UL Monroe Warhawks,Arkansas Baptist Buffaloes,2025-12-09T18:00:00Z,2025-12-09 18:00:00+00:00,,2025-12-09 18:00:00+00:00,2025-12-09 18:00:00+00:00,0.0
ballstate::southdakotastate,Ball State Cardinals,South Dakota State Jackrabbits,2025-12-10T00:00:00Z,2025-12-10 00:00:00+00:00,,2025-12-10 00:00:00+00:00,2025-12-10 00:00:00+00:00,0.0
bobjones::furmanpaladins,Furman Paladins,Bob Jones Bruins,2025-12-09T23:30:00Z,2025-12-09 23:30:00+00:00,,2025-12-09 23:30:00+00:00,2025-12-09 23:30:00+00:00,0.0
brescia::northernkentucky,Northern Kentucky Norse,Brescia Bearcats,2025-12-10T00:00:00Z,2025-12-10 00:00:00+00:00,,2025-12-10 00:00:00+00:00,2025-12-10 00:00:00+00:00,0.0
brown::providence,Providence Friars,Brown Bears,2025-12-10T00:30:00Z,2025-12-10 00:30:00+00:00,,2025-12-10 00:30:00+00:00,2025-12-10 00:30:00+00:00,0.0
bucknell::rider,Rider Broncs,Bucknell Bison,2025-12-10T00:00:00Z,2025-12-10 00:00:00+00:00,,2025-12-10 00:00:00+00:00,2025-12-10 00:00:00+00:00,0.0
buffalobulls::umbcretrievers,UMBC Retrievers,Buffalo Bulls,2025-12-09T22:00:00Z,2025-12-09 22:00:00+00:00,,2025-12-09 22:00:00+00:00,2025-12-09 22:00:00+00:00,0.0
byu::clemson,BYU Cougars,Clemson Tigers,2025-12-09T23:30:00Z,2025-12-09 23:30:00+00:00,,2025-12-09 23:30:00+00:00,2025-12-09 23:30:00+00:00,0.0
californiagolden::dominicanca,California Golden Bears,Dominican (CA) Penguins,2025-12-10T03:00:00Z,2025-12-10 03:00:00+00:00,,2025-12-10 03:00:00+00:00,2025-12-10 03:00:00+00:00,0.0
