team_key,team_name,has_model,rows_available,trained_now
abilenechristianwildcats,Abilene Christian Wildcats,True,59,False
airforcefalcons,Air Force Falcons,True,55,False
akronzips,Akron Zips,True,68,False
alabamaambulldogs,Alabama A&M Bulldogs,True,62,False
alabamacrimsontide,Alabama Crimson Tide,True,101,False
alabamastatehornets,Alabama State Hornets,True,62,False
alcornstatebraves,Alcorn State Braves,True,60,False
americanuniversityeagles,American University Eagles,True,70,False
appstatemountaineers,App State Mountaineers,True,64,False
arizonastatesundevils,Arizona State Sun Devils,True,72,False
arizonawildcats,Arizona Wildcats,True,98,False
arkansaspinebluffgoldenlions,Arkansas-Pine Bluff Golden Lions,True,60,False
arkansasrazorbacks,Arkansas Razorbacks,True,87,False
arkansasstateredwolves,Arkansas State Red Wolves,True,71,False
armyblackknights,Army Black Knights,True,70,False
auburntigers,Auburn Tigers,True,100,False
austinpeaygovernors,Austin Peay Governors,True,61,False
ballstatecardinals,Ball State Cardinals,True,55,False
baylorbears,Baylor Bears,True,86,False
bellarmineknights,Bellarmine Knights,True,58,False
belmontbruins,Belmont Bruins,True,66,False
bethunecookmanwildcats,Bethune-Cookman Wildcats,True,56,False
binghamtonbearcats,Binghamton Bearcats,True,61,False
boisestatebroncos,Boise State Broncos,True,71,False
bostoncollegeeagles,Boston College Eagles,True,61,False
bostonuniversityterriers,Boston University Terriers,True,63,False
bowlinggreenfalcons,Bowling Green Falcons,True,64,False
bradleybraves,Bradley Braves,True,73,False
brownbears,Brown Bears,True,59,False
bryantbulldogs,Bryant Bulldogs,True,63,False
bucknellbison,Bucknell Bison,True,66,False
buffalobulls,Buffalo Bulls,True,61,False
butlerbulldogs,Butler Bulldogs,True,73,False
byucougars,BYU Cougars,True,90,False
californiabaptistlancers,California Baptist Lancers,True,58,False
californiagoldenbears,California Golden Bears,True,60,False
calpolymustangs,Cal Poly Mustangs,True,64,False
calstatebakersfieldroadrunners,Cal State Bakersfield Roadrunners,True,64,False
calstatefullertontitans,Cal State Fullerton Titans,True,64,False
calstatenorthridgematadors,Cal State Northridge Matadors,True,59,False
campbellfightingcamels,Campbell Fighting Camels,True,66,False
canisiusgoldengriffins,Canisius Golden Griffins,True,79,False
centralarkansasbears,Central Arkansas Bears,True,67,False
centralconnecticutbluedevils,Central Connecticut Blue Devils,True,62,False
centralmichiganchippewas,Central Michigan Chippewas,True,60,False
charlestoncougars,Charleston Cougars,True,70,False
charlestonsouthernbuccaneers,Charleston Southern Buccaneers,True,62,False
charlotte49ers,Charlotte 49ers,True,70,False
chattanoogamocs,Chattanooga Mocs,True,69,False
chicagostatecougars,Chicago State Cougars,True,74,False
cincinnatibearcats,Cincinnati Bearcats,True,82,False
clemsontigers,Clemson Tigers,True,73,False
clevelandstatevikings,Cleveland State Vikings,True,85,False
coastalcarolinachanticleers,Coastal Carolina Chanticleers,True,63,False
colgateraiders,Colgate Raiders,True,69,False
coloradobuffaloes,Colorado Buffaloes,True,75,False
coloradostaterams,Colorado State Rams,True,68,False
columbialions,Columbia Lions,True,54,False
coppinstateeagles,Coppin State Eagles,True,60,False
cornellbigred,Cornell Big Red,True,57,False
creightonbluejays,Creighton Bluejays,True,93,False
dartmouthbiggreen,Dartmouth Big Green,True,48,False
davidsonwildcats,Davidson Wildcats,True,57,False
daytonflyers,Dayton Flyers,True,78,False
delawarebluehens,Delaware Blue Hens,True,67,False
delawarestatehornets,Delaware State Hornets,True,60,False
denverpioneers,Denver Pioneers,True,68,False
depaulbluedemons,DePaul Blue Demons,True,66,False
detroitmercytitans,Detroit Mercy Titans,True,65,False
drakebulldogs,Drake Bulldogs,True,75,False
drexeldragons,Drexel Dragons,True,64,False
dukebluedevils,Duke Blue Devils,True,106,False
duquesnedukes,Duquesne Dukes,True,65,False
eastcarolinapirates,East Carolina Pirates,True,73,False
easternillinoispanthers,Eastern Illinois Panthers,True,65,False
easternkentuckycolonels,Eastern Kentucky Colonels,True,64,False
easternmichiganeagles,Eastern Michigan Eagles,True,59,False
easternwashingtoneagles,Eastern Washington Eagles,True,61,False
easttennesseestatebuccaneers,East Tennessee State Buccaneers,True,65,False
easttexasamlions,East Texas A&M Lions,True,65,False
elonphoenix,Elon Phoenix,True,65,False
evansvillepurpleaces,Evansville Purple Aces,True,73,False
fairfieldstags,Fairfield Stags,True,84,False
fairleighdickinsonknights,Fairleigh Dickinson Knights,True,71,False
floridaamrattlers,Florida A&M Rattlers,True,54,False
floridaatlanticowls,Florida Atlantic Owls,True,87,False
floridagators,Florida Gators,True,93,False
floridagulfcoasteagles,Florida Gulf Coast Eagles,True,67,False
floridainternationalpanthers,Florida International Panthers,True,64,False
floridastateseminoles,Florida State Seminoles,True,62,False
fordhamrams,Fordham Rams,True,65,False
fresnostatebulldogs,Fresno State Bulldogs,True,62,False
furmanpaladins,Furman Paladins,True,66,False
gardnerwebbrunninbulldogs,Gardner-Webb Runnin' Bulldogs,True,63,False
georgemasonpatriots,George Mason Patriots,True,60,False
georgetownhoyas,Georgetown Hoyas,True,74,False
georgewashingtonrevolutionaries,George Washington Revolutionaries,True,66,False
georgiabulldogs,Georgia Bulldogs,True,75,False
georgiasoutherneagles,Georgia Southern Eagles,True,64,False
georgiastatepanthers,Georgia State Panthers,True,61,False
georgiatechyellowjackets,Georgia Tech Yellow Jackets,True,64,False
gonzagabulldogs,Gonzaga Bulldogs,True,89,False
gramblingtigers,Grambling Tigers,True,62,False
grandcanyonlopes,Grand Canyon Lopes,True,58,False
greenbayphoenix,Green Bay Phoenix,True,72,False
hamptonpirates,Hampton Pirates,True,66,False
harvardcrimson,Harvard Crimson,True,47,False
hawaiirainbowwarriors,Hawai'i Rainbow Warriors,True,60,False
highpointpanthers,High Point Panthers,True,67,False
hofstrapride,Hofstra Pride,True,62,False
holycrosscrusaders,Holy Cross Crusaders,True,69,False
houstonchristianhuskies,Houston Christian Huskies,True,58,False
houstoncougars,Houston Cougars,True,107,False
howardbison,Howard Bison,True,64,False
idahostatebengals,Idaho State Bengals,True,62,False
idahovandals,Idaho Vandals,True,61,False
illinoisfightingillini,Illinois Fighting Illini,True,102,False
illinoisstateredbirds,Illinois State Redbirds,True,78,False
incarnatewordcardinals,Incarnate Word Cardinals,True,64,False
indianahoosiers,Indiana Hoosiers,True,82,False
indianastatesycamores,Indiana State Sycamores,True,74,False
ionagaels,Iona Gaels,True,82,False
iowahawkeyes,Iowa Hawkeyes,True,84,False
iowastatecyclones,Iowa State Cyclones,True,100,False
