target,segment,feature_set,features,folds,rows,crps_mean,coverage_mean,width_median
margin,large,core,"['pred_total', 'pred_margin']",5,347320,14.969366080715323,0.315534231259572,19.000070105332505
margin,large,core_market_context,"['pred_total', 'pred_margin', 'market_total', 'market_spread', 'market_moneyline_home_prob', 'days_rest_home', 'days_rest_away', 'travel_dist_km']",5,347320,15.12920771593891,0.2722774936159574,10.875430224134456
margin,large,core_market_context_pace,"['pred_total', 'pred_margin', 'market_total', 'market_spread', 'market_moneyline_home_prob', 'days_rest_home', 'days_rest_away', 'travel_dist_km']",5,347320,15.12920771593891,0.2722774936159574,10.875430224134456
margin,large,core_market_context_strength,"['pred_total', 'pred_margin', 'market_total', 'market_spread', 'market_moneyline_home_prob', 'days_rest_home', 'days_rest_away', 'travel_dist_km']",5,347320,15.12920771593891,0.2722774936159574,10.875430224134456
margin,large,core_plus_all,"['pred_total', 'pred_margin', 'market_total', 'market_spread', 'market_moneyline_home_prob', 'days_rest_home', 'days_rest_away', 'travel_dist_km']",5,347320,15.12920771593891,0.2722774936159574,10.875430224134456
margin,large,core_market,"['pred_total', 'pred_margin', 'market_total', 'market_spread', 'market_moneyline_home_prob']",5,347320,15.151497544372653,0.288289855306466,17.882514791105052
margin,large,core_context,"['pred_total', 'pred_margin', 'days_rest_home', 'days_rest_away', 'travel_dist_km']",5,347320,15.162894555374816,0.2762456741134854,18.545007705484608
margin,large,default,"['pred_total', 'pred_margin', 'days_rest_home', 'days_rest_away', 'travel_dist_km', 'market_total', 'market_spread', 'market_moneyline_home_prob']",5,347320,15.608855443902891,0.235822801144959,10.0512141318693
margin,small,core_market,"['pred_total', 'pred_margin', 'market_total', 'market_spread', 'market_moneyline_home_prob']",5,417688,11.113907586570416,0.3156364356466313,14.746645650181376
margin,small,core_market_context,"['pred_total', 'pred_margin', 'market_total', 'market_spread', 'market_moneyline_home_prob', 'days_rest_home', 'days_rest_away', 'travel_dist_km']",5,417688,11.136323185982402,0.3268892256653387,13.217988798595195
margin,small,core_market_context_pace,"['pred_total', 'pred_margin', 'market_total', 'market_spread', 'market_moneyline_home_prob', 'days_rest_home', 'days_rest_away', 'travel_dist_km']",5,417688,11.136323185982402,0.3268892256653387,13.217988798595195
margin,small,core_market_context_strength,"['pred_total', 'pred_margin', 'market_total', 'market_spread', 'market_moneyline_home_prob', 'days_rest_home', 'days_rest_away', 'travel_dist_km']",5,417688,11.136323185982402,0.3268892256653387,13.217988798595195
margin,small,core_plus_all,"['pred_total', 'pred_margin', 'market_total', 'market_spread', 'market_moneyline_home_prob', 'days_rest_home', 'days_rest_away', 'travel_dist_km']",5,417688,11.136323185982402,0.3268892256653387,13.217988798595195
margin,small,default,"['pred_total', 'pred_margin', 'days_rest_home', 'days_rest_away', 'travel_dist_km', 'market_total', 'market_spread', 'market_moneyline_home_prob']",5,417688,11.235961665413235,0.3250906180404044,13.217988798595195
margin,small,core_context,"['pred_total', 'pred_margin', 'days_rest_home', 'days_rest_away', 'travel_dist_km']",5,417688,11.506544829646122,0.3251968707958917,13.217988798595195
margin,small,core,"['pred_total', 'pred_margin']",5,417688,12.177462311318743,0.2881488396067528,11.924404962362626
total,high,default,"['pred_total', 'pred_margin', 'days_rest_home', 'days_rest_away', 'travel_dist_km', 'market_total', 'market_spread', 'market_moneyline_home_prob']",5,264520,13.493624575671385,0.4126042527353234,46.50002398340322
total,high,core_market_context,"['pred_total', 'pred_margin', 'market_total', 'market_spread', 'market_moneyline_home_prob', 'days_rest_home', 'days_rest_away', 'travel_dist_km']",5,264520,13.497155309380668,0.4126042527353234,46.50002398340322
total,high,core_market_context_pace,"['pred_total', 'pred_margin', 'market_total', 'market_spread', 'market_moneyline_home_prob', 'days_rest_home', 'days_rest_away', 'travel_dist_km']",5,264520,13.497155309380668,0.4126042527353234,46.50002398340322
total,high,core_market_context_strength,"['pred_total', 'pred_margin', 'market_total', 'market_spread', 'market_moneyline_home_prob', 'days_rest_home', 'days_rest_away', 'travel_dist_km']",5,264520,13.497155309380668,0.4126042527353234,46.50002398340322
total,high,core_plus_all,"['pred_total', 'pred_margin', 'market_total', 'market_spread', 'market_moneyline_home_prob', 'days_rest_home', 'days_rest_away', 'travel_dist_km']",5,264520,13.497155309380668,0.4126042527353234,46.50002398340322
total,high,core_market,"['pred_total', 'pred_margin', 'market_total', 'market_spread', 'market_moneyline_home_prob']",5,264520,13.59319101935642,0.4040477729172252,46.38050372124371
total,high,core_context,"['pred_total', 'pred_margin', 'days_rest_home', 'days_rest_away', 'travel_dist_km']",5,264520,14.630617886358245,0.4413206921244482,29.000666000658786
total,high,core,"['pred_total', 'pred_margin']",5,264520,14.745255869136482,0.4210899911484055,29.000666000658786
total,low,core_market,"['pred_total', 'pred_margin', 'market_total', 'market_spread', 'market_moneyline_home_prob']",5,429976,15.854172367112364,0.3200693905003738,14.243033066582854
total,low,core_market_context,"['pred_total', 'pred_margin', 'market_total', 'market_spread', 'market_moneyline_home_prob', 'days_rest_home', 'days_rest_away', 'travel_dist_km']",5,429976,15.85702634550793,0.3048775585713317,15.173747329117276
total,low,core_market_context_pace,"['pred_total', 'pred_margin', 'market_total', 'market_spread', 'market_moneyline_home_prob', 'days_rest_home', 'days_rest_away', 'travel_dist_km']",5,429976,15.85702634550793,0.3048775585713317,15.173747329117276
total,low,core_market_context_strength,"['pred_total', 'pred_margin', 'market_total', 'market_spread', 'market_moneyline_home_prob', 'days_rest_home', 'days_rest_away', 'travel_dist_km']",5,429976,15.85702634550793,0.3048775585713317,15.173747329117276
total,low,core_plus_all,"['pred_total', 'pred_margin', 'market_total', 'market_spread', 'market_moneyline_home_prob', 'days_rest_home', 'days_rest_away', 'travel_dist_km']",5,429976,15.85702634550793,0.3048775585713317,15.173747329117276
total,low,default,"['pred_total', 'pred_margin', 'days_rest_home', 'days_rest_away', 'travel_dist_km', 'market_total', 'market_spread', 'market_moneyline_home_prob']",5,429976,16.021540485961076,0.3017831064080417,16.442147945830584
total,low,core_context,"['pred_total', 'pred_margin', 'days_rest_home', 'days_rest_away', 'travel_dist_km']",5,429976,16.749526388472578,0.379866323302899,20.90261139685657
total,low,core,"['pred_total', 'pred_margin']",5,429976,17.197989125887272,0.3015878793736736,15.362476522837056
