date,kind,pnl,risk,roi
2025-12-01,base,-100.00000000000014,100.00000000000014,-1.0
2025-12-01,cal,-450.0,450.0,-1.0
2025-12-02,base,-100.00000000000024,100.00000000000024,-1.0
2025-12-02,cal,-1080.0000000000005,1080.0000000000005,-1.0
2025-12-03,base,-100.00000000000007,100.00000000000007,-1.0
2025-12-03,cal,-450.0,450.0,-1.0
2025-12-04,base,-89.75091982955743,89.75091982955743,-1.0
2025-12-04,cal,-59.999999999999986,59.999999999999986,-1.0
2025-12-05,base,-99.99999999999997,99.99999999999997,-1.0
2025-12-05,cal,-240.00000000000006,240.00000000000006,-1.0
2025-12-06,base,-99.99999999999969,99.99999999999969,-1.0
2025-12-06,cal,-2639.9999999999945,2639.9999999999945,-1.0
2025-12-07,base,-100.00000000000021,100.00000000000021,-1.0
2025-12-07,cal,-1140.0000000000002,1140.0000000000002,-1.0
2025-12-08,base,-100.0,100.0,-1.0
2025-12-08,cal,-299.99999999999994,299.99999999999994,-1.0
2025-12-09,base,-100.00000000000018,100.00000000000018,-1.0
2025-12-09,cal,-599.9999999999999,599.9999999999999,-1.0
2025-12-10,base,-99.99999999999976,99.99999999999976,-1.0
2025-12-10,cal,-720.0,720.0,-1.0
2025-12-11,base,-99.99999999999993,99.99999999999993,-1.0
2025-12-11,cal,-179.99999999999994,179.99999999999994,-1.0
2025-12-12,base,-100.00000000000001,100.00000000000001,-1.0
2025-12-12,cal,-240.0,240.0,-1.0
2025-12-13,base,-99.99999999999997,99.99999999999997,-1.0
2025-12-13,cal,-150.0,150.0,-1.0
2025-12-14,base,-99.99999999999984,99.99999999999984,-1.0
2025-12-14,cal,-600.0,600.0,-1.0
2025-12-15,base,-99.99999999999993,99.99999999999993,-1.0
2025-12-15,cal,-300.00000000000006,300.00000000000006,-1.0
2025-12-16,base,-88.57142857142857,88.57142857142857,-1.0
2025-12-16,cal,-120.0,120.0,-1.0
2025-12-17,base,-99.99999999999977,99.99999999999977,-1.0
2025-12-17,cal,-1410.000000000001,1410.000000000001,-1.0
2025-12-18,base,-100.00000000000003,100.00000000000003,-1.0
2025-12-18,cal,-599.9999999999998,599.9999999999998,-1.0
2025-12-19,base,-99.99999999999987,99.99999999999987,-1.0
2025-12-19,cal,-540.0,540.0,-1.0
2025-12-20,base,-100.00000000000013,100.00000000000013,-1.0
2025-12-20,cal,-809.9999999999994,809.9999999999994,-1.0
2025-12-21,base,0.0,100.0000000000002,0.0
2025-12-21,cal,0.0,1078.0158151206306,0.0
