date,game_id,home_team,away_team,start_time_local,start_time_iso,start_tz_abbr,start_min,end_min,half,mu_home_score_end,mu_away_score_end,mu_total_score_end,mu_margin_score_end,q10_home_score_end,q50_home_score_end,q90_home_score_end,q10_away_score_end,q50_away_score_end,q90_away_score_end,q10_total_score_end,q50_total_score_end,q90_total_score_end,q10_margin_score_end,q50_margin_score_end,q90_margin_score_end
2026-01-23,401806457,Southern Indiana Screaming Eagles,Western Illinois Leathernecks,,2026-01-24T01:30:00Z,CST,0,5,1,9.90775,9.51675,16.879553423485532,0.391,5.0,10.0,15.0,4.0,9.0,15.0,16.05017272341176,16.832133111386224,17.725802126214184,-6.0,0.0,7.0
2026-01-23,401806457,Southern Indiana Screaming Eagles,Western Illinois Leathernecks,,2026-01-24T01:30:00Z,CST,5,10,1,19.3525,18.72625,34.23623986300802,0.62625,12.0,19.0,27.0,12.0,18.0,26.0,32.344709313824566,34.22279448056432,36.27161466246222,-8.0,1.0,9.0
2026-01-23,401806457,Southern Indiana Screaming Eagles,Western Illinois Leathernecks,,2026-01-24T01:30:00Z,CST,10,15,1,28.88975,27.987,52.49069936911435,0.90275,20.0,29.0,38.0,19.0,28.0,37.0,49.57170285318777,52.31867051904034,55.45806213715756,-10.0,1.0,12.0
2026-01-23,401806457,Southern Indiana Screaming Eagles,Western Illinois Leathernecks,,2026-01-24T01:30:00Z,CST,15,20,1,36.27025,35.2695,70.82755183140951,1.00075,26.0,36.0,47.0,25.0,35.0,46.0,67.86189377135904,70.736289758808,73.77976786316573,-11.0,1.0,13.0
2026-01-23,401806457,Southern Indiana Screaming Eagles,Western Illinois Leathernecks,,2026-01-24T01:30:00Z,CST,20,25,2,46.07175,44.7215,89.35558305710514,1.35025,35.0,46.0,58.0,33.0,45.0,56.0,86.29842860295443,89.21929048712747,92.48378318120322,-12.0,1.0,15.0
2026-01-23,401806457,Southern Indiana Screaming Eagles,Western Illinois Leathernecks,,2026-01-24T01:30:00Z,CST,25,30,2,55.44125,53.93675,107.68675794533748,1.5045,43.0,55.0,68.0,42.0,54.0,66.0,104.47981727672548,107.6207973635149,111.11077523772538,-14.0,2.0,16.0
2026-01-23,401806457,Southern Indiana Screaming Eagles,Western Illinois Leathernecks,,2026-01-24T01:30:00Z,CST,30,35,2,64.75,63.13325,124.7925132918492,1.61675,52.0,65.0,78.0,51.0,63.0,76.0,120.50740354129512,124.71387283541162,129.12553575363134,-15.0,2.0,18.0
2026-01-23,401806457,Southern Indiana Screaming Eagles,Western Illinois Leathernecks,,2026-01-24T01:30:00Z,CST,35,40,2,72.38375,70.626,146.09453166723287,1.75775,58.0,72.0,86.0,57.0,70.0,84.0,143.54765607129278,146.09340343828612,148.63915080527946,-15.0,2.0,19.0
2026-01-23,401807706,Lipscomb Bisons,Florida Gulf Coast Eagles,2026-01-23 13:00,2026-01-23T18:00:00Z,CST,0,5,1,10.334,10.2835,17.01282181532175,0.0505,5.0,10.0,16.0,5.0,10.0,16.0,16.161881350265254,16.94384173823972,17.949219379921175,-6.0,0.0,7.0
2026-01-23,401807706,Lipscomb Bisons,Florida Gulf Coast Eagles,2026-01-23 13:00,2026-01-23T18:00:00Z,CST,5,10,1,20.257,20.187,34.64007085761085,0.07,13.0,20.0,28.0,13.0,20.0,28.0,32.515444328982724,34.56426451088063,36.78381970793669,-9.0,0.0,9.0
2026-01-23,401807706,Lipscomb Bisons,Florida Gulf Coast Eagles,2026-01-23 13:00,2026-01-23T18:00:00Z,CST,10,15,1,30.218,30.14475,53.17469431791165,0.07325,21.0,30.0,40.0,21.0,30.0,40.0,50.16033878158475,53.10351842356964,56.242910041686855,-11.0,0.0,11.0
2026-01-23,401807706,Lipscomb Bisons,Florida Gulf Coast Eagles,2026-01-23 13:00,2026-01-23T18:00:00Z,CST,15,20,1,38.48725,38.333,71.72038994974622,0.15425,28.0,38.0,50.0,28.0,38.0,49.0,68.70730435590285,71.58170034335181,74.7942605646183,-13.0,0.0,12.0
2026-01-23,401807706,Lipscomb Bisons,Florida Gulf Coast Eagles,2026-01-23 13:00,2026-01-23T18:00:00Z,CST,20,25,2,48.8695,48.81425,90.53947710492244,0.05525,37.0,49.0,61.0,37.0,48.0,61.0,87.32932103266256,90.42199832178696,93.85830642081406,-14.0,0.0,14.0
