date,game_id,event_id,book,market,period,selection,line,price,edge,kelly,fractional,stake
2025-11-08,G0,E0,BookX,totals,full_game,over,148,,2.0,0.06666666666666667,0.5,5.000000000000001
2025-11-08,G1,E1,BookX,totals,full_game,over,149,,2.0,0.06666666666666667,0.5,5.000000000000001
2025-11-08,G2,E2,BookX,totals,full_game,over,150,,2.0,0.06666666666666667,0.5,5.000000000000001
2025-11-08,G3,E3,BookX,totals,full_game,over,151,,2.0,0.06666666666666667,0.5,5.000000000000001
2025-11-08,G4,E4,BookX,totals,full_game,over,152,,2.0,0.06666666666666667,0.5,5.000000000000001
2025-11-08,G5,E5,BookX,totals,full_game,over,153,,2.0,0.06666666666666667,0.5,5.000000000000001
2025-11-08,G6,E6,BookX,totals,full_game,over,154,,2.0,0.06666666666666667,0.5,5.000000000000001
2025-11-08,G7,E7,BookX,totals,full_game,over,155,,2.0,0.06666666666666667,0.5,5.000000000000001
2025-11-08,G8,E8,BookX,totals,full_game,over,156,,2.0,0.06666666666666667,0.5,5.000000000000001
2025-11-08,G9,E9,BookX,totals,full_game,over,157,,2.0,0.06666666666666667,0.5,5.000000000000001
