game_id,home_team,away_team,closing_total,closing_spread_home,closing_ml_home,closing_ml_away
2025-11-24:akron_zips:evansville_purple_aces,Evansville Purple Aces,Akron Zips,156.5,12.0,,
2025-11-24:baylor_bears:creighton_bluejays,Creighton Bluejays,Baylor Bears,155.5,3.5,,
2025-11-24:bethune_cookman_wildcats:jacksonville_dolphins,Jacksonville Dolphins,Bethune-Cookman Wildcats,144.5,2.5,,
2025-11-24:bucknell_bison:bowling_green_falcons,Bowling Green Falcons,Bucknell Bison,147.5,-7.5,,
2025-11-24:charleston_cougars:evansville_purple_aces,Evansville Purple Aces,Charleston Cougars,140.5,4.5,,
2025-11-24:east_texas_a_m_lions:fairleigh_dickinson_knights,Fairleigh Dickinson Knights,East Texas A&M Lions,149.5,3.5,,
2025-11-24:elon_phoenix:appalachian_st_mountaineers,Appalachian St Mountaineers,Elon Phoenix,142.5,-5.0,,
2025-11-24:grambling_st_tigers:uc_riverside_highlanders,UC Riverside Highlanders,Grambling St Tigers,145.5,-4.5,,
2025-11-24:green_bay_phoenix:iona_gaels,Iona Gaels,Green Bay Phoenix,153.5,-8.0,,
2025-11-24:iowa_state_cyclones:st_john_s_red_storm,St. John's Red Storm,Iowa State Cyclones,159.5,2.5,,
2025-11-24:kennesaw_st_owls:rice_owls,Rice Owls,Kennesaw St Owls,159.5,5.0,,
2025-11-24:liberty_flames:vermont_catamounts,Vermont Catamounts,Liberty Flames,143.5,8.5,,
2025-11-24:massachusetts_minutemen:oregon_st_beavers,Oregon St Beavers,Massachusetts Minutemen,151.5,-3.0,,
2025-11-24:mercyhurst_lakers:marshall_thundering_herd,Marshall Thundering Herd,Mercyhurst Lakers,148.0,-11.5,,
2025-11-24:middle_tennessee_blue_raiders:murray_st_racers,Murray St Racers,Middle Tennessee Blue Raiders,161.25,-7.0,,
2025-11-24:north_dakota_fighting_hawks:western_illinois_leathernecks,Western Illinois Leathernecks,North Dakota Fighting Hawks,146.5,1.75,,
2025-11-24:notre_dame_fighting_irish:kansas_jayhawks,Kansas Jayhawks,Notre Dame Fighting Irish,141.5,-5.0,,
2025-11-24:oakland_golden_grizzlies:lamar_cardinals,Lamar Cardinals,Oakland Golden Grizzlies,148.5,1.0,,
2025-11-24:ohio_bobcats:george_mason_patriots,George Mason Patriots,Ohio Bobcats,145.0,-7.0,,
2025-11-24:pacific_tigers:stony_brook_seawolves,Stony Brook Seawolves,Pacific Tigers,146.5,4.5,,
2025-11-24:seton_hall_pirates:nc_state_wolfpack,NC State Wolfpack,Seton Hall Pirates,144.5,-10.5,,
2025-11-24:siena_saints:holy_cross_crusaders,Holy Cross Crusaders,Siena Saints,138.5,8.5,,
2025-11-24:st_francis_pa_red_flash:belmont_bruins,Belmont Bruins,St. Francis (PA) Red Flash,154.5,-22.5,,
2025-11-24:syracuse_orange:houston_cougars,Houston Cougars,Syracuse Orange,138.5,-13.5,,
2025-11-24:temple_owls:uc_san_diego_tritons,UC San Diego Tritons,Temple Owls,150.25,-1.0,,
2025-11-24:tennessee_volunteers:rutgers_scarlet_knights,Rutgers Scarlet Knights,Tennessee Volunteers,141.5,15.5,,
2025-11-24:toledo_rockets:troy_trojans,Troy Trojans,Toledo Rockets,160.5,-3.0,,
2025-11-24:towson_tigers:rhode_island_rams,Rhode Island Rams,Towson Tigers,140.5,-2.5,,
2025-11-24:uab_blazers:southern_illinois_salukis,Southern Illinois Salukis,UAB Blazers,163.5,2.5,,
2025-11-24:usc_trojans:boise_state_broncos,Boise State Broncos,USC Trojans,152.5,5.5,,
2025-11-24:utah_state_aggies:davidson_wildcats,Davidson Wildcats,Utah State Aggies,146.5,9.5,,
2025-11-24:utep_miners:william_mary_tribe,William & Mary Tribe,UTEP Miners,157.0,-2.5,,
2025-11-24:vmi_keydets:buffalo_bulls,Buffalo Bulls,VMI Keydets,151.0,-7.5,,
2025-11-24:winthrop_eagles:jackson_st_tigers,Jackson St Tigers,Winthrop Eagles,163.5,10.5,,
