game_id,home_team,away_team,date,start_time,reason,has_model_total,has_model_margin,has_cal_total,has_cal_margin,basis_total,basis_margin
401817511,IU Indianapolis Jaguars,Green Bay Phoenix,2025-12-11,2025-12-11 23:30:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401831530,Wagner Seahawks,Bloomfield Deacons,2025-12-11,2025-12-12 00:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401829492,Georgia Southern Eagles,Coastal Georgia Mariner,2025-12-11,2025-12-12 00:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401823347,Jacksonville Dolphins,Trinity College of Jacksonville Eagles,2025-12-11,2025-12-12 00:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401820813,East Carolina Pirates,App State Mountaineers,2025-12-11,2025-12-12 00:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401817524,Virginia Tech Hokies,Western Carolina Catamounts,2025-12-11,2025-12-12 00:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401823872,UT Rio Grande Valley Vaqueros,UT Arlington Mavericks,2025-12-11,2025-12-12 00:30:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401819878,Iowa State Cyclones,Iowa Hawkeyes,2025-12-11,2025-12-12 01:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401829479,St. Thomas-Minnesota Tommies,Saint John's (MN) Johnnies,2025-12-11,2025-12-12 01:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401827157,Missouri Tigers,Alabama State Hornets,2025-12-11,2025-12-12 01:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401826742,Denver Pioneers,Alaska Anchorage Seawolves,2025-12-11,2025-12-12 02:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401817480,Syracuse Orange,Saint Joseph's Hawks,2025-12-11,2025-12-12 02:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401823738,Cal State Bakersfield Roadrunners,North Dakota State Bison,2025-12-11,2025-12-12 02:30:00+00:00,ok_calibrated,True,True,True,True,cal,cal
