game_id,home_team,away_team,closing_total,closing_spread_home,closing_ml_home,closing_ml_away
2025-11-30:alabama_a_m_bulldogs:coastal_carolina_chanticleers,Coastal Carolina Chanticleers,Alabama A&M Bulldogs,140.0,-7.0,,
2025-11-30:albany_great_danes:fordham_rams,Fordham Rams,Albany Great Danes,138.5,-5.5,,
2025-11-30:appalachian_st_mountaineers:unc_asheville_bulldogs,UNC Asheville Bulldogs,Appalachian St Mountaineers,133.5,-3.5,,
2025-11-30:arkansas_little_rock_trojans:southern_illinois_salukis,Southern Illinois Salukis,Arkansas-Little Rock Trojans,141.5,-9.5,,
2025-11-30:belmont_bruins:charleston_cougars,Charleston Cougars,Belmont Bruins,154.5,3.0,,
2025-11-30:cal_baptist_lancers:oregon_st_beavers,Oregon St Beavers,Cal Baptist Lancers,137.5,-1.0,,
2025-11-30:colgate_raiders:fordham_rams,Fordham Rams,Colgate Raiders,142.0,1.5,,
2025-11-30:coppin_st_eagles:loyola_md_greyhounds,Loyola (MD) Greyhounds,Coppin St Eagles,141.5,-10.5,,
2025-11-30:cornell_big_red:bucknell_bison,Bucknell Bison,Cornell Big Red,157.5,12.5,,
2025-11-30:csu_bakersfield_roadrunners:fresno_st_bulldogs,Fresno St Bulldogs,CSU Bakersfield Roadrunners,149.0,-10.5,,
2025-11-30:depaul_blue_demons:lsu_tigers,LSU Tigers,DePaul Blue Demons,152.5,-5.5,,
2025-11-30:hofstra_pride:pennsylvania_quakers,Pennsylvania Quakers,Hofstra Pride,149.5,1.5,,
2025-11-30:le_moyne_dolphins:ball_state_cardinals,Ball State Cardinals,Le Moyne Dolphins,182.5,-10.5,,
2025-11-30:longwood_lancers:american_eagles,American Eagles,Longwood Lancers,148.5,-4.0,,
2025-11-30:mercyhurst_lakers:west_virginia_mountaineers,West Virginia Mountaineers,Mercyhurst Lakers,126.5,-21.5,,
2025-11-30:milwaukee_panthers:akron_zips,Akron Zips,Milwaukee Panthers,166.75,-12.5,,
2025-11-30:monmouth_hawks:lafayette_leopards,Lafayette Leopards,Monmouth Hawks,141.5,2.0,,
2025-11-30:new_hampshire_wildcats:fairfield_stags,Fairfield Stags,New Hampshire Wildcats,159.5,-6.5,,
2025-11-30:old_dominion_monarchs:william_mary_tribe,William & Mary Tribe,Old Dominion Monarchs,161.0,-6.5,,
2025-11-30:prairie_view_panthers:north_texas_mean_green,North Texas Mean Green,Prairie View Panthers,141.5,-16.0,,
2025-11-30:sacramento_st_hornets:pacific_tigers,Pacific Tigers,Sacramento St Hornets,147.0,-10.5,,
2025-11-30:saint_joseph_s_hawks:princeton_tigers,Princeton Tigers,Saint Joseph's Hawks,147.5,3.5,,
2025-11-30:san_diego_toreros:long_beach_st_49ers,Long Beach St 49ers,San Diego Toreros,147.25,2.5,,
2025-11-30:siena_saints:maine_black_bears,Maine Black Bears,Siena Saints,131.5,9.5,,
2025-11-30:south_alabama_jaguars:utsa_roadrunners,UTSA Roadrunners,South Alabama Jaguars,138.5,2.0,,
2025-11-30:st_bonaventure_bonnies:florida_atlantic_owls,Florida Atlantic Owls,St. Bonaventure Bonnies,145.5,-2.5,,
2025-11-30:stetson_hatters:robert_morris_colonials,Robert Morris Colonials,Stetson Hatters,145.5,-14.5,,
2025-11-30:stonehill_skyhawks:quinnipiac_bobcats,Quinnipiac Bobcats,Stonehill Skyhawks,152.5,-14.5,,
2025-11-30:tennessee_st_tigers:chattanooga_mocs,Chattanooga Mocs,Tennessee St Tigers,157.0,-8.5,,
2025-11-30:the_citadel_bulldogs:presbyterian_blue_hose,Presbyterian Blue Hose,The Citadel Bulldogs,134.0,-8.5,,
2025-11-30:uc_irvine_anteaters:san_jos_st_spartans,San José St Spartans,UC Irvine Anteaters,137.5,2.5,,
2025-11-30:wyoming_cowboys:texas_tech_red_raiders,Texas Tech Red Raiders,Wyoming Cowboys,153.5,-21.0,,
2025-11-30:yale_bulldogs:vermont_catamounts,Vermont Catamounts,Yale Bulldogs,142.5,4.5,,
