game_id,season,date,start_time,start_time_local,start_tz_abbr,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,status,completed,neutral_site,venue,start_time_iso,display_date,start_time_local_venue,start_tz_abbr_venue,game_date,game_key,game_id_odds,book,fetched_at,moneyline_home,moneyline_away,spread,total,commence_time,home_team_name,away_team_name,odds_date,odds_key
401828252,2026,2026-03-01,2026-03-01 19:00:00+00:00,2026-03-01 14:00,EST,East Carolina Pirates,Memphis Tigers,0,0,,,,,STATUS_SCHEDULED,False,False,Minges Coliseum,2026-03-01T19:00:00Z,2026-03-01,,,2026-03-01,eastcarolina__memphis,805d7efd32e359a3926b43dee552c496,BetOnline.ag,2026-03-01 16:36:35.613415+00:00,177.0,-205.0,5.0,151.5,2026-03-01 19:00:00+00:00,East Carolina Pirates,Memphis Tigers,2026-03-01,eastcarolina__memphis
401828253,2026,2026-03-01,2026-03-01 19:00:00+00:00,2026-03-01 14:00,EST,Temple Owls,Rice Owls,0,0,,,,,STATUS_SCHEDULED,False,False,Liacouras Center,2026-03-01T19:00:00Z,2026-03-01,,,2026-03-01,rice__temple,645c655ce68499ecb9e38c81cfacfaa8,BetOnline.ag,2026-03-01 16:36:35.613415+00:00,-270.0,222.0,-6.0,141.0,2026-03-01 19:00:00+00:00,Temple Owls,Rice Owls,2026-03-01,rice__temple
401828254,2026,2026-03-01,2026-03-01 17:00:00+00:00,2026-03-01 12:00,EST,South Florida Bulls,Tulane Green Wave,0,0,,,,,STATUS_SCHEDULED,False,False,Yuengling Center,2026-03-01T17:00:00Z,2026-03-01,,,2026-03-01,southfloridabulls__tulanegreen,5997c08b8bc9bda09d34110008196f3d,BetOnline.ag,2026-03-01 16:36:35.613415+00:00,-1500.0,874.0,-16.0,155.5,2026-03-01 17:00:00+00:00,South Florida Bulls,Tulane Green Wave,2026-03-01,southfloridabulls__tulanegreen
401828255,2026,2026-03-01,2026-03-02 01:00:00+00:00,2026-03-01 20:00,EST,UTSA Roadrunners,Wichita State Shockers,0,0,,,,,STATUS_SCHEDULED,False,False,UTSA Convocation Center,2026-03-02T01:00:00Z,2026-03-01,,,2026-03-01,texassanantonio__wichitastateshockers,,,,,,,,,,,,
401828454,2026,2026-03-01,2026-03-01 17:00:00+00:00,2026-03-01 12:00,EST,Davidson Wildcats,La Salle Explorers,0,0,,,,,STATUS_SCHEDULED,False,False,John M. Belk Arena,2026-03-01T17:00:00Z,2026-03-01,,,2026-03-01,davidson__lasalle,727d266b5023243b5473f4adb6171172,BetOnline.ag,2026-03-01 16:36:35.613415+00:00,-825.0,574.0,-11.5,133.0,2026-03-01 17:00:00+00:00,Davidson Wildcats,La Salle Explorers,2026-03-01,davidson__lasalle
401830217,2026,2026-03-01,2026-03-01 22:00:00+00:00,2026-03-01 17:00,EST,Illinois State Redbirds,Belmont Bruins,0,0,,,,,STATUS_SCHEDULED,False,False,CEFCU Arena,2026-03-01T22:00:00Z,2026-03-01,,,2026-03-01,belmont__illinoisstate,72956adb311374c8fa2dadcc3f8f28b7,BetOnline.ag,2026-03-01 16:36:35.613415+00:00,-119.0,-101.0,-1.0,150.5,2026-03-01 22:00:00+00:00,Illinois State Redbirds,Belmont Bruins,2026-03-01,belmont__illinoisstate
401830221,2026,2026-03-01,2026-03-01 19:00:00+00:00,2026-03-01 14:00,EST,Bradley Braves,Murray State Racers,0,0,,,,,STATUS_SCHEDULED,False,False,Carver Arena,2026-03-01T19:00:00Z,2026-03-01,,,2026-03-01,bradley__murraystate,048fc4fcf5a6d5f315c0313ea752c931,BetOnline.ag,2026-03-01 16:36:35.613415+00:00,-175.0,153.0,-3.5,158.5,2026-03-01 19:00:00+00:00,Bradley Braves,Murray St Racers,2026-03-01,bradley__murraystate
401830316,2026,2026-03-01,2026-03-01 18:00:00+00:00,2026-03-01 13:00,EST,Indiana State Sycamores,UIC Flames,0,0,,,,,STATUS_SCHEDULED,False,False,Hulman Center,2026-03-01T18:00:00Z,2026-03-01,,,2026-03-01,indianastate__uicflames,122cf6a631bbeb6dff238312f0939b5d,BetOnline.ag,2026-03-01 16:36:35.613415+00:00,161.0,-185.0,4.0,143.5,2026-03-01 18:00:00+00:00,Indiana St Sycamores,UIC Flames,2026-03-01,indianastate__uicflames
401830317,2026,2026-03-01,2026-03-01 20:00:00+00:00,2026-03-01 15:00,EST,Drake Bulldogs,Northern Iowa Panthers,0,0,,,,,STATUS_SCHEDULED,False,False,Knapp Center,2026-03-01T20:00:00Z,2026-03-01,,,2026-03-01,drake__northerniowa,9d66000724539fda0404eb160d1eb8d3,BetOnline.ag,2026-03-01 16:36:35.613415+00:00,161.0,-185.0,4.0,138.5,2026-03-01 20:00:00+00:00,Drake Bulldogs,Northern Iowa Panthers,2026-03-01,drake__northerniowa
401858741,2026,2026-03-01,2026-03-01 21:00:00+00:00,2026-03-01 16:00,EST,Evansville Purple Aces,Southern Illinois Salukis,0,0,,,,,STATUS_SCHEDULED,False,False,Ford Center,2026-03-01T21:00:00Z,2026-03-01,,,2026-03-01,evansville__southernillinoissalukis,3e9c9dee119a2c08c21e2c5a16621e62,DraftKings,2026-03-01 16:36:35.613415+00:00,310.0,-395.0,9.5,138.5,2026-03-01 21:00:00+00:00,Evansville Purple Aces,Southern Illinois Salukis,2026-03-01,evansville__southernillinoissalukis
85fb38a9d32c4060ba8411667bee81fa,2026,2026-03-01,2026-03-01 19:00:00+00:00,2026-03-01 14:00,EST,Fairfield Stags,Mount St. Mary's Mountaineers,0,0,,,,,STATUS_SCHEDULED,False,False,Leo D. Mahoney Arena,2026-03-01T19:00:00Z,2026-03-01,,,2026-03-01,fairfield__mountstmarys,,BetOnline.ag,2026-03-01 16:36:35.613415+00:00,-170.0,149.0,-3.5,144.5,2026-03-01 19:00:00+00:00,Fairfield Stags,Mt. St. Mary's Mountaineers,2026-03-01,fairfield__mtstmarys
