game_id,home_team,away_team,pred_total,pred_margin,market_total,spread_home
401808581,App State Mountaineers,Georgia State Panthers,141.66143798828125,0.6197638511657715,,
401823768,Arizona Wildcats,San Diego State Aztecs,157.6896209716797,5.425848960876465,,
401826954,Utah Valley Wolverines,Bethesda University Flames,140.85939025878906,45.46468734741211,,
401820216,Mercyhurst Lakers,Binghamton Bearcats,142.42063903808594,9.80046844482422,,
401824954,Lipscomb Bisons,Blue Mountain Toppers,143.5594482421875,23.57152366638184,,
401823820,Nevada Wolf Pack,Boise State Broncos,148.04746704101564,10.646865463256836,,
401813769,Western Michigan Broncos,Buffalo Bulls,139.25333028157553,-2.3093165969848632,,
401823538,California Baptist Lancers,Sacramento State Hornets,140.3291015625,4.218183994293213,,
401826047,St. Thomas-Minnesota Tommies,UC Riverside Highlanders,143.4420928955078,11.096307754516602,,
401822347,Indiana Hoosiers,Chicago State Cougars,142.39352416992188,9.472585678100586,,
401830123,UT Rio Grande Valley Vaqueros,College Of Biblical Studies Ambassadors,142.77313232421875,14.062938690185549,,
401817474,Colorado Buffaloes,Stanford Cardinal,118.76519063313802,4.056441434224446,,
401822873,Creighton Bluejays,Marquette Golden Eagles,93.65498962402344,0.1559085369110104,,
401813444,Dayton Flyers,Liberty Flames,141.7698974609375,1.931293249130249,,
401826744,Northern Colorado Bears,Denver Pioneers,141.7698974609375,1.931293249130249,,
401823373,Detroit Mercy Titans,Siena Heights Saints,142.69178771972656,13.079290390014648,,
401817237,Texas Tech Red Raiders,Duke Blue Devils,72.46882781982423,-7.792802238464356,,
401819913,Utah Utes,Eastern Washington Eagles,140.7886474609375,10.52296615600586,,
401812363,Florida International Panthers,Long Island University Sharks,140.897705078125,15.69309425354004,,
401828924,UNLV Rebels,Fresno State Bulldogs,144.28616333007812,7.351678371429443,,
401822874,Georgetown Hoyas,Xavier Musketeers,140.43272094726564,-6.431550979614258,,
401822396,Lindenwood Lions,Harris-Stowe State Hornets,143.39675903320312,21.604230880737305,,
401812610,Harvard Crimson,Holy Cross Crusaders,142.4674822998047,11.568750629425049,,
401813383,Niagara Purple Eagles,Houghton Highlanders,142.47486877441406,10.456232070922852,,
401811114,Kansas State Wildcats,South Dakota Coyotes,142.6646728515625,12.751409530639648,,
401809306,Kentucky Wildcats,St. John's Red Storm,67.85087966918945,4.632786321640015,,
401828515,Lamar Cardinals,Omaha Mavericks,139.57766723632812,13.374568939208984,,
401817205,St. Bonaventure Bonnies,Le Moyne Dolphins,142.47071166992188,6.571721229553223,,
401817249,Louisville Cardinals,Montana Grizzlies,143.96297729492187,16.88027297973633,,
401823473,Toledo Rockets,Lourdes University Gray Wolves,142.6193105061849,13.902949930826823,,
401824124,Santa Clara Broncos,Loyola Chicago Ramblers,145.1673126220703,-14.822795867919922,,
401826874,Michigan State Spartans,Oakland Golden Grizzlies,68.82652740478515,1.5311737656593325,,
401827531,North Carolina A&T Aggies,Mid-Atlantic Christian Mustangs,139.9219512939453,-0.0937190055847168,,
401829327,New Mexico Lobos,San José State Spartans,144.08155822753906,22.87132835388184,,
401829446,Northwestern State Demons,Southern-New Orleans Knights,143.28829956054688,20.292701721191406,,
401827044,Prairie View A&M Panthers,Paul Quinn Tigers,142.85447692871094,15.046585083007812,,
401812582,Rutgers Scarlet Knights,Pennsylvania Quakers,148.11294555664062,15.248176574707031,,
401824074,Pepperdine Waves,Rice Owls,142.14361572265625,0.6408200263977051,,
401826849,Tulane Green Wave,Portland State Vikings,142.08990478515625,3.2871317863464355,,
401812388,Saint Francis (PA) Red Flash,Robert Morris Colonials,141.60720825195312,-0.0360007286071777,,
401806351,Tennessee State Tigers,Southeast Missouri State Redhawks,142.10238647460938,2.0154013633728027,,
401820490,Texas A&M-Corpus Christi Islanders,Southwestern Adventist Knights,141.71182250976562,2.697506904602051,,
401823006,Youngstown State Penguins,South Carolina Upstate Spartans,142.09527587890625,5.865880966186523,,
401824030,Weber State Wildcats,Utah Tech Trailblazers,142.62034606933594,6.279725551605225,,
