date,total_cov_raw,total_cov_conf,total_cov_delta,total_width_raw,total_width_conf,total_width_ratio,margin_cov_raw,margin_cov_conf,margin_cov_delta,margin_width_raw,margin_width_conf,margin_width_ratio
2025-11-03,,,,5.551586663044086,,,,,,7.189349266207697,,
2025-11-04,,,,5.255430225415748,,,,,,5.825267183655243,,
2025-11-05,,,,7.063697268523587,,,,,,7.625979079265239,,
2025-11-06,,,,5.483514371250529,,,,,,6.278459501537579,,
2025-11-07,,,,13.542112870990671,,,,,,8.095996057529362,,
2025-11-08,,,,5.170328517934918,,,,,,6.493904434064315,,
2025-11-09,,,,6.879182355878261,,,,,,5.235302973293679,,
2025-11-10,,,,3.817543068769872,,,,,,6.310593584225083,,
2025-11-11,,,,5.145473169451839,,,,,,5.270477110459226,,
2025-11-12,,,,3.3737386829077995,,,,,,5.3930041791112515,,
2025-11-13,,,,5.4835220631619785,,,,,,4.93076421420403,,
2025-11-14,,,,4.420628860455226,,,,,,5.49626232875695,,
2025-11-15,,,,4.93721530825818,,,,,,4.85963145801874,,
2025-11-16,,,,5.016392634231898,,,,,,4.038178968383629,,
2025-11-17,,,,2.7279762429664034,,,,,,5.467917914024928,,
2025-11-18,,,,5.692940309822338,,,,,,3.8479376466533894,,
2025-11-19,,,,4.84900979630091,,,,,,3.9629703763385553,,
2025-11-20,,,,4.189119312458495,,,,,,6.426474860594271,,
2025-11-21,,,,4.036305127420598,,,,,,5.728822901085527,,
2025-11-22,,,,5.289204701187556,,,,,,5.11118723267416,,
2025-11-23,,,,5.218801607747356,,,,,,6.667417201384461,,
2025-11-24,,,,4.691880788865112,,,,,,6.278233264724153,,
2025-11-25,,,,4.548383116837049,,,,,,6.178373877064232,,
2025-11-26,,,,6.900398760862627,,,,,,6.877358273290496,,
2025-11-27,,,,3.0790863972289495,,,,,,3.9618661383328644,,
2025-11-28,,,,3.86393184342735,,,,,,4.899485909945093,,
2025-11-29,,,,5.254698705184413,,,,,,5.4669967793816285,,
nan,,,,62.53306235733686,,,,,,7.516898858576041,,
